Scotland_N Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.9    4.9    7.6    7.0   11.9   14.8   14.5   15.4   13.6   10.8    4.0    6.4     ---   8.88  14.88   9.46    9.60
1911    5.7    5.8    5.9    8.4   13.6   14.7   16.6   16.9   13.3    9.5    5.8    6.6    6.00   9.30  16.08   9.52   10.26
1912    4.4    5.4    7.1    9.9   11.6   13.4   15.2   12.8   11.9    9.3    6.2    6.0    5.43   9.53  13.82   9.11    9.44
1913    4.7    5.6    5.9    8.5   11.4   14.2   15.2   15.4   13.7   11.3    8.5    5.7    5.46   8.61  14.94  11.15   10.04
1914    4.7    6.8    5.9   10.8   11.0   14.5   15.9   16.1   13.5   10.9    7.0    3.8    5.71   9.22  15.50  10.50   10.09
1915    4.0    4.4    5.8    8.6   11.4   15.0   14.9   15.3   13.7   10.7    4.5    3.7    4.06   8.60  15.06   9.63    9.36
1916    7.4    3.8    3.5    8.8   11.4   12.0   15.1   15.7   13.3   10.1    7.8    4.4    4.99   7.85  14.30  10.41    9.45
1917    2.4    4.0    4.5    5.9   12.3   14.6   16.7   16.4   13.6    7.4    7.9    4.3    3.57   7.58  15.90   9.59    9.19
1918    3.7    6.7    6.8    8.5   13.4   13.7   15.2   15.2   10.7    9.7    7.1    5.9    4.87   9.56  14.69   9.15    9.73
1919    4.2    2.7    3.9    7.7   14.7   13.2   15.0   14.4   12.9    9.2    3.5    4.8    4.30   8.78  14.21   8.55    8.89
1920    4.7    6.5    7.1    8.0   11.5   15.3   14.4   14.0   13.2   12.0    8.8    5.3    5.34   8.87  14.54  11.35   10.08
1921    6.3    6.6    6.8   10.3   11.7   14.5   16.3   14.1   13.2   12.3    6.5    7.2    6.06   9.59  14.97  10.68   10.51
1922    4.2    5.2    6.2    6.9   11.9   13.2   13.5   13.8   12.7    9.8    7.4    6.0    5.53   8.32  13.52   9.96    9.25
1923    6.8    5.2    8.2    8.0    8.9   12.1   15.7   14.3   12.1    9.2    4.3    4.8    6.03   8.40  14.06   8.53    9.17
1924    5.5    5.0    5.0    8.2   10.6   13.0   15.3   14.3   12.9   10.4    8.3    7.5    5.07   7.91  14.25  10.50    9.67
1925    6.0    4.4    5.4    8.4   11.6   14.8   16.8   15.3   11.3   10.1    5.8    3.3    5.99   8.44  15.65   9.09    9.47
1926    5.7    6.3    6.9   10.3   11.1   14.1   16.8   16.2   13.6    7.6    6.3    5.8    5.08   9.44  15.72   9.10   10.07
1927    4.9    6.0    8.0    7.6   10.3   12.0   16.6   16.0   12.1   10.1    6.4    2.7    5.56   8.60  14.92   9.55    9.42
1928    5.4    6.2    6.1    8.9   11.7   12.2   13.9   15.0   12.9   10.4    7.5    4.8    4.73   8.92  13.71  10.28    9.60
1929    2.9    3.4    9.6    8.0   12.7   13.2   15.7   14.3   14.0    9.0    6.8    5.6    3.70  10.13  14.43   9.93    9.65
1930    5.1    3.8    5.1    9.0   11.4   15.8   15.3   15.4   13.4    9.9    5.9    5.6    4.89   8.49  15.50   9.75    9.68
1931    4.3    4.5    4.9    8.3   11.9   13.1   15.1   15.1   12.9   10.1    8.8    7.2    4.81   8.40  14.43  10.58    9.72
1932    7.8    6.4    6.3    7.4   11.0   14.9   15.7   16.1   12.5    8.7    7.3    6.5    7.17   8.26  15.59   9.48   10.07
1933    4.4    4.6    8.7    9.6   12.4   16.7   17.9   16.7   15.3   10.3    6.9    5.1    5.16  10.21  17.11  10.82   10.75
1934    6.4    7.0    5.9    7.4   11.4   15.3   17.4   15.4   14.9   10.0    6.8    7.5    6.15   8.24  16.05  10.57   10.48
1935    6.1    5.4    8.0    8.5   12.2   14.4   16.6   16.5   13.1    9.3    7.0    3.4    6.37   9.59  15.85   9.80   10.07
1936    3.3    4.1    7.4    7.9   12.8   16.1   16.0   16.2   14.6   10.6    7.1    6.0    3.59   9.36  16.10  10.75   10.19
1937    5.8    4.1    3.6    9.9   13.8   14.1   15.6   16.5   13.3   10.6    7.0    3.9    5.35   9.10  15.43  10.33    9.89
1938    5.9    5.8    9.3    9.5   11.4   13.4   15.0   16.9   14.2   10.6    8.3    5.3    5.18  10.07  15.10  11.00   10.49
1939    3.7    6.7    7.0    9.1   12.5   15.3   14.6   16.7   14.7    9.6    7.9    5.1    5.19   9.54  15.52  10.74   10.25
1940    2.3    4.3    6.4    9.0   14.5   17.6   14.5   15.1   12.2   10.4    7.0    5.0    3.89   9.95  15.70   9.87    9.86
1941    1.7    3.6    5.6    7.3   11.0   15.1   16.1   14.7   15.3   10.7    7.5    6.8    3.40   7.96  15.33  11.20    9.66
1942    3.6    3.5    5.8   11.0   12.5   13.2   15.4   15.4   12.9    9.7    7.1    7.4    4.67   9.72  14.66   9.91    9.82
1943    5.1    6.9    7.9    9.9   12.1   14.6   15.9   14.4   13.2   11.6    6.9    5.7    6.46   9.96  14.96  10.58   10.36
1944    6.4    5.1    6.4   10.6   10.8   13.5   16.3   17.2   13.0    9.8    5.6    5.1    5.72   9.27  15.68   9.47    9.99
1945    1.6    6.8    9.4    9.9   12.5   14.8   16.8   16.5   14.8   12.4    8.7    6.5    4.41  10.59  16.04  11.97   10.90
1946    5.2    5.4    6.9   10.1   13.1   13.8   15.2   15.0   13.9   10.3    7.8    4.9    5.69  10.04  14.68  10.67   10.17
1947    4.2    0.4    3.4    8.5   14.1   14.7   16.9   20.0   14.0   11.8    6.6    5.4    3.26   8.66  17.25  10.80   10.07
1948    3.8    5.6   10.1    9.9   12.9   13.9   15.6   14.0   13.2    9.8    8.9    6.8    4.93  10.99  14.50  10.63   10.39
1949    6.0    6.7    6.4   10.0   11.9   15.3   16.6   15.9   15.4   11.6    7.9    5.3    6.50   9.42  15.94  11.63   10.77
1950    6.1    4.7    8.1    7.9   12.3   15.2   16.3   16.4   12.3   10.1    5.6    2.3    5.36   9.45  15.97   9.34    9.81
1951    3.8    3.7    4.6    6.7   11.5   14.2   15.3   14.6   14.1   11.5    8.2    5.7    3.27   7.61  14.66  11.26    9.52
1952    2.7    4.7    7.2   10.7   13.4   12.8   15.8   15.0   11.2    9.4    4.7    4.5    4.38  10.44  14.56   8.44    9.37
1953    5.8    6.2    8.6    8.1   12.9   15.4   15.0   15.8   14.7   11.4    8.8    7.2    5.50   9.88  15.42  11.61   10.85
1954    4.8    3.7    6.6    9.9   12.5   14.0   14.1   14.3   12.2   10.5    7.1    6.5    5.26   9.69  14.16   9.94    9.73
1955    3.1    1.6    5.1   10.9   10.8   14.7   18.6   18.2   14.8    9.5    8.7    5.0    3.80   8.89  17.19  10.96   10.11
1956    3.9    3.6    7.7    8.4   12.4   13.5   15.3   13.3   14.1   10.1    7.8    6.8    4.15   9.53  14.03  10.67    9.76
1957    6.4    4.8    9.3   10.3   11.9   15.1   14.7   15.1   12.0   11.0    7.6    5.9    6.04  10.49  14.97  10.20   10.37
1958    4.4    4.4    4.0    8.7   10.9   14.6   15.8   15.6   16.1   11.4    8.5    5.1    4.90   7.85  15.35  11.98    9.97
1959    2.3    6.6    8.4    9.7   14.0   15.4   16.0   16.7   15.8   13.3    8.1    5.8    4.58  10.71  16.06  12.43   11.04
1960    4.7    3.8    7.4   10.1   14.5   16.2   15.6   15.1   13.8   10.1    7.3    4.4    4.77  10.66  15.64  10.40   10.27
1961    4.3    6.9    9.0    9.7   11.9   13.9   14.1   14.9   14.2   10.8    6.3    3.3    5.16  10.23  14.27  10.41    9.94
1962    5.3    5.9    3.9    8.9   10.8   14.3   14.5   13.9   12.3   11.1    6.3    5.2    4.81   7.88  14.25   9.90    9.40
1963    1.7    2.7    7.5    9.2   11.1   15.3   15.0   13.9   12.8   11.1    6.7    4.8    3.21   9.27  14.75  10.18    9.35
1964    6.3    5.9    6.1    9.5   12.7   13.8   14.8   14.1   13.4   10.3    7.8    4.7    5.66   9.43  14.21  10.49    9.95
1965    3.9    5.0    6.3    9.2   11.3   14.3   13.5   14.7   12.6   11.3    4.8    3.8    4.53   8.91  14.14   9.58    9.24
1966    3.8    4.1    7.0    7.2   11.8   15.2   14.9   14.8   13.4   10.0    5.6    5.1    3.91   8.68  14.97   9.64    9.44
1967    5.1    6.0    6.8    8.7   10.8   14.8   15.2   15.4   14.0    9.6    7.2    5.4    5.39   8.75  15.16  10.25    9.93
1968    4.7    3.1    6.5    9.5    9.9   15.5   14.6   15.9   13.8   11.3    6.7    5.0    4.44   8.63  15.31  10.63    9.73
1969    5.4    2.1    5.0    8.6   11.2   15.8   16.0   16.6   13.5   12.9    4.5    4.8    4.22   8.24  16.12  10.36    9.75
1970    4.3    3.0    4.6    7.3   12.5   17.5   13.6   16.0   13.4   10.4    6.5    5.6    4.08   8.14  15.67  10.11    9.59
1971    5.7    6.2    6.9    9.3   13.1   12.7   15.9   15.3   14.8   11.7    6.9    7.9    5.81   9.78  14.64  11.14   10.56
1972    4.6    5.1    7.4    9.1   11.9   12.5   16.0   14.6   12.5   11.8    6.6    6.7    5.87   9.46  14.40  10.33    9.92
1973    5.8    4.9    7.9    7.4   11.4   14.5   15.6   16.2   13.4    9.9    6.3    5.4    5.79   8.94  15.41   9.86    9.91
1974    6.7    5.8    7.1   11.4   12.1   14.3   14.3   15.4   12.1    8.5    6.6    7.1    5.98  10.20  14.69   9.08   10.16
1975    6.1    5.8    5.6    8.3   10.7   15.0   16.1   17.9   12.7   11.4    7.1    7.1    6.36   8.20  16.34  10.44   10.35
1976    5.5    5.8    6.2    9.3   12.1   15.7   18.1   18.4   12.8   10.5    6.9    2.5    6.13   9.21  17.43  10.09   10.34
1977    3.6    4.0    7.4    7.2   12.1   13.2   16.2   15.9   12.4   12.1    6.0    6.5    3.36   8.92  15.10  10.17    9.76
1978    3.7    3.1    6.7    7.6   13.7   14.1   14.2   14.5   12.8   11.3    8.1    4.5    4.48   9.37  14.28  10.76    9.58
1979    2.1    2.8    4.2    7.7    9.9   14.5   14.7   14.2   13.1   11.3    6.6    5.0    3.13   7.27  14.46  10.34    8.87
1980    3.4    5.7    5.2   10.0   13.6   14.3   14.8   15.3   14.1    8.7    6.6    6.1    4.67   9.60  14.82   9.78    9.82
1981    5.5    4.8    6.8    9.7   13.2   13.3   14.8   15.9   14.2    7.5    7.2    2.0    5.48   9.91  14.66   9.63    9.60
1982    4.0    6.3    6.5    9.4   12.9   15.0   17.1   15.4   12.9   10.6    7.1    5.0    4.04   9.57  15.83  10.22   10.20
1983    6.2    3.8    6.9    7.1   10.5   13.8   17.8   17.1   12.2   10.3    8.0    6.9    5.06   8.21  16.27  10.16   10.12
1984    2.7    5.6    5.5   10.4   12.3   14.3   16.7   17.7   12.2   10.7    7.6    6.8    5.06   9.38  16.25  10.15   10.21
1985    2.6    5.2    5.5    8.7   11.7   13.3   15.2   14.4   12.5   11.5    4.6    5.6    4.82   8.61  14.33   9.57    9.26
1986    3.7    2.0    6.7    7.0   11.4   15.7   14.9   13.5   12.1   10.6    8.0    5.2    3.83   8.38  14.68  10.24    9.28
1987    3.1    5.0    5.1   10.6   11.0   12.5   15.3   14.9   13.2    9.5    6.8    6.1    4.41   8.85  14.26   9.80    9.43
1988    4.7    5.1    6.1    8.9   13.3   15.5   14.8   15.0   13.3   10.3    7.2    8.0    5.28   9.42  15.12  10.28   10.19
1989    8.2    6.1    7.0    7.6   12.6   14.5   17.5   15.0   13.4   10.9    7.0    4.4    7.47   9.10  15.65  10.45   10.38
1990    6.3    6.1    8.0    9.0   13.5   13.9   16.7   15.9   12.6   11.0    6.6    5.6    5.60  10.18  15.53  10.07   10.48
1991    4.6    4.0    8.2    9.1   11.8   12.6   17.6   16.9   14.1   10.0    7.2    6.8    4.74   9.72  15.75  10.42   10.29
1992    6.5    6.8    6.8    8.6   14.6   16.0   15.2   14.5   12.8    8.4    6.8    4.9    6.68  10.03  15.23   9.33   10.17
1993    5.7    6.8    7.5    9.6   11.6   13.9   13.7   14.0   12.9    8.5    6.3    3.9    5.75   9.53  13.86   9.19    9.52
