Scotland_W Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    4.8    5.9    8.2    8.4   13.8   17.4   17.1   16.6   14.8   12.0    4.9    7.0     ---  10.16  17.04  10.60   10.95
1911    6.1    6.3    7.0    9.5   15.7   16.9   18.4   19.0   14.7   10.9    7.0    7.0    6.46  10.74  18.12  10.89   11.58
1912    4.7    6.0    7.9   11.8   13.4   15.1   17.6   14.5   13.2   10.4    7.4    7.3    5.90  11.05  15.74  10.32   10.78
1913    4.9    6.2    6.9    9.9   12.8   15.5   17.3   17.2   15.4   12.0    9.1    6.2    6.11   9.85  16.69  12.16   11.14
1914    5.3    7.6    7.0   12.1   12.2   16.8   17.5   17.9   15.1   12.0    8.4    5.2    6.32  10.41  17.40  11.82   11.43
1915    4.8    5.3    7.1   10.2   13.8   17.3   16.4   16.9   15.4   11.1    5.3    5.1    5.08  10.37  16.87  10.63   10.76
1916    8.3    4.8    4.7    9.9   12.6   14.4   16.9   18.4   14.6   11.0    8.3    4.8    6.10   9.08  16.60  11.28   10.75
1917    3.2    4.2    5.1    7.4   13.6   16.1   18.6   17.3   14.8    8.8    8.9    4.7    4.03   8.74  17.35  10.81   10.26
1918    4.8    7.3    7.4   10.2   14.6   15.6   17.1   16.8   12.5   10.6    7.4    7.0    5.55  10.74  16.51  10.15   10.96
1919    4.5    3.8    4.9    9.0   16.2   14.9   16.8   16.2   13.9   10.4    4.6    5.8    5.14  10.05  15.98   9.64   10.12
1920    5.7    7.2    7.4    8.9   12.9   16.6   15.0   15.4   14.4   12.8    9.3    5.8    6.21   9.76  15.69  12.15   10.96
1921    7.6    6.6    7.6   11.1   13.1   16.8   18.8   16.0   15.2   13.7    7.2    8.4    6.66  10.59  17.21  12.03   11.88
1922    4.8    5.7    7.7    8.4   13.0   14.8   14.7   14.8   14.1   10.9    8.3    6.8    6.36   9.73  14.78  11.11   10.37
1923    7.5    5.6    9.1    9.1   10.8   13.8   17.4   15.6   13.1   10.5    5.5    5.3    6.70   9.67  15.60   9.72   10.32
1924    5.8    5.6    6.6    9.0   11.8   14.8   16.0   15.2   14.0   11.4    9.0    8.4    5.58   9.11  15.35  11.45   10.65
1925    6.8    5.5    6.9    9.3   12.5   17.4   18.4   17.1   13.1   11.7    6.2    4.4    6.95   9.59  17.65  10.34   10.82
1926    6.4    7.0    7.9   11.4   12.5   16.1   18.7   17.5   15.3    9.4    7.1    6.4    5.90  10.56  17.47  10.59   11.33
1927    6.0    6.6    8.5    8.9   13.0   13.6   18.0   17.4   13.8   12.2    7.7    3.3    6.31  10.15  16.34  11.26   10.78
1928    6.8    7.3    6.7   10.4   14.3   13.9   15.2   16.7   14.4   11.3    9.0    5.6    5.76  10.47  15.26  11.56   10.97
1929    3.7    2.9   10.3    9.2   14.0   15.3   17.2   15.5   15.5   10.5    8.0    6.6    4.11  11.18  16.01  11.32   10.77
1930    5.9    4.1    6.3   10.4   13.4   17.0   16.4   16.4   14.8   11.1    7.2    6.0    5.58  10.03  16.61  11.04   10.79
1931    5.1    5.3    6.2    9.8   13.4   14.2   16.0   16.9   13.8   11.1    8.9    7.5    5.44   9.82  15.73  11.26   10.72
1932    8.2    7.0    7.4    8.9   12.9   17.6   16.8   17.3   13.9   10.2    7.8    7.1    7.59   9.72  17.25  10.65   11.28
1933    4.6    5.9    9.4   10.7   13.8   18.4   18.8   17.8   17.1   11.7    7.3    5.1    5.84  11.30  18.30  12.03   11.73
1934    7.0    7.3    6.7    9.3   12.5   17.2   19.7   16.3   15.5   11.0    7.7    8.0    6.42   9.51  17.74  11.38   11.54
1935    6.4    6.5    8.5   10.1   14.5   16.0   17.9   17.6   14.4   10.4    7.7    4.0    6.98  11.03  17.17  10.83   11.19
1936    4.2    4.6    8.2    9.6   14.5   17.2   16.8   17.3   15.8   11.8    7.2    6.9    4.26  10.76  17.10  11.59   11.19
1937    6.4    5.6    5.2   10.6   14.5   15.4   16.9   17.9   14.5   11.4    7.8    4.1    6.32  10.09  16.75  11.25   10.89
1938    6.6    6.9    9.8   10.9   12.7   14.6   16.2   17.9   15.3   11.5    9.5    6.0    5.83  11.15  16.26  12.09   11.52
1939    4.9    7.1    8.0   10.3   14.2   17.5   16.4   18.3   16.0   10.6    9.2    5.3    5.95  10.86  17.37  11.94   11.50
1940    1.8    4.1    7.3    9.8   15.4   19.8   16.2   16.4   13.8   11.1    8.2    6.0    3.73  10.81  17.45  11.04   10.83
1941    1.9    4.6    6.7    8.1   12.8   17.2   17.7   16.0   16.6   12.1    8.4    7.5    4.16   9.21  16.96  12.36   10.83
1942    3.6    3.6    6.6   11.9   13.7   15.5   16.5   16.5   14.3   11.2    7.9    8.1    4.95  10.73  16.17  11.16   10.84
1943    5.6    7.7    8.8   11.0   13.5   15.9   17.8   15.8   14.4   12.1    8.1    6.1    7.13  11.13  16.53  11.52   11.43
1944    7.5    6.0    8.0   11.4   12.8   15.3   17.6   18.2   13.9   10.8    7.0    5.9    6.58  10.74  17.07  10.58   11.24
1945    2.7    7.8    9.9   11.4   13.6   15.6   17.9   18.2   16.1   13.2    9.3    6.9    5.39  11.65  17.24  12.87   11.90
1946    5.2    6.9    7.9   11.6   15.0   14.9   16.5   16.0   14.6   11.0    8.8    5.3    6.30  11.51  15.81  11.48   11.17
1947    4.2    0.7    4.2    9.2   14.6   15.9   17.4   21.8   15.3   12.5    8.3    6.4    3.51   9.35  18.41  12.04   10.96
1948    4.9    6.3   10.4   10.8   14.6   15.3   17.3   15.8   14.3   11.2    9.3    7.1    5.88  11.97  16.15  11.61   11.48
1949    7.1    7.4    7.9   10.7   13.6   17.8   18.2   17.5   17.0   12.6    8.4    6.8    7.21  10.76  17.87  12.66   12.12
1950    6.0    5.8    9.2    8.8   14.3   17.2   17.2   16.6   13.4   10.6    6.7    3.0    6.23  10.77  17.00  10.24   10.76
1951    4.7    4.4    5.6    8.3   12.9   16.4   16.8   15.9   15.1   12.2    9.4    7.0    4.03   8.94  16.34  12.24   10.76
1952    3.6    5.8    8.0   11.8   15.0   14.7   17.5   16.5   12.7   10.4    5.9    5.2    5.47  11.57  16.22   9.69   10.60
1953    6.0    6.7    8.9    9.4   14.9   17.5   16.2   16.9   15.2   11.8    9.5    8.2    5.94  11.07  16.89  12.17   11.80
1954    5.0    4.1    7.2   10.6   13.9   15.1   15.0   15.6   13.3   12.0    8.2    7.6    5.79  10.59  15.23  11.18   10.68
1955    3.9    3.0    6.1   11.9   12.3   15.7   20.6   19.9   15.7   11.0    9.3    6.4    4.91  10.08  18.72  11.96   11.35
1956    4.7    4.0    8.6   10.3   13.7   15.1   16.7   14.6   15.3   11.2    8.4    7.6    5.04  10.86  15.47  11.63   10.87
1957    6.9    5.9    9.8   11.4   13.5   17.7   17.3   16.7   13.1   11.7    8.1    6.7    6.84  11.54  17.24  10.98   11.60
1958    5.1    5.3    5.4    9.9   12.4   15.5   17.7   16.7   16.9   11.9    8.6    5.9    5.74   9.22  16.65  12.50   10.98
1959    3.4    6.5    8.8   10.6   16.4   16.4   17.5   18.4   16.9   14.2    8.7    6.9    5.22  11.91  17.43  13.31   12.08
1960    5.5    5.1    7.7   11.5   15.6   18.3   16.6   17.0   14.8   11.6    8.0    5.1    5.84  11.63  17.30  11.48   11.43
1961    5.1    7.7    9.5   10.8   13.4   15.1   15.5   16.0   15.4   11.6    7.4    3.9    5.90  11.23  15.53  11.49   10.96
1962    6.0    6.5    5.0   10.2   12.6   15.4   15.9   15.1   13.3   12.0    7.1    5.4    5.40   9.29  15.46  10.82   10.40
1963    1.8    2.3    7.8    9.8   12.1   16.5   16.2   15.2   14.1   12.0    8.1    5.2    3.20   9.88  15.95  11.40   10.12
1964    6.3    6.0    6.0   10.4   14.3   15.0   16.1   16.0   14.9   10.7    8.7    5.5    5.84  10.23  15.69  11.44   10.84
1965    4.6    5.7    6.8   10.2   12.8   15.7   15.0   15.8   13.5   12.0    5.6    5.3    5.25   9.94  15.49  10.39   10.27
1966    4.2    4.9    8.3    7.5   13.1   16.0   16.5   15.7   14.7   10.9    6.8    6.1    4.81   9.66  16.05  10.82   10.43
1967    5.8    6.5    7.5    9.9   11.4   16.2   16.0   16.5   14.8   10.9    7.7    6.2    6.13   9.59  16.22  11.13   10.80
1968    5.9    3.6    7.5   10.3   11.4   16.9   16.2   17.4   14.7   12.7    7.4    5.2    5.27   9.73  16.82  11.61   10.78
1969    5.9    2.8    5.0    9.7   12.5   16.5   17.1   17.7   15.0   13.9    5.9    5.4    4.70   9.07  17.10  11.63   10.67
1970    4.9    4.3    6.1    8.4   13.9   18.5   14.9   17.5   14.5   11.6    7.9    6.2    4.86   9.48  16.92  11.33   10.75
1971    6.1    6.6    7.5   10.5   13.8   14.4   17.8   16.3   16.0   12.7    7.9    8.4    6.32  10.59  16.20  12.20   11.54
1972    5.0    5.6    7.8   10.4   12.5   13.3   17.3   15.8   14.2   12.6    7.4    7.3    6.36  10.22  15.49  11.43   10.79
1973    5.8    5.7    8.6    9.2   12.5   16.1   17.1   17.0   14.8   11.0    7.3    6.3    6.28  10.11  16.75  11.03   10.98
1974    7.3    6.5    7.2   12.2   13.2   15.8   15.4   16.2   12.7    9.5    7.5    8.2    6.73  10.84  15.80   9.91   11.01
1975    7.3    6.3    6.8    9.9   12.8   16.9   17.8   19.4   13.7   11.8    8.0    7.6    7.29   9.84  18.06  11.15   11.56
1976    6.7    6.1    6.4   10.4   12.8   16.9   19.2   19.8   14.2   11.2    7.7    3.2    6.82   9.86  18.67  11.05   11.24
1977    4.1    4.9    7.9    8.7   13.5   15.4   18.3   17.1   13.7   12.8    6.9    6.9    4.07  10.03  16.94  11.16   10.89
1978    4.4    3.7    7.4    8.6   15.0   15.4   15.9   15.8   14.2   12.7    9.4    4.9    5.03  10.36  15.72  12.13   10.67
1979    2.6    3.2    5.3    8.8   10.9   15.9   16.0   15.7   14.0   12.0    7.9    6.0    3.56   8.34  15.86  11.29    9.88
1980    3.9    6.1    5.8   11.5   15.2   15.0   15.9   16.3   14.7    9.9    7.7    7.1    5.32  10.82  15.76  10.79   10.78
1981    6.4    5.2    8.2   10.9   13.9   14.5   15.9   17.3   15.2    8.9    8.8    2.4    6.25  10.99  15.93  10.92   10.65
1982    4.5    6.6    7.7   11.1   13.8   16.2   18.4   16.4   14.2   11.5    8.2    5.9    4.43  10.88  17.02  11.29   11.24
1983    7.2    4.2    7.5    8.5   11.7   15.2   19.7   19.0   13.7   11.3    8.9    7.7    5.83   9.24  18.04  11.31   11.29
1984    4.0    5.5    6.2   11.4   14.1   15.9   18.8   19.1   13.8   11.8    8.3    7.1    5.75  10.58  17.93  11.30   11.35
1985    3.0    5.1    6.3    9.8   13.1   14.6   16.1   14.9   14.1   12.2    5.8    6.8    5.05   9.76  15.19  10.69   10.18
1986    4.5    2.0    6.9    7.8   12.0   16.7   15.8   14.8   13.5   11.7    9.1    6.5    4.54   8.92  15.73  11.42   10.15
