Scotland_E Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910   -2.6   -1.2    0.7    0.5    4.1    6.6    7.8    9.0    6.3    4.9   -1.7    1.7     ---   1.79   7.79   3.17    3.03
1911    0.1   -0.9    0.0    1.8    5.2    6.6    9.1    9.6    6.0    2.3    0.9    0.9    0.34   2.31   8.49   3.04    3.50
1912   -1.0   -0.6    1.3    1.8    4.1    7.4    8.7    6.7    5.2    2.6    0.9    0.0   -0.21   2.40   7.62   2.90    3.11
1913   -0.7   -0.2   -0.4    1.2    4.2    7.1    8.4    7.9    7.0    5.1    2.6   -0.4   -0.30   1.67   7.79   4.93    3.50
1914   -0.4    1.0   -0.4    2.1    3.8    7.1    9.0    8.6    6.3    4.2    1.5   -1.4    0.01   1.83   8.25   3.97    3.45
1915   -0.9   -1.0   -0.6    1.4    2.1    6.1    7.8    9.0    6.5    2.8   -2.2   -1.0   -1.10   0.94   7.63   2.40    2.51
1916    1.7   -1.3   -1.5    1.6    3.9    5.7    8.8    8.9    6.6    3.7    2.6   -1.3   -0.17   1.33   7.81   4.27    3.30
1917   -1.3   -2.5   -2.3   -0.7    4.0    6.5    8.2    9.9    7.1    1.4    2.6   -1.7   -1.68   0.34   8.19   3.67    2.61
1918   -2.5    1.9    0.2    0.4    5.6    6.0    8.1    9.6    4.0    4.1   -0.4    0.4   -0.89   2.08   7.92   2.59    3.13
1919   -1.2   -3.4   -2.7    1.5    4.8    6.9    7.0    8.2    5.9    3.3   -2.4   -0.5   -1.33   1.19   7.37   2.28    2.32
1920   -0.9    0.5    1.1    1.7    4.5    6.4    7.7    7.5    6.2    4.3    3.1   -1.0   -0.31   2.46   7.22   4.55    3.45
1921    0.6    0.2    0.9    1.1    3.8    6.3    9.4    8.0    7.2    6.3   -0.2    1.5   -0.07   1.93   7.94   4.44    3.79
1922   -1.2   -0.6   -0.3   -1.2    4.5    6.0    6.9    7.0    5.4    2.7    1.3    0.7   -0.09   1.03   6.64   3.10    2.62
1923    1.5    0.8    0.8    1.2    2.4    5.9    9.9    7.9    5.7    4.0   -1.2   -1.2    1.03   1.47   7.90   2.84    3.15
1924   -0.4    0.1   -2.6    0.7    3.8    6.6    8.7    8.1    6.2    4.0    2.6    2.7   -0.51   0.63   7.78   4.24    3.37
1925    0.7   -0.3   -0.1    0.8    5.1    7.3    9.5    8.6    5.2    4.5   -1.4   -2.9    1.04   1.97   8.50   2.76    3.11
1926    0.2    0.8    1.2    2.6    3.1    6.9    9.6    8.9    6.7    1.4    0.5    0.6   -0.68   2.31   8.47   2.85    3.55
1927   -0.3   -0.5    1.3    1.0    2.8    4.8    9.4    9.0    5.7    4.0    1.2   -2.1   -0.05   1.72   7.76   3.66    3.06
1928   -0.2   -0.2    0.4    2.0    3.7    5.0    8.7    8.4    5.5    3.5    2.3   -0.9   -0.84   2.03   7.38   3.72    3.18
1929   -2.7   -3.2   -0.4    0.3    4.0    6.1    8.5    8.2    7.5    3.3    1.2    0.7   -2.23   1.30   7.59   4.01    2.83
1930   -0.3   -3.3   -1.2    2.4    3.5    7.1    9.0    9.3    7.6    4.6   -0.1    0.2   -0.89   1.57   8.49   4.02    3.27
1931   -1.5   -1.3   -2.5    1.4    4.4    6.7    9.4    7.3    5.5    3.4    3.1    1.7   -0.87   1.10   7.81   4.00    3.15
1932    1.3   -0.1    0.1    0.2    4.0    6.4    9.4    9.1    6.2    2.7    1.1    1.5    0.98   1.44   8.33   3.29    3.51
1933   -2.5   -0.7    0.7    3.2    4.9    7.9   10.8    9.8    7.5    4.8    1.3   -0.3   -0.55   2.95   9.50   4.52    3.98
1934    0.8    1.0   -1.0    1.5    4.2    6.9   10.1    8.5    7.2    4.1    1.0    3.3    0.52   1.56   8.52   4.09    3.99
1935    0.4   -0.1    1.4    1.6    2.5    7.6    8.7    9.5    6.5    3.6    1.1   -2.0    1.23   1.83   8.59   3.74    3.41
1936   -1.7   -2.3    1.1   -0.1    4.3    6.5    9.4    9.3    8.0    3.7    0.5    0.2   -2.02   1.79   8.44   4.05    3.26
1937    0.5   -0.8   -2.4    2.9    4.6    7.1    9.0    9.0    6.7    4.2    1.1   -2.5   -0.01   1.69   8.41   3.99    3.30
1938    0.5    0.2    4.0    2.1    3.6    7.0    8.5    8.4    7.2    4.8    3.2   -0.5   -0.63   3.25   7.95   5.10    4.12
1939   -1.7    1.3    0.6    1.7    4.7    6.9    8.9    9.8    7.7    2.9    2.3   -0.5   -0.32   2.36   8.52   4.30    3.73
1940   -4.9   -1.7   -0.2    1.7    5.1    7.8    8.5    8.2    5.3    4.5    1.4   -0.1   -2.40   2.21   8.19   3.75    2.98
1941   -4.5   -2.3   -1.5    0.8    2.9    6.9    9.5    7.8    8.5    4.2    1.2    0.8   -2.32   0.77   8.09   4.65    2.90
1942   -2.7   -3.8   -1.4    1.3    3.2    6.4    8.3    9.8    6.7    4.4   -0.1    1.3   -1.84   1.02   8.18   3.68    2.82
1943   -0.6    1.3    1.5    3.8    4.0    7.4    8.0    8.2    6.3    5.2    1.5   -0.2    0.63   3.09   7.88   4.34    3.88
1944    0.7   -0.8    0.1    3.4    4.4    6.7    9.7    9.2    5.4    3.5   -0.1   -0.3   -0.07   2.61   8.54   2.92    3.51
1945   -4.7    1.3    2.6    2.5    4.2    7.1    9.8    8.8    7.8    4.8    3.0    0.5   -1.31   3.12   8.57   5.19    3.99
1946   -2.0    0.0   -0.1    2.7    3.4    6.5    9.3    7.4    7.8    3.5    2.3   -1.4   -0.49   2.02   7.75   4.54    3.31
1947   -1.2   -5.4   -4.1    2.1    5.0    8.1    9.5    9.6    7.1    5.3    1.1    0.3   -2.58   0.98   9.08   4.53    3.17
1948   -1.4   -0.1    1.3    1.9    2.9    6.7    8.7    8.4    7.0    3.8    2.1    0.7   -0.39   2.05   7.95   4.28    3.51
1949   -0.1    0.4   -0.5    3.3    3.9    6.4    9.1    9.3    8.4    5.7    1.6    0.2    0.34   2.26   8.27   5.24    4.00
1950    0.2   -1.7    1.5    0.7    4.1    8.1    8.7    8.4    6.3    4.3    0.1   -3.1   -0.37   2.14   8.39   3.55    3.17
1951   -1.6   -1.6   -1.7    0.1    2.6    5.6    9.2    8.2    7.0    5.2    3.0    0.2   -2.15   0.32   7.70   5.05    3.04
1952   -3.9   -1.5    0.9    2.4    5.7    6.7    8.8    8.6    4.9    3.2   -0.8   -1.4   -1.74   3.00   8.02   2.43    2.80
1953    0.2    0.4   -0.2    0.1    5.5    7.7    9.0    8.8    8.3    5.0    3.3    1.4   -0.30   1.83   8.47   5.54    4.15
1954   -0.6   -2.3   -0.2    1.0    4.9    7.1    7.8    8.3    5.3    4.9    1.0    1.1   -0.43   1.90   7.74   3.73    3.23
1955   -2.5   -4.7   -1.8    2.3    2.6    6.4    9.0    9.7    7.4    2.9    2.7   -0.5   -1.93   1.02   8.40   4.32    2.83
1956   -2.1   -3.7    0.2   -0.1    4.9    6.1    8.7    6.6    7.9    4.2    1.6    1.8   -2.07   1.69   7.14   4.58    3.03
1957    0.0   -1.5    3.1    2.4    3.3    6.5    9.4    8.7    5.8    4.6    2.5   -0.4    0.14   2.91   8.22   4.32    3.73
1958   -2.5   -2.2   -2.4    1.3    3.2    6.8    9.0    9.1    8.7    5.2    0.9   -0.9   -1.69   0.70   8.31   4.94    3.05
1959   -4.1   -1.1    1.6    2.6    5.0    7.6    9.1   10.0    6.4    6.2    2.4    0.5   -2.05   3.05   8.93   5.04    3.88
1960   -1.1   -3.0    1.0    3.1    5.1    8.2    8.3    8.2    6.5    5.9    1.0   -1.6   -1.17   3.08   8.26   4.48    3.50
1961   -1.5    1.2    3.1    3.0    4.1    7.1    8.4    8.1    8.0    5.2    0.8   -3.0   -0.67   3.44   7.87   4.65    3.73
1962   -0.7   -0.3   -2.5    0.8    3.9    6.6    7.5    7.7    6.9    5.5    0.7   -1.3   -1.37   0.73   7.25   4.38    2.91
1963   -4.4   -5.4    0.1    2.2    3.5    7.8    8.0    8.1    6.6    4.8    2.0   -0.4   -3.62   1.91   7.98   4.49    2.79
1964    0.1    0.0    0.3    3.1    5.7    6.9    8.9    8.2    6.7    3.4    1.4   -1.7   -0.10   3.04   7.98   3.85    3.60
1965   -1.8   -0.8   -1.2    1.0    4.6    7.6    6.9    7.6    7.0    5.0   -0.7   -1.7   -1.44   1.48   7.38   3.79    2.82
1966   -1.2   -1.4    1.3    0.4    3.7    8.6    7.8    7.6    8.3    3.6    0.1   -0.6   -1.43   1.81   8.00   4.01    3.21
1967    0.1    0.8    1.3    1.9    3.6    6.7    8.9    8.6    7.2    4.2    0.6    0.0    0.07   2.30   8.08   4.03    3.69
1968   -1.0   -3.5    0.6    1.2    2.8    6.9    8.5    8.3    7.4    6.2    1.6   -0.6   -1.47   1.52   7.91   5.10    3.23
1969    0.2   -4.0   -1.9    0.5    4.1    6.9    9.5   10.0    7.5    7.2   -1.4   -1.2   -1.38   0.91   8.83   4.45    3.17
1970   -1.2   -3.1   -1.4    0.2    5.6    7.6    8.2    9.3    7.7    4.5    1.3    0.4   -1.76   1.49   8.41   4.51    3.31
1971    0.3    0.2    0.1    1.5    4.2    5.8    8.7    8.7    7.7    5.0    1.0    3.1    0.30   1.97   7.75   4.59    3.90
1972    0.2   -0.4    0.4    2.5    4.5    5.6    8.2    7.8    5.1    4.6    0.3    0.4    0.98   2.48   7.20   3.35    3.28
1973    0.3   -1.5    0.3    0.8    4.3    7.7    9.1    8.5    7.3    3.4    0.1   -0.6   -0.23   1.81   8.45   3.61    3.34
1974    1.2    0.7    0.2    0.7    4.5    6.4    8.0    8.1    5.6    3.0    1.3    2.3    0.41   1.84   7.55   3.30    3.54
1975    0.4   -0.5   -0.8    2.3    2.7    6.5    9.7   10.7    6.1    5.0    1.1    1.4    0.76   1.37   9.00   4.07    3.74
1976    0.4    0.6    0.0    2.4    5.0    8.7    9.9    8.4    7.6    5.0    0.7   -2.4    0.78   2.46   9.01   4.46    3.87
1977   -2.4   -1.4    1.3    1.3    3.3    5.9    8.8    8.1    6.7    6.3    0.6    1.3   -2.07   1.97   7.63   4.55    3.36
1978   -2.4   -4.2    1.0    1.0    4.7    7.0    8.0    9.2    8.0    6.6    2.9   -0.1   -1.66   2.23   8.10   5.83    3.53
1979   -4.7   -3.3   -1.1    1.5    3.0    7.6    8.9    8.0    6.5    6.2    0.9    0.1   -2.68   1.12   8.16   4.55    2.83
1980   -1.5    0.3   -0.9    2.4    3.4    7.6    8.5    9.3    8.5    3.1    1.7    1.0   -0.36   1.64   8.48   4.40    3.62
1981   -1.0   -1.0    1.0    1.0    4.9    7.1    8.8    9.2    7.7    1.3    2.0   -4.9   -0.31   2.30   8.35   3.66    3.02
1982   -3.0    0.3    0.3    2.5    3.4    7.7    9.2    9.0    6.9    5.1    1.9   -1.1   -2.65   2.03   8.66   4.63    3.52
1983    1.3   -2.6    1.7    0.4    4.2    6.8   10.4    9.9    6.9    4.4    2.4    1.2   -0.76   2.13   9.03   4.57    3.96
1984   -2.9   -0.2    0.0    1.4    3.1    7.8    9.4    9.2    6.9    4.3    3.4    1.1   -0.67   1.51   8.82   4.88    3.64
1985   -2.8   -1.8   -0.7    2.1    4.3    5.9    9.2    8.2    7.3    5.1   -1.5    0.5   -1.13   1.89   7.78   3.65    3.02
1986   -1.7   -4.2   -0.3    0.0    4.9    7.0    8.8    7.0    5.2    4.9    2.1    0.4   -1.70   1.57   7.64   4.06    2.90
1987   -2.7   -1.5   -1.1    3.0    3.7    6.0    9.4    8.7    6.4    3.1    2.1    0.9   -1.25   1.85   8.05   3.86    3.19
1988   -0.3    0.2    0.1    2.0    4.5    8.0    9.0    9.0    7.3    4.7    1.1    2.9    0.26   2.20   8.66   4.39    4.06
1989    2.8    0.4    0.5    1.0    4.8    6.7    9.7    9.0    6.8    5.6    1.9   -1.6    2.11   2.13   8.47   4.77    3.99
1990    1.2    1.4    3.0    1.7    4.9    7.2    9.0   10.1    6.3    5.9    1.8    0.1    0.32   3.20   8.77   4.71    4.41
1991   -1.7   -2.0    1.4    2.3    5.2    6.0   10.8   10.0    6.6    5.0    1.5    0.0   -1.19   2.95   8.95   4.35    3.78
1992   -0.7    0.4    1.8    2.5    5.4    8.6    8.9    8.0    7.0    1.5    0.9   -0.9   -0.12   3.25   8.48   3.13    3.62
1993    0.0    1.9    0.9    2.9    4.4    7.7    8.4    7.7    5.9    2.6   -0.5   -1.3    0.27   2.70   7.95   2.67    3.38
1994   -0.6   -1.6    0.8    1.6    3.1    7.3    9.6    8.4    6.2    3.8    4.5    0.7   -1.16   1.83   8.44   4.84    3.68
1995   -1.4   -0.2   -0.8    2.2    4.2    6.9    9.8    9.7    7.4    6.5    2.7   -2.7   -0.30   1.89   8.84   5.55    3.72
1996    1.7   -1.8    0.1    2.9    2.7    7.1    8.7    9.7    7.5    5.7   -0.3   -0.8   -0.91   1.87   8.52   4.32    3.62
1997   -1.1    0.5    2.2    2.9    4.2    7.1    9.7   10.8    6.7    4.1    4.1    1.5   -0.51   3.13   9.22   4.96    4.42
1998    0.2    3.8    1.5    1.6    5.5    7.0    9.0    9.1    8.5    3.8    0.6    0.4    1.76   2.86   8.39   4.29    4.25
