Scotland_N Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910   -1.9   -0.6    1.4    0.7    4.7    7.0    8.0    9.5    6.9    5.4   -0.5    2.1     ---   2.26   8.18   3.94    3.59
1911    1.3    0.4    0.2    2.0    5.3    7.4    8.8   10.0    7.1    3.3    1.0    2.0    1.27   2.48   8.76   3.80    4.09
1912    0.0   -0.1    1.8    2.8    4.7    7.5    8.8    7.0    5.7    3.8    1.8    0.7    0.62   3.09   7.77   3.78    3.72
1913    0.8    0.8    0.1    1.7    4.7    7.6    8.8    8.5    7.2    5.6    3.4    1.2    0.78   2.17   8.29   5.38    4.21
1914   -0.1    1.2    0.1    3.4    3.9    7.3    9.2    9.4    7.1    5.2    1.8   -0.9    0.74   2.46   8.66   4.72    3.99
1915   -0.6   -0.3    0.0    1.9    2.3    6.3    8.3    9.6    7.3    4.3   -0.4   -0.7   -0.62   1.41   8.09   3.74    3.19
1916    2.3   -0.6   -1.1    2.2    4.1    6.2    9.2    9.1    7.3    4.5    3.6    0.2    0.36   1.71   8.16   5.14    3.92
1917   -1.2   -1.0   -0.9   -0.5    4.6    6.8    8.9   10.1    7.3    2.1    2.9   -0.6   -0.64   1.08   8.64   4.11    3.25
1918   -1.7    2.0    0.8    0.9    5.9    6.3    8.6    9.9    4.3    4.4    1.4    1.3   -0.19   2.58   8.27   3.35    3.68
1919   -0.4   -2.7   -1.8    1.7    5.8    7.0    7.7    8.6    6.3    4.1   -1.2    0.4   -0.55   1.90   7.76   3.09    3.00
1920   -0.1    1.3    1.5    2.1    4.7    7.3    7.8    7.8    6.9    5.7    3.6    0.2    0.53   2.80   7.61   5.40    4.08
