Scotland_E Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910  107.0  115.8   63.0  112.3   55.3   49.2  117.2  180.5   30.3   81.7  122.8  118.3     ---  230.6  346.9  234.9  1153.6
1911   49.1   96.3   58.5   67.6   54.5   74.7   52.3   55.5   37.6   88.2  171.7  183.9   263.8  180.5  182.5  297.4   989.7
1912  129.6   91.8   98.8   26.0   51.6  110.4   64.2  138.8   81.8  128.1   98.3  166.0   405.3  176.4  313.4  308.2  1185.4
1913  126.8   56.6  153.1   92.9  111.9   70.0   25.1   40.3   80.3   69.8   93.4   82.2   349.4  357.9  135.5  243.5  1002.6
1914   79.7  123.3  126.4   45.9   69.1   41.1   84.4   70.4   36.9   68.1  158.7  218.0   285.3  241.3  196.0  263.7  1122.0
1915   94.8  169.4   64.0   59.1   37.7   45.9  113.4  102.4   80.7  103.9   88.7  205.5   482.2  160.9  261.7  273.4  1165.6
1916  123.8  131.6   99.3   84.4  115.9   93.9  156.0  118.9   50.8  183.4  159.7  128.0   460.9  299.6  368.8  393.8  1445.6
1917   79.4   27.7   70.2   58.7   67.0   64.7   54.6  159.5   59.0  133.0  131.7   57.3   235.1  196.0  278.8  323.7   962.9
1918   99.6  111.4   37.2   27.0   81.5   33.5  140.7   80.7  153.7  119.6   92.4   85.1   268.2  145.7  255.0  365.7  1062.4
1919  109.4   49.7   86.5   86.1   30.7   60.0   21.3   69.4   82.2   74.3  165.1  165.3   244.3  203.3  150.7  321.5   999.9
1920  123.3  105.3  110.2   69.3  102.9   32.2   95.8  119.0   65.3   88.7   98.3  125.2   393.9  282.4  247.0  252.4  1135.5
1921  142.2   19.4  115.9   32.4   66.9   23.8   80.6  126.3   48.2   90.1   73.3  114.2   286.7  215.2  230.7  211.5   933.2
1922  142.7   97.1   70.5   91.1   53.6   55.6  117.9   68.1   73.1   65.4   61.2  100.6   354.0  215.1  241.5  199.7   996.7
1923   96.0  187.7   51.6   85.9   92.4   33.4   77.3  162.4  102.1  121.5  112.0  104.5   384.3  229.9  273.1  335.6  1226.7
1924   87.8   43.9   32.7   54.1  133.4   60.0  138.1  111.2  136.7  112.6   71.2  157.1   236.2  220.2  309.3  320.5  1138.9
1925  102.1  162.0   73.3  110.1  134.9   20.0   67.0   76.6  115.5   91.7   44.7  115.8   421.1  318.4  163.6  252.0  1113.8
1926  144.9  125.4   60.9   75.8   78.1   97.9   84.8   71.1  121.9  166.2  169.6   35.6   386.1  214.8  253.7  457.7  1232.2
1927  117.9   52.0   86.5   72.6   77.1  101.7   92.4  152.4  190.5  151.5  106.5   68.9   205.5  236.2  346.5  448.4  1269.9
1928  211.6   90.1  141.8   44.5   47.6  123.0   61.3  140.5   96.4  147.0  130.5  101.8   370.6  233.9  324.8  374.0  1336.2
1929   45.4   52.5   14.7   51.4   72.6   62.6  105.9  117.6   31.0  124.5  134.3  218.4   199.7  138.7  286.1  289.9  1030.9
1930  120.0   38.4   66.6   64.3   44.6   60.8   93.1  181.4  145.1  139.5  143.3  121.6   376.9  175.5  335.4  427.8  1218.8
1931  105.1   80.4   39.2   77.8  104.0  131.9  128.6   90.6   44.4   66.2  177.3   71.9   307.1  221.0  351.1  287.9  1117.4
1932  130.8    8.6   92.3  106.4   90.3   33.1  102.6   39.8  100.0  219.5   76.9  142.7   211.3  289.0  175.6  396.5  1143.3
1933  100.5  110.5   54.9   57.2   48.2   45.8  104.3   44.5   48.9  136.3   93.1   37.3   353.8  160.4  194.5  278.2   881.4
1934  106.1   15.8   98.9  152.0   79.5   52.1   97.8  121.0   99.9  151.5   56.1  173.4   159.2  330.4  270.9  307.5  1204.2
1935   58.0   94.5   56.3  117.1   35.9  114.6   42.2   78.4  136.1  190.0  143.2   77.2   325.8  209.3  235.2  469.3  1143.5
1936  143.6   93.0   67.9   38.7   37.5   47.7  130.7   57.0  104.0   90.9   93.8  118.6   313.8  144.1  235.4  288.8  1023.6
1937  185.5  114.8   92.6   46.0   72.4   52.1  116.8  101.7   56.8  102.0   28.4  116.9   419.0  211.0  270.6  187.2  1086.0
1938  158.8   50.0   44.7   14.1  100.1  120.1  121.8   61.2  104.4  172.6  172.8  110.7   325.6  158.9  303.1  449.8  1231.3
1939  138.3  106.4   95.0   48.2   35.3   55.5  132.4   59.2   68.0  137.1  162.3   57.5   355.4  178.6  247.1  367.5  1095.3
1940   50.4   52.4  105.2   66.6   45.8   23.8  199.2   47.2   77.9  133.5  180.1  103.2   160.2  217.6  270.2  391.5  1085.2
1941   83.8  128.6   69.8   57.9   81.2   28.0   88.2  124.8   37.2  136.1  138.8   66.1   315.6  208.9  241.0  312.0  1040.5
1942  137.5   59.4   62.8   58.0   90.4   38.5   79.5   90.9  112.0  121.7   25.7  112.6   263.1  211.1  208.9  259.4   988.9
1943  127.3   81.6   49.0   67.0  116.3   76.6   66.1  139.4   93.4  143.4   75.3   50.4   321.4  232.4  282.0  312.1  1085.8
1944   94.1   54.8   29.7   69.7   84.3   86.6   76.6   73.1  123.1  127.5  169.1  122.6   199.3  183.7  236.2  419.7  1111.1
1945  139.6  111.2   50.2   46.5  131.3   85.2   87.4   92.4  122.0  141.5   29.1  153.1   373.4  228.1  264.9  292.6  1189.5
1946   96.2   69.7   66.6   24.4   57.7   82.3  127.8  119.2  138.3   16.4  187.0  110.5   319.0  148.6  329.3  341.7  1096.0
1947  128.8   64.6  124.2  141.1  109.9   88.7   89.6    5.7   91.5   58.5  130.2   68.2   303.9  375.3  184.1  280.2  1101.1
1948  173.5   98.8   62.4   67.7   81.0  139.0   82.4  206.6  102.4  110.4   62.2  147.9   340.4  211.1  428.0  274.9  1334.1
1949   93.1   76.9   59.5   68.5   62.5   41.9   62.0  114.1   52.8  137.7  114.8  149.5   317.9  190.5  218.0  305.3  1033.3
1950   73.1  116.2   81.0   88.0   46.5   54.5  123.5  108.0  206.9   71.4  125.6   66.7   338.8  215.6  286.0  403.9  1161.5
1951  121.5  106.9   88.3   96.0   56.3   55.6  104.3  133.1   59.8   28.1  234.1  115.4   295.0  240.6  292.9  322.1  1199.4
1952   88.3   36.0   80.4   54.1   67.2   75.8   60.7  111.3   63.2  113.4   93.0  114.7   239.6  201.7  247.7  269.7   958.1
1953   40.8   44.7   22.1   83.8   71.5   76.9  131.5   72.4  106.8   58.2  121.6  114.0   200.2  177.5  280.8  286.6   944.4
1954   89.8   89.7   82.7   39.4  144.7   74.1   80.7  113.9  107.1  201.4  182.7  150.3   293.5  266.8  268.7  491.1  1356.4
1955   61.3   88.7   53.0   32.8   82.5   40.1   35.4   28.5   66.8  101.2   57.9  187.7   300.3  168.2  104.1  225.9   835.9
1956  102.9   63.8   62.9   40.4   38.0   81.7  139.4  175.4  130.1   86.4   47.6  150.8   354.4  141.2  396.5  264.1  1119.2
1957  132.3  110.8   93.2   39.3   57.7   54.7  144.0  137.2   69.6   76.7   53.6  146.6   393.9  190.2  335.9  200.0  1115.9
1958   99.0   97.3   89.3   54.1   88.0   84.4  158.4  119.5   97.8   75.2   35.9  160.7   343.0  231.5  362.3  209.0  1159.8
1959   69.0   24.0   56.3   81.9   36.5   69.6   96.4   30.2   26.1  123.9  172.8  176.2   253.7  174.7  196.1  322.8   962.8
1960  129.7  113.0   59.4   85.7   54.4   57.0   97.9  144.8   76.8  174.8  133.5  102.0   418.9  199.5  299.8  385.2  1229.1
1961  105.1   86.5   42.3   82.3   45.0   39.8   90.5  114.1  107.6  141.0   68.1   95.9   293.6  169.7  244.4  316.7  1018.3
1962  151.0   75.5   50.1   57.1   61.5   45.8   88.8  138.7  142.8   44.0   94.4  112.0   322.4  168.6  273.3  281.2  1061.6
1963   53.4   50.9  132.0   73.5   76.7   96.9   64.6  151.4   89.5   81.2  187.1   44.3   216.2  282.2  313.0  357.8  1101.5
1964   40.6   40.8   90.4   69.9   66.2   68.2   49.6  120.3   89.3   61.1   61.9  108.1   125.7  226.4  238.1  212.2   866.2
1965  103.9   30.8   64.8   74.8   71.6   84.9  103.6   74.8  146.1   90.2   98.3  105.0   242.8  211.2  263.3  334.6  1048.8
1966   75.1  118.9   62.3   72.9   86.5  132.4   49.7  124.2   74.9  120.6  103.3  132.8   299.0  221.7  306.2  298.7  1153.5
1967  103.5  111.6  103.8   43.9  143.4   44.3   65.0   74.4  101.1  159.7   84.7   61.0   347.9  291.1  183.6  345.5  1096.4
1968   80.6   62.7   76.0   72.1  114.5   45.9  105.3   51.9  102.7  144.2   70.9   82.3   204.3  262.6  203.1  317.9  1009.1
1969  125.3   71.9   47.5   64.3  128.9   78.3   47.0   68.9   64.8   56.7  111.4   81.4   279.6  240.7  194.2  232.9   946.4
1970  123.1   95.2   55.0   66.2   46.9   60.1  113.4  111.0   97.6   95.8  132.4   58.5   299.7  168.1  284.6  325.8  1055.3
1971  107.3   50.4   74.9   48.2   64.4   56.0   87.6   77.7   33.1   84.3   84.8   64.3   216.2  187.4  221.3  202.2   832.9
1972  147.0   97.1   60.2   73.2   99.1   78.4   44.7   51.8   15.3   33.3   92.4   94.1   308.4  232.5  174.9  141.0   886.6
1973   68.5   40.1   31.1   65.0   77.5   52.4   78.5   68.4   58.2   58.3   78.0  103.7   202.7  173.6  199.2  194.5   779.6
1974  199.1   84.0   70.3   23.1   62.0   50.9   71.9   71.7   90.5   83.5  141.3  135.7   386.7  155.4  194.5  315.3  1084.0
1975  170.4   39.0   42.9   74.8   36.1   50.5   86.8   67.1  137.0   46.8   75.1   39.0   345.1  153.8  204.5  258.9   865.7
1976  109.9   56.6  107.0   38.5  105.0   33.1   50.4   23.3  138.9  191.5   80.3   96.0   205.6  250.4  106.8  410.6  1030.4
1977   94.2  123.9  107.7   71.5   60.4   68.5   45.0   89.0   95.7  127.3  128.5   78.2   314.1  239.7  202.5  351.5  1090.0
1978  123.4  105.7  114.9   62.5   40.0   49.7   82.8   94.9   99.3   41.3  117.2  191.1   307.3  217.4  227.5  257.8  1122.8
1979   73.6   24.6  133.3   77.6   88.8   51.6   70.5  108.4   53.5  131.5  116.7  148.9   289.3  299.7  230.5  301.7  1079.0
1980   95.1   87.4  110.4   11.7   25.3  113.3   82.7  102.4   90.5  113.8  124.4  120.7   331.4  147.3  298.4  328.8  1077.7
1981   78.8   58.0  118.7   22.4   70.4   70.7   70.5   20.6  171.6  146.4  119.8   76.8   257.5  211.5  161.7  437.8  1024.6
1982  108.9   74.5  106.1   31.9   63.8   56.7   39.6  103.3  139.7  188.6  144.2  131.2   260.3  201.8  199.7  472.6  1188.6
1983  135.8   49.7   89.7   72.7  119.5   67.7   23.8   27.2  129.5  127.8   29.0  143.4   316.6  281.9  118.6  286.3  1015.6
1984  174.3   75.3  120.8   22.3   26.9   53.8   43.3   29.3  120.7  133.1  250.3  107.6   393.1  170.0  126.3  504.1  1157.6
1985   82.0   22.8   83.0   84.4   72.3   87.2  138.3  174.5  150.9   44.3  110.2  139.6   212.3  239.8  400.0  305.4  1189.7
1986  135.8   35.5   88.6   76.8  133.8   59.1   62.4  107.7   31.2   88.1  125.0  185.2   310.9  299.2  229.2  244.3  1129.1
1987   60.9   60.4  107.6   69.8   55.0   98.7   88.2   89.7   84.2  128.9   72.3   90.0   306.6  232.3  276.5  285.4  1005.6
1988  153.5   85.6  108.7   71.8   57.7   21.8  165.6  117.9   94.9  146.8   74.7   61.6   329.1  238.2  305.4  316.4  1160.7
