Scotland_N Sunshine (Total hours)
Areal series, starting from 1929
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1929   40.6   60.7  146.9  161.2  173.0  155.4  118.8   93.8   83.2   64.7   44.6   27.6     ---  481.1  368.0  192.5  1170.5
1930   36.0   93.3  105.6  131.3  170.0  192.3  101.2   98.3   73.8   57.7   37.5   25.3   156.9  406.8  391.8  169.0  1122.3
1931   29.3   53.5  128.4  108.6  148.2  130.4   85.0  138.3  105.7   67.1   36.2   18.8   108.1  385.1  353.7  209.0  1049.5
1932   36.3   64.8   67.5  119.4  167.8  164.9  110.0  127.2   73.7   52.1   43.3   27.9   119.9  354.7  402.1  169.1  1054.9
1933   40.0   42.1   94.7   98.8  133.4  185.6  122.6  139.6  128.0   43.3   42.2   28.3   110.0  326.9  447.8  213.6  1098.7
1934   23.2   41.7  114.4  100.7  139.4  200.5  138.7   92.9  120.4   58.7   37.9   18.8    93.1  354.5  432.2  217.0  1087.3
1935   21.6   54.5  121.6  112.5  206.4  137.8  167.4   97.8   93.8   45.2   46.1   31.8    94.9  440.5  403.0  185.1  1136.6
1936   31.4   60.4   65.9  146.2  168.6  217.4  125.5  110.4  100.3   87.0   38.4   16.2   123.6  380.7  453.3  225.6  1167.7
1937   28.6   56.7  109.4   94.4  203.7  143.2   97.7  131.2   99.6   73.4   36.6   27.7   101.5  407.5  372.1  209.6  1102.2
1938   20.3   47.5   67.2  120.8  151.5  127.2  106.8  184.1   99.5   71.8   31.1   32.8    95.5  339.5  418.0  202.4  1060.5
1939   35.3   40.6   95.3  129.2  156.3  174.7   70.6  150.7  104.8  102.1   31.6   18.5   108.7  380.7  395.9  238.5  1109.5
1940   36.6   63.9   79.7  114.7  164.7  214.8   91.4  109.4   79.5   63.3   33.7   22.9   118.9  359.0  415.6  176.5  1074.5
1941   40.9   45.1  112.3  106.8  157.3  160.8  102.2   91.9   93.4   70.0   38.1   20.1   108.9  376.4  354.9  201.4  1038.8
1942   25.2   59.3   77.9  206.3  201.7   96.2  120.7   72.0   89.2   58.3   40.8   18.7   104.5  486.0  289.0  188.4  1066.5
1943   30.4   37.5   95.4   98.6  160.5  139.1  161.2   91.1   92.3   50.9   27.8   27.9    86.7  354.4  391.4  171.0  1012.8
1944   20.7   50.3   72.1   98.6   99.3  109.9  107.1  154.7  103.5   56.9   42.1   19.7    98.9  269.9  371.7  202.5   934.8
1945   32.6   52.9   71.0  119.1  160.9  151.1  100.0  141.4   89.8   77.7   42.6   18.5   105.3  351.0  392.5  210.2  1057.8
1946   39.8   50.8   82.2  128.5  221.4  128.5   95.9  133.0   90.8   88.9   34.9   30.9   109.1  432.1  357.5  214.7  1125.8
1947   42.2   75.5  103.6  101.3  152.7  108.9  150.6  232.1   87.2   78.6   38.6   17.4   148.7  357.5  491.7  204.3  1188.6
1948   29.3   54.9  120.1  137.9  218.3  130.7  133.4   76.0   98.3   78.9   45.7   29.3   101.5  476.3  340.1  223.0  1152.9
1949   22.7   66.7  100.0  125.0  156.1  225.3  121.7  103.8  117.3   56.5   42.5   19.4   118.7  381.1  450.8  216.3  1157.0
1950   33.8   72.1   82.0  123.2  182.6  134.3  148.7  154.4   82.1   82.9   49.9   19.6   125.3  387.8  437.5  214.9  1165.6
1951   35.8   50.1   82.2  137.1  213.8  186.3  107.9  103.8  104.6   73.5   30.1   27.8   105.5  433.2  398.1  208.2  1153.1
1952   38.0   47.3   94.9  147.3  151.0  110.3  131.5   91.9   82.3   79.1   45.6   20.8   113.1  393.2  333.7  207.0  1040.0
1953   24.0   57.1  128.0  144.5  156.3  145.9   80.2  112.3   95.7   68.6   37.9   32.8   101.9  428.8  338.5  202.1  1083.2
1954   26.0   55.1  119.6  176.9  143.4  138.4   90.8   95.5   98.1   66.4   33.0   18.4   113.9  439.9  324.7  197.6  1061.6
1955   35.4   78.1   96.7  161.6  194.5  189.5  211.3  143.7  104.0   55.8   43.1   26.8   131.9  452.8  544.6  202.8  1340.6
1956   30.8   50.8  122.4  157.7  143.6  168.8  144.7  116.4   82.6   71.2   27.3   17.2   108.4  423.7  429.9  181.1  1133.5
1957   31.8   66.6   66.0  155.5  163.9  192.0   78.9  109.5   91.6   50.1   27.3   32.9   115.6  385.4  380.4  169.0  1066.0
1958   24.0   39.7  105.9  119.7  178.4  131.2  141.3  102.1  114.8   69.1   50.8   22.7    96.5  404.1  374.6  234.7  1099.9
1959   38.3   81.6  102.4  108.0  188.3  171.7   96.5  101.8  136.8   96.7   43.9   20.3   142.6  398.7  370.1  277.3  1186.3
1960   34.4   83.2   89.0  107.2  177.6  171.9  126.6  110.7  124.4   50.6   48.6   35.8   137.8  373.8  409.2  223.6  1159.8
1961   34.4   60.9   74.8  124.4  171.8  128.4   68.9  104.2  100.4   65.9   44.2   26.7   131.1  371.0  301.4  210.5  1004.9
1962   27.9   60.3   93.0  193.7  135.5  136.2  140.5  117.5   67.1   53.8   26.7   18.3   114.8  422.2  394.2  147.6  1070.4
1963   41.2   84.0  101.5  136.1  162.7  153.9  153.2   78.0   90.9   57.0   32.0   22.1   143.6  400.2  385.2  180.0  1112.7
1964   27.5   69.0   90.4  100.4  132.1  144.5  118.7  113.0   86.6   71.5   28.0   19.0   118.5  322.9  376.2  186.0  1000.5
1965   30.7   28.3  103.0  135.1  111.5  109.6  129.3  124.9   62.6   85.7   43.9   17.6    78.0  349.6  363.8  192.3   982.3
1966   18.3   58.7   69.2  149.6  153.0   99.7  128.4  153.0   61.8   52.9   36.5   14.0    94.6  371.8  381.1  151.2   995.1
1967   16.4   49.3   75.2  124.8  153.1  194.2  104.1  108.2   77.4   69.8   29.5   15.5    79.8  353.0  406.5  176.8  1017.5
1968   20.3   87.3   69.2  156.5  143.8  171.3  114.5  177.3   85.0   43.0   46.7   19.0   123.1  369.5  463.2  174.7  1133.9
1969   18.6   61.5  106.7  147.7  120.6  185.4  126.0  126.3   92.4   57.5   33.1   22.5    99.2  375.1  437.7  183.0  1098.5
1970   23.4   69.0   93.9  137.7  120.9  231.4   89.5  108.5   75.8   48.2   32.9   16.6   114.8  352.5  429.4  156.9  1047.7
1971   16.0   49.0   74.2  119.9  172.7  143.9  148.1  128.2  117.3   86.4   23.0   15.4    81.6  366.7  420.1  226.7  1093.9
1972   26.9   54.6  105.9  117.5  126.5  136.4  166.9  114.3   95.8   85.0   33.6   29.2    96.9  349.9  417.6  214.4  1092.6
1973   26.1   53.3  101.2  109.2  142.8  111.2  117.0  145.1   94.3   91.2   27.3   11.5   108.6  353.2  373.3  212.7  1030.0
1974   22.7   34.4  113.0  189.0  140.1  164.6  119.7  125.1  103.8   46.7   33.7   13.5    68.5  442.1  409.4  184.2  1106.3
1975   23.6   96.5   94.2   93.2  190.6  181.9  124.8  136.9   87.3   83.7   34.3   11.2   133.5  378.0  443.6  205.4  1158.3
1976   18.6   59.4   96.2  111.4  132.2  114.3  153.6  210.6   79.0   65.3   46.1   20.8    89.2  339.8  478.4  190.4  1107.5
1977   34.8   70.8   72.0  118.5  187.6  159.3  139.2  158.3   89.7   59.6   29.5   24.2   126.5  378.2  456.8  178.9  1143.6
1978   23.6   66.3   80.4  108.5  174.0  137.9  100.8   75.1   72.4   55.6   32.9   15.7   114.1  363.0  313.8  160.9   943.4
1979   24.0   79.5   88.0   96.2  141.8  141.7   82.1   90.9  101.6   70.5   31.7   17.6   119.3  326.0  314.7  203.8   965.6
1980   25.8   49.8   77.2  127.0  198.3  115.4   87.0   87.5   79.6   58.0   25.0    8.4    93.1  402.5  289.9  162.6   938.9
1981   16.9   66.3   84.6  169.3  158.9  118.1   91.3  110.2   84.5   69.2   28.7   20.2    91.6  412.8  319.6  182.3  1018.2
1982   22.3   60.4   88.5  107.5  188.3  162.1  160.9  105.4   73.4   55.2   27.7   17.8   102.8  384.4  428.3  156.4  1069.5
1983   11.9   61.4   52.2  119.5   99.4  141.8  167.2  120.7   66.0   54.8   24.4   13.0    91.2  271.2  429.7  145.2   932.5
1984   21.6   38.7   59.6  169.6  177.5  114.3  114.0  151.3   64.1   66.3   25.0   23.7    73.4  406.8  379.5  155.3  1025.6
1985   31.1   78.6   89.9   97.1  154.1  143.9   88.5  103.9   77.8   77.4   29.9   15.7   133.3  341.0  336.3  185.1   987.9
1986   21.2   90.4   96.4  119.7  125.6  180.1  110.4  117.4   85.9   68.3   27.8   13.2   127.4  341.7  407.9  182.0  1056.5
1987   20.6   50.0   97.7  102.2  150.5  118.1   74.8  101.6  118.1   74.3   24.4   21.7    83.8  350.4  294.5  216.8   954.0
1988   29.6   39.2   83.2  120.5  181.5  145.9   97.9   87.0   83.6   53.7   38.8   12.1    90.5  385.2  330.8  176.1   973.0
1989   29.1   59.2   92.8  117.8  185.0  159.5  170.3  104.6  103.5   54.8   50.8   21.2   100.4  395.6  434.5  209.1  1148.7
1990   21.2   48.8   61.2  147.7  182.0   94.1  184.5  100.2   78.8   67.7   29.2   12.1    91.2  391.0  378.8  175.7  1027.6
1991   37.3   52.6   72.6  132.2  140.8  123.4  133.6  128.4  113.9   50.3   26.0   12.4   102.0  345.6  385.3  190.2  1023.4
1992   24.2   44.2   50.2   90.4  217.4  161.4   96.1  118.2   75.2   58.7   28.3   17.7    80.7  357.9  375.6  162.2   981.7
1993   16.1   29.8   93.1  105.6  156.8   96.6   77.0   88.1  103.9   51.5   49.1   15.3    63.5  355.5  261.7  204.5   883.0
1994   16.7   68.3   78.2  116.5  222.8  125.2  143.1  118.1  105.1   64.5   30.2   21.6   100.4  417.4  386.3  199.8  1110.2
