summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2010-06-30,3.5216155
2010-07-01,2.2257051
2010-07-02,3.8504176
2010-07-03,3.7762403
2010-07-04,2.700859
2010-07-05,3.2207959
2010-07-06,2.248769
2010-07-07,3.5664175
2010-07-08,3.065425
2010-07-09,2.0027888
2010-07-10,1.4359426
2010-07-11,2.410528
2010-07-12,2.2091582
2010-07-13,2.6778255
2010-07-14,0.85139066
2010-07-15,1.8117235
2010-07-16,2.5201502
2010-07-17,2.836969
2010-07-18,2.2591476
2010-07-19,1.5650951
2010-07-20,2.253645
2010-07-21,1.6789088
2010-07-22,2.2955916
2010-07-23,2.95026
2010-07-24,1.8081565
2010-07-25,1.9708291
2010-07-26,1.7013857
2010-07-27,2.619093
2010-07-28,1.876698
2010-07-29,2.1902263
2010-07-30,1.6080757
2010-07-31,1.93942
2010-08-01,1.7739928
2010-08-02,1.6269764
2010-08-03,1.9194492
2010-08-04,2.102775
2010-08-05,2.2993238
2010-08-06,1.3539453
2010-08-07,1.6618755
2010-08-08,2.1708121
2010-08-09,1.7233125
2010-08-10,1.7891991
2010-08-11,1.7029026
2010-08-12,2.1478298
2010-08-13,2.0509095
2010-08-14,2.21517
2010-08-15,2.5451114
2010-08-16,1.4119034
2010-08-17,1.5843064
2010-08-18,2.053518
2010-08-19,2.3866904
2010-08-20,2.0542278
2010-08-21,2.908221
2010-08-22,2.5701952
2010-08-23,1.0467505
2010-08-24,1.6967106
2010-08-25,1.7434423
2010-08-26,1.7767158
2010-08-27,1.6945891
2010-08-28,1.6712584
2010-08-29,2.59863
2010-08-30,2.0751743
2010-08-31,1.9462793
2010-09-01,1.398295
2010-09-02,1.8924977
2010-09-03,1.876854
2010-09-04,1.6566826
2010-09-05,1.9375731
2010-09-06,2.7302442
2010-09-07,1.5164158
2010-09-08,1.2687234
2010-09-09,1.5044725
2010-09-10,1.3302865
2010-09-11,1.4200852
2010-09-12,1.8159044
2010-09-13,1.1379646
2010-09-14,2.0747766
2010-09-15,1.8599535
2010-09-16,1.7552764
2010-09-17,1.6777217
2010-09-18,1.1825635
2010-09-19,0.6414811
2010-09-20,0.91819847
2010-09-21,0.9387459
2010-09-22,0.9743379
2010-09-23,0.7788428
2010-09-24,1.3897785
2010-09-25,1.1922355
2010-09-26,0.9960803
2010-09-27,0.18653263
2010-09-28,0.3580952
2010-09-29,0.5151831
2010-09-30,0.7707596
2010-10-01,0.8346946
2010-10-02,1.0235286
2010-10-03,0.67902297
2010-10-04,1.2638502
2010-10-05,1.5044897
2010-10-06,1.1398101
2010-10-07,0.857883
2010-10-08,0.5402516
2010-10-09,0.7596766
2010-10-10,0.8404823
2010-10-11,0.4188767
2010-10-12,0.2809263
2010-10-13,0.28861913
2010-10-14,0.44663393
2010-10-15,0.75481606
2010-10-16,0.4020703
2010-10-17,0.6223369
2010-10-18,1.0836337
2010-10-19,0.7077068
2010-10-20,0.70648766
2010-10-21,0.77464104
2010-10-22,0.3559597
2010-10-23,0.5558901
2010-10-24,0.3341419
2010-10-25,0.39324242
2010-10-26,0.47818097
2010-10-27,1.1773617
2010-10-28,0.77683055
2010-10-29,1.1790913
2010-10-30,0.41246173
2010-10-31,0.003539109
2010-11-01,0.21676436
2010-11-02,0.9098345
2010-11-03,0.8697542
2010-11-04,0.22943461
2010-11-05,0.31234676
2010-11-06,0.009282423
2010-11-07,0.29851824
2010-11-08,1.0128424
2010-11-09,0.81770587
2010-11-10,0.11245916
2010-11-11,0.8152716
2010-11-12,1.1269759
2010-11-13,0.28152093
2010-11-14,0.012717506
2010-11-15,0
2010-11-16,0.0948769
2010-11-17,1.0934097
2010-11-18,0.8055477
2010-11-19,0
2010-11-20,0.087212764
2010-11-21,0.19017911
2010-11-22,0
2010-11-23,0
2010-11-24,0.0872549
2010-11-25,0.27863854
2010-11-26,0
2010-11-27,0
2010-11-28,0.16582346
2010-11-29,0.1266831
2010-11-30,0.26701808
