summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2007-06-30,332.22623
2007-07-01,356.58115
2007-07-02,350.78192
2007-07-03,346.2239
2007-07-04,348.982
2007-07-05,352.6326
2007-07-06,354.12738
2007-07-07,345.1831
2007-07-08,322.09628
2007-07-09,312.62363
2007-07-10,338.9573
2007-07-11,345.30722
2007-07-12,352.62283
2007-07-13,355.94678
2007-07-14,348.2376
2007-07-15,333.27908
2007-07-16,350.8143
2007-07-17,341.25006
2007-07-18,346.83777
2007-07-19,347.9346
2007-07-20,347.7136
2007-07-21,344.40308
2007-07-22,342.12915
2007-07-23,335.6461
2007-07-24,333.04352
2007-07-25,350.17023
2007-07-26,350.7843
2007-07-27,331.449
2007-07-28,329.1787
2007-07-29,308.2756
2007-07-30,318.3856
2007-07-31,328.09503
2007-08-01,352.36163
2007-08-02,336.1833
2007-08-03,358.3187
2007-08-04,346.2646
2007-08-05,358.00168
2007-08-06,346.3553
2007-08-07,329.04456
2007-08-08,297.38626
2007-08-09,310.37808
2007-08-10,345.77505
2007-08-11,358.14215
2007-08-12,348.9843
2007-08-13,330.27136
2007-08-14,351.5203
2007-08-15,333.00137
2007-08-16,330.9489
2007-08-17,328.51562
2007-08-18,354.5139
2007-08-19,348.1527
2007-08-20,329.2379
2007-08-21,357.83908
2007-08-22,306.88715
2007-08-23,310.08423
2007-08-24,327.83856
2007-08-25,343.80554
2007-08-26,322.24887
2007-08-27,335.06473
2007-08-28,342.74536
2007-08-29,333.74515
2007-08-30,351.15128
2007-08-31,349.64294
2007-09-01,335.5429
2007-09-02,340.73236
2007-09-03,305.20178
2007-09-04,328.54886
2007-09-05,361.768
2007-09-06,347.45975
2007-09-07,319.24945
2007-09-08,335.69162
2007-09-09,352.3116
2007-09-10,303.2528
2007-09-11,335.17038
2007-09-12,343.33432
2007-09-13,357.08627
2007-09-14,313.47757
2007-09-15,331.59027
2007-09-16,350.60452
2007-09-17,316.05902
2007-09-18,312.4443
2007-09-19,315.3865
2007-09-20,339.4814
2007-09-21,332.13858
2007-09-22,329.3474
2007-09-23,347.37808
2007-09-24,340.071
2007-09-25,312.90686
2007-09-26,289.78455
2007-09-27,321.94666
2007-09-28,334.44244
2007-09-29,328.5662
2007-09-30,314.832
2007-10-01,289.51834
2007-10-02,290.14438
2007-10-03,346.9658
2007-10-04,324.36816
2007-10-05,289.23523
2007-10-06,315.33615
2007-10-07,321.6175
2007-10-08,328.70035
2007-10-09,342.72894
2007-10-10,312.75153
2007-10-11,341.0867
2007-10-12,346.2773
2007-10-13,348.37772
2007-10-14,344.35992
2007-10-15,342.9658
2007-10-16,302.5758
2007-10-17,278.49054
2007-10-18,296.56714
2007-10-19,320.84534
2007-10-20,307.75314
2007-10-21,325.4163
2007-10-22,329.79373
2007-10-23,266.68
2007-10-24,276.19894
2007-10-25,313.34036
2007-10-26,338.67743
2007-10-27,341.55057
2007-10-28,305.5464
2007-10-29,280.21793
2007-10-30,316.8074
2007-10-31,346.15604
2007-11-01,356.85245
2007-11-02,338.07132
2007-11-03,325.24368
2007-11-04,311.66187
2007-11-05,315.62033
2007-11-06,298.44244
2007-11-07,322.4243
2007-11-08,293.71332
2007-11-09,291.1165
2007-11-10,339.24887
2007-11-11,288.96606
2007-11-12,264.04068
2007-11-13,312.03583
2007-11-14,302.7658
2007-11-15,293.62274
2007-11-16,299.8055
2007-11-17,324.86386
2007-11-18,315.4052
2007-11-19,321.90695
2007-11-20,322.53677
2007-11-21,325.829
2007-11-22,306.86368
2007-11-23,245.55583
2007-11-24,303.6758
2007-11-25,310.1219
2007-11-26,307.06757
2007-11-27,325.0602
2007-11-28,330.29312
2007-11-29,284.90955
2007-11-30,325.95807
2007-12-01,307.1455
2007-12-02,307.20078
2007-12-03,287.07596
2007-12-04,328.02942
2007-12-05,325.66638
2007-12-06,328.6014
2007-12-07,304.34186
2007-12-08,303.26385
2007-12-09,308.6465
2007-12-10,257.72073
2007-12-11,271.88226
2007-12-12,313.5173
2007-12-13,303.4563
2007-12-14,304.49985
2007-12-15,284.4873
2007-12-16,272.39618
2007-12-17,248.47952
2007-12-18,281.56992
2007-12-19,244.48714
2007-12-20,266.46826
2007-12-21,254.51192
2007-12-22,285.31143
2007-12-23,284.61377
2007-12-24,311.79462
2007-12-25,276.37708
2007-12-26,320.93854
2007-12-27,330.8122
2007-12-28,321.86868
2007-12-29,298.22882
2007-12-30,289.6695
2007-12-31,319.5126
2008-01-01,324.9385
2008-01-02,311.6867
2008-01-03,286.82272
2008-01-04,298.11905
2008-01-05,301.83774
2008-01-06,282.15195
2008-01-07,283.52063
2008-01-08,307.18268
2008-01-09,284.60303
2008-01-10,302.3796
2008-01-11,275.37808
2008-01-12,272.10748
2008-01-13,323.57422
2008-01-14,308.59814
2008-01-15,307.8539
2008-01-16,274.46066
2008-01-17,302.86148
2008-01-18,324.73727
2008-01-19,298.68964
2008-01-20,308.5198
2008-01-21,303.34674
2008-01-22,298.33176
2008-01-23,331.00998
2008-01-24,288.55856
2008-01-25,330.64798
2008-01-26,328.583
2008-01-27,323.7002
2008-01-28,319.75122
2008-01-29,321.04425
2008-01-30,280.8128
2008-01-31,290.6324
2008-02-01,295.70737
2008-02-02,278.0431
2008-02-03,316.12988
2008-02-04,293.55637
