summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2010-06-30,288.57367
2010-07-01,289.20795
2010-07-02,289.17352
2010-07-03,287.63968
2010-07-04,286.96152
2010-07-05,285.98785
2010-07-06,285.4314
2010-07-07,288.1097
2010-07-08,286.9378
2010-07-09,286.88132
2010-07-10,286.5788
2010-07-11,287.14594
2010-07-12,285.52954
2010-07-13,285.35165
2010-07-14,285.5777
2010-07-15,286.67767
2010-07-16,285.88538
2010-07-17,285.81503
2010-07-18,287.8367
2010-07-19,288.09906
2010-07-20,288.14145
2010-07-21,286.5734
2010-07-22,284.57422
2010-07-23,285.2256
2010-07-24,286.43378
2010-07-25,287.6209
2010-07-26,287.81613
2010-07-27,287.9846
2010-07-28,286.80286
2010-07-29,286.4783
2010-07-30,286.0804
2010-07-31,286.66705
2010-08-01,286.57065
2010-08-02,286.08966
2010-08-03,286.69086
2010-08-04,286.13354
2010-08-05,285.9379
2010-08-06,285.7929
2010-08-07,287.7442
2010-08-08,286.9469
2010-08-09,286.33768
2010-08-10,284.58505
2010-08-11,285.29788
2010-08-12,286.335
2010-08-13,286.24036
2010-08-14,286.01215
2010-08-15,286.18896
2010-08-16,285.94064
2010-08-17,286.86987
2010-08-18,285.30908
2010-08-19,286.10388
2010-08-20,288.77325
2010-08-21,287.5383
2010-08-22,286.56488
2010-08-23,284.75388
2010-08-24,284.34653
2010-08-25,284.72723
2010-08-26,284.422
2010-08-27,283.99414
2010-08-28,284.7682
2010-08-29,283.94592
2010-08-30,283.07385
2010-08-31,283.04053
2010-09-01,284.086
2010-09-02,286.33905
2010-09-03,286.27283
2010-09-04,286.67572
2010-09-05,287.2756
2010-09-06,287.01752
2010-09-07,285.94852
2010-09-08,286.18765
2010-09-09,285.9639
2010-09-10,286.84402
2010-09-11,285.93372
2010-09-12,285.37378
2010-09-13,287.1578
2010-09-14,284.56595
2010-09-15,284.0453
2010-09-16,283.2251
2010-09-17,281.83163
2010-09-18,282.93207
2010-09-19,284.25873
2010-09-20,285.4338
2010-09-21,286.3518
2010-09-22,286.7193
2010-09-23,284.5366
2010-09-24,280.63995
2010-09-25,279.70007
2010-09-26,279.84857
2010-09-27,281.39874
2010-09-28,284.64502
2010-09-29,284.41684
2010-09-30,282.17133
2010-10-01,283.57233
2010-10-02,282.6311
2010-10-03,283.5309
2010-10-04,284.12775
2010-10-05,284.51654
2010-10-06,283.3181
2010-10-07,283.8484
2010-10-08,285.17233
2010-10-09,284.20877
2010-10-10,283.43875
2010-10-11,280.55777
2010-10-12,279.0148
2010-10-13,279.70142
2010-10-14,281.9543
2010-10-15,281.89246
2010-10-16,280.14716
2010-10-17,280.31345
2010-10-18,281.78757
2010-10-19,278.0384
2010-10-20,275.74237
2010-10-21,279.5358
2010-10-22,279.69745
2010-10-23,277.91837
2010-10-24,275.9692
2010-10-25,276.1877
2010-10-26,282.7983
2010-10-27,283.13513
2010-10-28,281.93344
2010-10-29,284.41385
2010-10-30,280.5111
2010-10-31,278.97675
2010-11-01,279.21664
2010-11-02,281.6833
2010-11-03,280.04932
2010-11-04,281.51572
2010-11-05,280.35413
2010-11-06,276.1863
2010-11-07,275.8785
2010-11-08,277.38364
2010-11-09,276.88263
2010-11-10,274.53134
2010-11-11,278.75464
2010-11-12,279.58432
2010-11-13,277.1035
2010-11-14,275.4656
2010-11-15,274.30185
2010-11-16,274.98685
2010-11-17,278.24225
2010-11-18,278.5602
2010-11-19,278.3863
2010-11-20,276.79214
2010-11-21,275.6834
2010-11-22,276.99112
2010-11-23,275.46527
2010-11-24,273.5437
2010-11-25,272.61398
2010-11-26,271.87637
2010-11-27,269.41623
2010-11-28,270.82205
2010-11-29,271.27234
2010-11-30,269.86755
2010-12-01,268.45377
2010-12-02,267.6606
2010-12-03,267.49405
2010-12-04,271.96625
2010-12-05,270.05136
2010-12-06,269.36572
2010-12-07,264.91986
2010-12-08,266.32483
2010-12-09,274.61072
2010-12-10,278.43942
2010-12-11,277.9716
2010-12-12,273.10648
2010-12-13,271.9837
2010-12-14,274.481
2010-12-15,275.5464
2010-12-16,273.3206
2010-12-17,268.81744
2010-12-18,266.71082
2010-12-19,267.1253
2010-12-20,266.2256
2010-12-21,263.80273
2010-12-22,265.79065
2010-12-23,267.82132
2010-12-24,267.20947
2010-12-25,269.54843
2010-12-26,270.82553
2010-12-27,273.45358
2010-12-28,274.5603
2010-12-29,275.37796
2010-12-30,275.77472
2010-12-31,276.84244
2011-01-01,275.07318
2011-01-02,273.0631
2011-01-03,273.5338
2011-01-04,276.01944
2011-01-05,274.00565
2011-01-06,272.60205
2011-01-07,268.93967
2011-01-08,272.4186
2011-01-09,272.75354
2011-01-10,274.90192
2011-01-11,273.7054
2011-01-12,275.4097
2011-01-13,277.89252
2011-01-14,278.47873
2011-01-15,280.9333
2011-01-16,280.7232
2011-01-17,276.68808
2011-01-18,274.8742
2011-01-19,275.5777
2011-01-20,270.53955
2011-01-21,272.2235
2011-01-22,274.62604
2011-01-23,276.70026
2011-01-24,277.95215
2011-01-25,278.91592
2011-01-26,276.02377
2011-01-27,273.99448
2011-01-28,272.50836
2011-01-29,271.97256
2011-01-30,273.1733
2011-01-31,276.68784
2011-02-01,278.17496
2011-02-02,279.04367
2011-02-03,276.4238
2011-02-04,278.73438
2011-02-05,278.09814
2011-02-06,276.52728
2011-02-07,276.37592
2011-02-08,274.8744
2011-02-09,277.89514
2011-02-10,276.3437
2011-02-11,274.94238
2011-02-12,276.60535
2011-02-13,276.9526
2011-02-14,275.64694
2011-02-15,274.91583
2011-02-16,276.8641
2011-02-17,275.52237
2011-02-18,276.17078
2011-02-19,275.04886
2011-02-20,275.50745
2011-02-21,274.64197
2011-02-22,276.34167
2011-02-23,280.10452
2011-02-24,281.36038
2011-02-25,281.90332
2011-02-26,278.38864
2011-02-27,276.64868
2011-02-28,275.32495
2011-03-01,276.66492
2011-03-02,275.70557
2011-03-03,276.3586
2011-03-04,278.50882
2011-03-05,277.61246
2011-03-06,275.67004
2011-03-07,275.6959
2011-03-08,277.3114
2011-03-09,276.06158
2011-03-10,277.2573
