summary,Climate Hydrology Ecology Support System subset,,,
originalResource,"{""url"":""https://eip.ceh.ac.uk/apps/chess/""","title:""EIP | CHESS""}",,
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,,
location,"{""type"":""point""",x:334132.7787655574,y:658017.530274143,"spatialReference:{""wkid"":27700}}"
DATES,Near-Surface Air Temperature (K),,,
30/06/2006,288.07535,15.07535,-2.20337,
01/07/2006,289.3431,16.3431,19.92877,
02/07/2006,289.66852,16.66852,,
03/07/2006,288.60165,15.60165,,
04/07/2006,288.60205,15.60205,,
05/07/2006,290.0854,17.0854,,
06/07/2006,291.03052,18.03052,,
07/07/2006,287.98242,14.98242,,
08/07/2006,285.31284,12.31284,,
09/07/2006,287.3992,14.3992,,
10/07/2006,286.92685,13.92685,,
11/07/2006,286.79388,13.79388,,
12/07/2006,287.07126,14.07126,,
13/07/2006,285.57388,12.57388,,
14/07/2006,286.71524,13.71524,,
15/07/2006,288.5907,15.5907,,
16/07/2006,289.71448,16.71448,,
17/07/2006,292.7973,19.7973,,
18/07/2006,292.92877,19.92877,,
19/07/2006,292.65103,19.65103,,
20/07/2006,290.2256,17.2256,,
21/07/2006,291.07385,18.07385,,
22/07/2006,290.74014,17.74014,,
23/07/2006,290.57935,17.57935,,
24/07/2006,290.58136,17.58136,,
25/07/2006,292.55463,19.55463,,
26/07/2006,292.00546,19.00546,,
27/07/2006,291.06332,18.06332,,
28/07/2006,289.98703,16.98703,,
29/07/2006,290.41357,17.41357,,
30/07/2006,289.92484,16.92484,,
31/07/2006,287.34357,14.34357,,
01/08/2006,286.3706,13.3706,,
02/08/2006,286.32034,13.32034,,
03/08/2006,287.0429,14.0429,,
04/08/2006,287.7989,14.7989,,
05/08/2006,291.53098,18.53098,,
06/08/2006,290.41107,17.41107,,
07/08/2006,286.74326,13.74326,,
08/08/2006,285.17096,12.17096,,
09/08/2006,285.88217,12.88217,,
10/08/2006,285.99017,12.99017,,
11/08/2006,285.74237,12.74237,,
12/08/2006,285.47366,12.47366,,
13/08/2006,285.61838,12.61838,,
