summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2006-06-30,0.008771677
2006-07-01,0.0088168
2006-07-02,0.009782936
2006-07-03,0.009798312
2006-07-04,0.009115168
2006-07-05,0.009527337
2006-07-06,0.00987702
2006-07-07,0.007547544
2006-07-08,0.0065876213
2006-07-09,0.008642283
2006-07-10,0.007959201
2006-07-11,0.006765929
2006-07-12,0.007869849
2006-07-13,0.0061145574
2006-07-14,0.0066373865
2006-07-15,0.0069935806
2006-07-16,0.0069662603
2006-07-17,0.008969499
2006-07-18,0.0102765905
2006-07-19,0.00941307
2006-07-20,0.010112107
2006-07-21,0.010516577
2006-07-22,0.010150627
2006-07-23,0.008967052
2006-07-24,0.008895921
2006-07-25,0.009394379
2006-07-26,0.010475316
2006-07-27,0.009791631
2006-07-28,0.009637596
2006-07-29,0.010185643
2006-07-30,0.008231408
2006-07-31,0.008245967
2006-08-01,0.008054005
2006-08-02,0.00822384
2006-08-03,0.0076289354
2006-08-04,0.008679458
2006-08-05,0.011013602
2006-08-06,0.010325412
2006-08-07,0.006733715
2006-08-08,0.007298913
2006-08-09,0.006474258
2006-08-10,0.0065572117
2006-08-11,0.0068079545
2006-08-12,0.0068211043
2006-08-13,0.0073512495
2006-08-14,0.007853855
2006-08-15,0.007508641
2006-08-16,0.00781538
2006-08-17,0.008861478
2006-08-18,0.009673248
2006-08-19,0.009418601
2006-08-20,0.0090605905
2006-08-21,0.008527067
2006-08-22,0.007978541
2006-08-23,0.008926619
2006-08-24,0.0071237306
2006-08-25,0.00724215
2006-08-26,0.008197843
2006-08-27,0.0073954407
2006-08-28,0.0065961825
2006-08-29,0.006736854
2006-08-30,0.006684026
2006-08-31,0.009129855
2006-09-01,0.008776345
2006-09-02,0.007658299
2006-09-03,0.007874801
2006-09-04,0.0074432106
2006-09-05,0.009154542
2006-09-06,0.008657662
2006-09-07,0.006423194
2006-09-08,0.006259081
2006-09-09,0.006643534
2006-09-10,0.007562842
2006-09-11,0.009121395
2006-09-12,0.009737315
2006-09-13,0.009296701
2006-09-14,0.009482054
2006-09-15,0.00788284
2006-09-16,0.00858444
2006-09-17,0.009131047
2006-09-18,0.0077209524
2006-09-19,0.0068815406
2006-09-20,0.009038671
2006-09-21,0.0098167
2006-09-22,0.008133772
2006-09-23,0.0084874565
2006-09-24,0.009250094
2006-09-25,0.00902496
2006-09-26,0.008141585
2006-09-27,0.008845376
2006-09-28,0.0076761916
2006-09-29,0.007887366
2006-09-30,0.0070506
2006-10-01,0.008141452
2006-10-02,0.007609498
2006-10-03,0.0070262183
2006-10-04,0.0062359245
2006-10-05,0.007284226
2006-10-06,0.0074912454
2006-10-07,0.0061310804
2006-10-08,0.007040125
2006-10-09,0.006865602
2006-10-10,0.006391785
2006-10-11,0.008893283
2006-10-12,0.0069885007
2006-10-13,0.0070000296
2006-10-14,0.007128418
2006-10-15,0.006413713
2006-10-16,0.006047499
2006-10-17,0.0077830735
2006-10-18,0.007985261
2006-10-19,0.008078845
2006-10-20,0.0077933418
2006-10-21,0.0074491464
2006-10-22,0.006593453
2006-10-23,0.0062403255
2006-10-24,0.0061140293
2006-10-25,0.006588292
2006-10-26,0.006551377
2006-10-27,0.0057611824
2006-10-28,0.007933892
2006-10-29,0.005864239
2006-10-30,0.007598539
2006-10-31,0.0046563335
2006-11-01,0.0034799525
2006-11-02,0.003698913
2006-11-03,0.00405552
2006-11-04,0.005554542
2006-11-05,0.0058249654
2006-11-06,0.005556289
2006-11-07,0.006437748
2006-11-08,0.0059293127
2006-11-09,0.0041355104
2006-11-10,0.005426456
2006-11-11,0.0045151897
2006-11-12,0.0050923293
2006-11-13,0.0055321925
2006-11-14,0.0046788855
2006-11-15,0.0053609284
2006-11-16,0.0049868007
2006-11-17,0.0044399947
2006-11-18,0.004011725
2006-11-19,0.0043438505
2006-11-20,0.0044942847
2006-11-21,0.004474637
2006-11-22,0.0043474273
2006-11-23,0.0051761963
2006-11-24,0.0050352663
2006-11-25,0.005371471
2006-11-26,0.005126021
2006-11-27,0.0059364224
2006-11-28,0.0055526886
2006-11-29,0.0058650454
2006-11-30,0.0059458665
2006-12-01,0.005450472
2006-12-02,0.0049030795
2006-12-03,0.0052190535
2006-12-04,0.005025641
2006-12-05,0.005337262
2006-12-06,0.004642566
2006-12-07,0.00504102
2006-12-08,0.004452086
2006-12-09,0.0038359507
2006-12-10,0.005763279
2006-12-11,0.0046025575
2006-12-12,0.0045210053
2006-12-13,0.0061323484
2006-12-14,0.0059767193
2006-12-15,0.004448435
2006-12-16,0.0041996897
2006-12-17,0.004043061
2006-12-18,0.003588637
2006-12-19,0.0038098404
2006-12-20,0.004015485
2006-12-21,0.0043629506
2006-12-22,0.005617746
2006-12-23,0.004455337
2006-12-24,0.0032531035
2006-12-25,0.003579339
2006-12-26,0.0039305375
2006-12-27,0.0037620035
2006-12-28,0.0042739557
2006-12-29,0.00575102
2006-12-30,0.0048358236
2006-12-31,0.0046210736
2007-01-01,0.004113366
2007-01-02,0.004393494
2007-01-03,0.005984443
2007-01-04,0.00489814
2007-01-05,0.00511023
2007-01-06,0.004862233
2007-01-07,0.0055326005
2007-01-08,0.0048875003
2007-01-09,0.0053864075
2007-01-10,0.004078498
2007-01-11,0.0045721163
2007-01-12,0.0054675783
2007-01-13,0.0051004044
2007-01-14,0.0044229315
2007-01-15,0.005123704
2007-01-16,0.0035295198
2007-01-17,0.0039817304
2007-01-18,0.004088618
2007-01-19,0.0047839284
2007-01-20,0.0040808306
2007-01-21,0.0038225767
2007-01-22,0.003311869
2007-01-23,0.003248646
2007-01-24,0.0035811595
2007-01-25,0.0034573877
2007-01-26,0.0046768254
2007-01-27,0.004587301
2007-01-28,0.0054838024
2007-01-29,0.0051244376
2007-01-30,0.004574863
2007-01-31,0.0063849
2007-02-01,0.006053373
2007-02-02,0.004478967
2007-02-03,0.0038300361
2007-02-04,0.0039574024
2007-02-05,0.003225328
2007-02-06,0.0027421096
2007-02-07,0.0028667983
2007-02-08,0.0033246563
2007-02-09,0.0034329847
2007-02-10,0.0037549238
2007-02-11,0.004722524
2007-02-12,0.004985179
2007-02-13,0.0046241716
2007-02-14,0.004265222
2007-02-15,0.0048635253
2007-02-16,0.0050913044
2007-02-17,0.0047231135
2007-02-18,0.0037279585
2007-02-19,0.004910608
2007-02-20,0.0053027
2007-02-21,0.0048451484
2007-02-22,0.005589234
2007-02-23,0.0055723917
2007-02-24,0.005759401
2007-02-25,0.0054319235
2007-02-26,0.0037338499
2007-02-27,0.004708298
2007-02-28,0.0048145493
2007-03-01,0.00396692
2007-03-02,0.0038502049
2007-03-03,0.004623228
2007-03-04,0.0046700207
2007-03-05,0.0044649835
2007-03-06,0.004876954
2007-03-07,0.0047105975
2007-03-08,0.0045523173
2007-03-09,0.0041071796
2007-03-10,0.005657008
2007-03-11,0.0058843074
2007-03-12,0.0048784823
2007-03-13,0.00471398
2007-03-14,0.00515891
2007-03-15,0.0048307693
2007-03-16,0.004604527
2007-03-17,0.0056527145
2007-03-18,0.0035259342
2007-03-19,0.0032717276
2007-03-20,0.0026845979
2007-03-21,0.003049136
2007-03-22,0.0048316917
2007-03-23,0.0042611198
2007-03-24,0.0041853897
2007-03-25,0.0047904854
2007-03-26,0.0050336304
2007-03-27,0.0050005224
2007-03-28,0.0051198993
2007-03-29,0.004972597
2007-03-30,0.0051805307
2007-03-31,0.0044410415
2007-04-01,0.004048547
2007-04-02,0.0042658835
2007-04-03,0.004238479
2007-04-04,0.004490586
2007-04-05,0.0048619863
2007-04-06,0.004565851
2007-04-07,0.0045570876
2007-04-08,0.004972161
2007-04-09,0.006139075
2007-04-10,0.006086613
2007-04-11,0.0058900304
2007-04-12,0.005393208
2007-04-13,0.0055716573
2007-04-14,0.006458718
2007-04-15,0.006956727
2007-04-16,0.0050650137
2007-04-17,0.0044092424
2007-04-18,0.004744951
2007-04-19,0.00504629
2007-04-20,0.0047835493
2007-04-21,0.0062949527
2007-04-22,0.007467966
2007-04-23,0.008109905
2007-04-24,0.0079964
2007-04-25,0.0069418927
2007-04-26,0.0053911116
2007-04-27,0.005214069
2007-04-28,0.0051661734
2007-04-29,0.0053033363
2007-04-30,0.0049112365
2007-05-01,0.0051721
2007-05-02,0.005421783
2007-05-03,0.0055168793
2007-05-04,0.005316282
2007-05-05,0.005989789
2007-05-06,0.005626149
2007-05-07,0.005528093
2007-05-08,0.0055200513
2007-05-09,0.0057586813
2007-05-10,0.0058594695
2007-05-11,0.0052670343
2007-05-12,0.0058645136
2007-05-13,0.005833759
2007-05-14,0.004772589
2007-05-15,0.004961667
2007-05-16,0.0059877713
2007-05-17,0.0076180524
2007-05-18,0.006457727
2007-05-19,0.0057112
2007-05-20,0.0052015297
2007-05-21,0.0050345794
2007-05-22,0.0051757093
2007-05-23,0.0070964913
2007-05-24,0.0077326796
2007-05-25,0.0047698943
2007-05-26,0.004590461
2007-05-27,0.0048209485
2007-05-28,0.0044081695
2007-05-29,0.005478405
2007-05-30,0.0061068446
2007-05-31,0.00690504
2007-06-01,0.0071541793
2007-06-02,0.007783599
2007-06-03,0.008830051
2007-06-04,0.007993603
2007-06-05,0.0070401304
2007-06-06,0.0066724536
2007-06-07,0.007377996
2007-06-08,0.008515474
2007-06-09,0.009039098
2007-06-10,0.009069452
2007-06-11,0.009269433
2007-06-12,0.008364293
2007-06-13,0.0068031577
2007-06-14,0.0056381384
2007-06-15,0.0060524666
2007-06-16,0.007244135
2007-06-17,0.00782883
2007-06-18,0.007986545
2007-06-19,0.008148923
2007-06-20,0.0087785125
2007-06-21,0.008463834
2007-06-22,0.008568624
2007-06-23,0.008106518
2007-06-24,0.0076930956
2007-06-25,0.00648177
2007-06-26,0.0048497487
2007-06-27,0.0058326623
2007-06-28,0.0061851777
2007-06-29,0.0061481246
2007-06-30,0.0071454886
