summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2011-06-30,0.006251186
2011-07-01,0.0062054377
2011-07-02,0.00675431
2011-07-03,0.007173446
2011-07-04,0.007741089
2011-07-05,0.008590564
2011-07-06,0.008346765
2011-07-07,0.0076697716
2011-07-08,0.007617737
2011-07-09,0.008130405
2011-07-10,0.008040159
2011-07-11,0.0077364547
2011-07-12,0.0067447787
2011-07-13,0.006167968
2011-07-14,0.007321085
2011-07-15,0.008197362
2011-07-16,0.008996439
2011-07-17,0.008738828
2011-07-18,0.008271737
2011-07-19,0.008222511
2011-07-20,0.0075401207
2011-07-21,0.0068355096
2011-07-22,0.006320571
2011-07-23,0.006002099
2011-07-24,0.005948073
2011-07-25,0.0065212776
2011-07-26,0.007317418
2011-07-27,0.008022188
2011-07-28,0.008639582
2011-07-29,0.007236197
2011-07-30,0.0075856014
2011-07-31,0.008795765
2011-08-01,0.010345739
2011-08-02,0.010055559
2011-08-03,0.00925365
2011-08-04,0.009845439
2011-08-05,0.007976295
2011-08-06,0.0075396714
2011-08-07,0.007667352
2011-08-08,0.0069928016
2011-08-09,0.006008979
2011-08-10,0.008447968
2011-08-11,0.008301291
2011-08-12,0.008652698
2011-08-13,0.009040809
2011-08-14,0.0076472284
2011-08-15,0.0068091685
2011-08-16,0.0077149407
2011-08-17,0.0067567104
2011-08-18,0.0074780523
2011-08-19,0.0072017787
2011-08-20,0.0076339263
2011-08-21,0.0079972325
2011-08-22,0.0069663986
2011-08-23,0.0073770355
2011-08-24,0.0076879803
2011-08-25,0.0067120013
2011-08-26,0.0075476165
