summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2009-06-30,166.74582
2009-07-01,230.29031
2009-07-02,285.2186
2009-07-03,150.15991
2009-07-04,245.7926
2009-07-05,245.54633
2009-07-06,154.46913
2009-07-07,121.07732
2009-07-08,132.0143
2009-07-09,196.20264
2009-07-10,233.59396
2009-07-11,235.04527
2009-07-12,128.59297
2009-07-13,188.67114
2009-07-14,180.87146
2009-07-15,204.44409
2009-07-16,171.1797
2009-07-17,60.39029
2009-07-18,116.60937
2009-07-19,188.29915
2009-07-20,239.63348
2009-07-21,162.77768
2009-07-22,158.51956
2009-07-23,157.52406
2009-07-24,144.21577
2009-07-25,237.15732
2009-07-26,139.05232
2009-07-27,179.35672
2009-07-28,145.71886
2009-07-29,162.12302
2009-07-30,249.20442
2009-07-31,181.79245
2009-08-01,143.26094
2009-08-02,205.07385
2009-08-03,182.36336
2009-08-04,125.056564
2009-08-05,229.12946
2009-08-06,229.3447
2009-08-07,191.94833
2009-08-08,177.51761
2009-08-09,142.92053
2009-08-10,118.6048
2009-08-11,139.06421
2009-08-12,177.5812
2009-08-13,158.33655
2009-08-14,92.5778
2009-08-15,159.10481
2009-08-16,143.10239
2009-08-17,138.34666
2009-08-18,93.517876
2009-08-19,102.88723
2009-08-20,121.84596
2009-08-21,166.48154
2009-08-22,175.70422
2009-08-23,88.81471
2009-08-24,180.69458
2009-08-25,188.75916
2009-08-26,85.67923
2009-08-27,117.74569
2009-08-28,125.29848
2009-08-29,167.9035
2009-08-30,101.79825
2009-08-31,84.36352
2009-09-01,140.78975
2009-09-02,123.317024
2009-09-03,73.84465
2009-09-04,78.9108
2009-09-05,94.61154
2009-09-06,80.196976
2009-09-07,127.80437
2009-09-08,87.6906
2009-09-09,150.74126
2009-09-10,143.37064
2009-09-11,140.19086
2009-09-12,179.21973
2009-09-13,103.342735
2009-09-14,81.64645
2009-09-15,133.51515
2009-09-16,112.69299
2009-09-17,135.09532
2009-09-18,95.8176
2009-09-19,84.93559
2009-09-20,131.77054
2009-09-21,59.550034
2009-09-22,104.3539
2009-09-23,100.50581
2009-09-24,73.56015
2009-09-25,83.42004
2009-09-26,133.67932
2009-09-27,63.719734
2009-09-28,56.928947
2009-09-29,27.895939
2009-09-30,75.90086
2009-10-01,84.73775
2009-10-02,48.207657
2009-10-03,99.12178
2009-10-04,103.13298
2009-10-05,74.52003
2009-10-06,58.930088
2009-10-07,90.29794
2009-10-08,93.67131
2009-10-09,43.52214
2009-10-10,57.04843
2009-10-11,79.06447
2009-10-12,58.489464
2009-10-13,39.681572
2009-10-14,39.66956
2009-10-15,42.62805
2009-10-16,80.62377
2009-10-17,74.34559
2009-10-18,38.485523
2009-10-19,34.848347
2009-10-20,18.492817
2009-10-21,33.248814
2009-10-22,35.737713
2009-10-23,34.896717
2009-10-24,33.256237
2009-10-25,32.868008
2009-10-26,35.0897
2009-10-27,15.863088
2009-10-28,41.825413
2009-10-29,40.910526
2009-10-30,28.02532
2009-10-31,46.853012
2009-11-01,26.046198
2009-11-02,36.181854
2009-11-03,29.513966
2009-11-04,36.442978
2009-11-05,30.79747
2009-11-06,12.647511
2009-11-07,37.90574
2009-11-08,42.454094
2009-11-09,40.547127
2009-11-10,11.549506
2009-11-11,26.59809
2009-11-12,28.454721
2009-11-13,34.113922
2009-11-14,21.811064
2009-11-15,28.982746
2009-11-16,19.2887
2009-11-17,26.564024
2009-11-18,25.079918
2009-11-19,17.211437
2009-11-20,25.568024
2009-11-21,17.374836
2009-11-22,21.227268
2009-11-23,23.280924
2009-11-24,8.570031
2009-11-25,18.952568
2009-11-26,16.972063
