summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2011-06-30,202.21649
2011-07-01,212.62831
2011-07-02,254.54425
2011-07-03,347.061
2011-07-04,272.841
2011-07-05,130.31892
2011-07-06,138.40257
2011-07-07,183.96106
2011-07-08,195.69661
2011-07-09,180.06036
2011-07-10,144.71466
2011-07-11,173.64278
2011-07-12,157.43323
2011-07-13,289.748
2011-07-14,284.885
2011-07-15,168.19287
2011-07-16,137.46474
2011-07-17,180.66562
2011-07-18,129.09201
2011-07-19,136.38962
2011-07-20,111.03654
2011-07-21,155.75375
2011-07-22,140.37344
2011-07-23,230.56697
2011-07-24,284.51413
2011-07-25,175.8326
2011-07-26,194.97385
2011-07-27,237.63586
2011-07-28,125.35696
2011-07-29,195.65338
2011-07-30,240.19121
2011-07-31,115.98306
2011-08-01,107.77445
2011-08-02,114.90737
2011-08-03,197.57343
2011-08-04,115.83426
2011-08-05,181.37802
2011-08-06,109.09551
2011-08-07,107.903046
2011-08-08,157.28035
2011-08-09,212.84099
2011-08-10,52.277893
2011-08-11,106.28632
2011-08-12,106.88269
2011-08-13,126.72102
2011-08-14,169.9566
2011-08-15,185.10808
2011-08-16,114.75129
2011-08-17,192.42542
2011-08-18,109.7751
2011-08-19,170.0091
2011-08-20,185.0516
2011-08-21,156.84984
2011-08-22,115.709724
2011-08-23,106.57215
2011-08-24,146.02312
2011-08-25,159.61455
2011-08-26,103.41833
2011-08-27,102.27576
2011-08-28,95.09102
2011-08-29,100.87984
2011-08-30,96.85135
2011-08-31,81.19495
2011-09-01,87.927414
2011-09-02,91.178
2011-09-03,81.60319
2011-09-04,146.19385
2011-09-05,98.97782
2011-09-06,118.614105
2011-09-07,112.25897
2011-09-08,128.22476
2011-09-09,75.310295
2011-09-10,81.99425
2011-09-11,76.35821
2011-09-12,87.329094
2011-09-13,92.996414
2011-09-14,136.42126
2011-09-15,142.57141
2011-09-16,62.868053
2011-09-17,91.75606
2011-09-18,80.721405
2011-09-19,91.432816
2011-09-20,108.79597
2011-09-21,84.624794
2011-09-22,114.16765
2011-09-23,72.2728
2011-09-24,104.95789
2011-09-25,74.57503
2011-09-26,112.351974
2011-09-27,66.26647
2011-09-28,135.3425
2011-09-29,91.22199
2011-09-30,109.92969
2011-10-01,53.744854
2011-10-02,26.442816
2011-10-03,60.16186
2011-10-04,52.312824
2011-10-05,55.502075
2011-10-06,78.85724
2011-10-07,87.13803
2011-10-08,23.630653
2011-10-09,46.907524
2011-10-10,54.842186
2011-10-11,62.87366
2011-10-12,52.139572
2011-10-13,46.525665
2011-10-14,41.458576
2011-10-15,55.600197
2011-10-16,66.42076
2011-10-17,39.867767
2011-10-18,57.72628
2011-10-19,67.25353
2011-10-20,54.482567
2011-10-21,35.214615
2011-10-22,43.979942
2011-10-23,32.438976
2011-10-24,39.207603
2011-10-25,31.924417
2011-10-26,49.66562
2011-10-27,38.66115
2011-10-28,49.948685
2011-10-29,31.755041
2011-10-30,37.131046
2011-10-31,30.243774
2011-11-01,50.941998
2011-11-02,34.807926
2011-11-03,30.98611
2011-11-04,26.41529
2011-11-05,41.03659
2011-11-06,48.18457
2011-11-07,41.86911
2011-11-08,27.320957
2011-11-09,24.072893
2011-11-10,27.271605
2011-11-11,23.955265
2011-11-12,33.145573
2011-11-13,20.36319
2011-11-14,24.6392
2011-11-15,23.573158
2011-11-16,28.242105
2011-11-17,25.943087
2011-11-18,17.98136
2011-11-19,22.3725
2011-11-20,22.439068
2011-11-21,19.213503
2011-11-22,25.314999
2011-11-23,16.123142
2011-11-24,17.771845
2011-11-25,21.620577
2011-11-26,16.366035
2011-11-27,24.361774
2011-11-28,16.448036
2011-11-29,14.528718
2011-11-30,18.219652
2011-12-01,20.017162
