summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface air pressure (Pa)
2011-06-30,98483.65
2011-07-01,98486.63
2011-07-02,98486.63
2011-07-03,98486.63
2011-07-04,98486.63
2011-07-05,98486.63
2011-07-06,98486.63
2011-07-07,98486.63
2011-07-08,98486.63
2011-07-09,98486.63
2011-07-10,98486.63
2011-07-11,98486.63
2011-07-12,98486.63
2011-07-13,98486.63
2011-07-14,98486.63
2011-07-15,98486.63
2011-07-16,98486.63
2011-07-17,98486.63
2011-07-18,98486.63
2011-07-19,98486.63
2011-07-20,98486.63
2011-07-21,98486.63
2011-07-22,98486.63
2011-07-23,98486.63
2011-07-24,98486.63
2011-07-25,98486.63
2011-07-26,98486.63
2011-07-27,98486.63
2011-07-28,98486.63
2011-07-29,98486.63
2011-07-30,98486.63
2011-07-31,98486.63
2011-08-01,98394.02
2011-08-02,98394.02
2011-08-03,98394.02
2011-08-04,98394.02
2011-08-05,98394.02
2011-08-06,98394.02
2011-08-07,98394.02
2011-08-08,98394.02
2011-08-09,98394.02
2011-08-10,98394.02
2011-08-11,98394.02
2011-08-12,98394.02
2011-08-13,98394.02
2011-08-14,98394.02
2011-08-15,98394.02
2011-08-16,98394.02
2011-08-17,98394.02
2011-08-18,98394.02
2011-08-19,98394.02
2011-08-20,98394.02
2011-08-21,98394.02
2011-08-22,98394.02
2011-08-23,98394.02
2011-08-24,98394.02
2011-08-25,98394.02
2011-08-26,98394.02
2011-08-27,98394.02
2011-08-28,98394.02
2011-08-29,98394.02
2011-08-30,98394.02
2011-08-31,98394.02
2011-09-01,98251.07
2011-09-02,98251.07
2011-09-03,98251.07
2011-09-04,98251.07
2011-09-05,98251.07
2011-09-06,98251.07
2011-09-07,98251.07
2011-09-08,98251.07
2011-09-09,98251.07
2011-09-10,98251.07
2011-09-11,98251.07
2011-09-12,98251.07
2011-09-13,98251.07
2011-09-14,98251.07
2011-09-15,98251.07
2011-09-16,98251.07
2011-09-17,98251.07
2011-09-18,98251.07
2011-09-19,98251.07
2011-09-20,98251.07
2011-09-21,98251.07
2011-09-22,98251.07
2011-09-23,98251.07
2011-09-24,98251.07
2011-09-25,98251.07
2011-09-26,98251.07
2011-09-27,98251.07
2011-09-28,98251.07
2011-09-29,98251.07
2011-09-30,98251.07
2011-10-01,98064.16
2011-10-02,98064.16
2011-10-03,98064.16
2011-10-04,98064.16
2011-10-05,98064.16
2011-10-06,98064.16
2011-10-07,98064.16
2011-10-08,98064.16
2011-10-09,98064.16
2011-10-10,98064.16
2011-10-11,98064.16
2011-10-12,98064.16
2011-10-13,98064.16
2011-10-14,98064.16
2011-10-15,98064.16
2011-10-16,98064.16
2011-10-17,98064.16
2011-10-18,98064.16
2011-10-19,98064.16
2011-10-20,98064.16
2011-10-21,98064.16
2011-10-22,98064.16
2011-10-23,98064.16
2011-10-24,98064.16
2011-10-25,98064.16
2011-10-26,98064.16
2011-10-27,98064.16
2011-10-28,98064.16
2011-10-29,98064.16
2011-10-30,98064.16
2011-10-31,98064.16
2011-11-01,97962.16
2011-11-02,97962.16
2011-11-03,97962.16
2011-11-04,97962.16
2011-11-05,97962.16
2011-11-06,97962.16
2011-11-07,97962.16
2011-11-08,97962.16
2011-11-09,97962.16
2011-11-10,97962.16
2011-11-11,97962.16
2011-11-12,97962.16
2011-11-13,97962.16
2011-11-14,97962.16
2011-11-15,97962.16
2011-11-16,97962.16
2011-11-17,97962.16
2011-11-18,97962.16
2011-11-19,97962.16
2011-11-20,97962.16
2011-11-21,97962.16
2011-11-22,97962.16
2011-11-23,97962.16
2011-11-24,97962.16
2011-11-25,97962.16
2011-11-26,97962.16
2011-11-27,97962.16
2011-11-28,97962.16
2011-11-29,97962.16
2011-11-30,97962.16
2011-12-01,97971.93
2011-12-02,97971.93
2011-12-03,97971.93
2011-12-04,97971.93
2011-12-05,97971.93
2011-12-06,97971.93
2011-12-07,97971.93
2011-12-08,97971.93
2011-12-09,97971.93
2011-12-10,97971.93
2011-12-11,97971.93
2011-12-12,97971.93
2011-12-13,97971.93
2011-12-14,97971.93
2011-12-15,97971.93
2011-12-16,97971.93
2011-12-17,97971.93
2011-12-18,97971.93
2011-12-19,97971.93
2011-12-20,97971.93
2011-12-21,97971.93
2011-12-22,97971.93
2011-12-23,97971.93
2011-12-24,97971.93
2011-12-25,97971.93
2011-12-26,97971.93
2011-12-27,97971.93
2011-12-28,97971.93
2011-12-29,97971.93
2011-12-30,97971.93
2011-12-31,97971.93
2012-01-01,97963.53
2012-01-02,97963.53
2012-01-03,97963.53
2012-01-04,97963.53
2012-01-05,97963.53
2012-01-06,97963.53
2012-01-07,97963.53
2012-01-08,97963.53
2012-01-09,97963.53
2012-01-10,97963.53
2012-01-11,97963.53
2012-01-12,97963.53
2012-01-13,97963.53
2012-01-14,97963.53
2012-01-15,97963.53
2012-01-16,97963.53
2012-01-17,97963.53
2012-01-18,97963.53
2012-01-19,97963.53
2012-01-20,97963.53
2012-01-21,97963.53
2012-01-22,97963.53
2012-01-23,97963.53
2012-01-24,97963.53
2012-01-25,97963.53
2012-01-26,97963.53
2012-01-27,97963.53
2012-01-28,97963.53
2012-01-29,97963.53
2012-01-30,97963.53
2012-01-31,97963.53
2012-02-01,98155.7
2012-02-02,98155.7
2012-02-03,98155.7
2012-02-04,98155.7
2012-02-05,98155.7
2012-02-06,98155.7
2012-02-07,98155.7
2012-02-08,98155.7
2012-02-09,98155.7
2012-02-10,98155.7
2012-02-11,98155.7
2012-02-12,98155.7
2012-02-13,98155.7
2012-02-14,98155.7
2012-02-15,98155.7
2012-02-16,98155.7
2012-02-17,98155.7
2012-02-18,98155.7
2012-02-19,98155.7
2012-02-20,98155.7
2012-02-21,98155.7
2012-02-22,98155.7
2012-02-23,98155.7
2012-02-24,98155.7
2012-02-25,98155.7
2012-02-26,98155.7
2012-02-27,98155.7
2012-02-28,98155.7
2012-02-29,98155.7
2012-03-01,98073.14
2012-03-02,98073.14
2012-03-03,98073.14
2012-03-04,98073.14
2012-03-05,98073.14
2012-03-06,98073.14
2012-03-07,98073.14
2012-03-08,98073.14
2012-03-09,98073.14
2012-03-10,98073.14
2012-03-11,98073.14
2012-03-12,98073.14
2012-03-13,98073.14
2012-03-14,98073.14
2012-03-15,98073.14
2012-03-16,98073.14
2012-03-17,98073.14
2012-03-18,98073.14
2012-03-19,98073.14
2012-03-20,98073.14
2012-03-21,98073.14
2012-03-22,98073.14
2012-03-23,98073.14
2012-03-24,98073.14
2012-03-25,98073.14
2012-03-26,98073.14
2012-03-27,98073.14
2012-03-28,98073.14
2012-03-29,98073.14
2012-03-30,98073.14
2012-03-31,98073.14
2012-04-01,98272.79
2012-04-02,98272.79
2012-04-03,98272.79
2012-04-04,98272.79
2012-04-05,98272.79
2012-04-06,98272.79
2012-04-07,98272.79
2012-04-08,98272.79
2012-04-09,98272.79
2012-04-10,98272.79
2012-04-11,98272.79
2012-04-12,98272.79
2012-04-13,98272.79
2012-04-14,98272.79
2012-04-15,98272.79
2012-04-16,98272.79
2012-04-17,98272.79
2012-04-18,98272.79
2012-04-19,98272.79
2012-04-20,98272.79
2012-04-21,98272.79
2012-04-22,98272.79
2012-04-23,98272.79
2012-04-24,98272.79
2012-04-25,98272.79
2012-04-26,98272.79
2012-04-27,98272.79
2012-04-28,98272.79
2012-04-29,98272.79
2012-04-30,98272.79
2012-05-01,98418.47
2012-05-02,98418.47
2012-05-03,98418.47
2012-05-04,98418.47
2012-05-05,98418.47
2012-05-06,98418.47
2012-05-07,98418.47
2012-05-08,98418.47
2012-05-09,98418.47
2012-05-10,98418.47
2012-05-11,98418.47
2012-05-12,98418.47
2012-05-13,98418.47
2012-05-14,98418.47
2012-05-15,98418.47
2012-05-16,98418.47
2012-05-17,98418.47
2012-05-18,98418.47
2012-05-19,98418.47
2012-05-20,98418.47
2012-05-21,98418.47
2012-05-22,98418.47
2012-05-23,98418.47
2012-05-24,98418.47
2012-05-25,98418.47
2012-05-26,98418.47
2012-05-27,98418.47
2012-05-28,98418.47
2012-05-29,98418.47
2012-05-30,98418.47
2012-05-31,98418.47
2012-06-01,98483.65
2012-06-02,98483.65
2012-06-03,98483.65
2012-06-04,98483.65
2012-06-05,98483.65
2012-06-06,98483.65
2012-06-07,98483.65
2012-06-08,98483.65
2012-06-09,98483.65
2012-06-10,98483.65
2012-06-11,98483.65
2012-06-12,98483.65
2012-06-13,98483.65
2012-06-14,98483.65
2012-06-15,98483.65
2012-06-16,98483.65
2012-06-17,98483.65
2012-06-18,98483.65
2012-06-19,98483.65
2012-06-20,98483.65
2012-06-21,98483.65
2012-06-22,98483.65
2012-06-23,98483.65
2012-06-24,98483.65
2012-06-25,98483.65
2012-06-26,98483.65
2012-06-27,98483.65
2012-06-28,98483.65
2012-06-29,98483.65
2012-06-30,98483.65
