summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Wind Speed (m s-1)
2008-06-30,4.271925
2008-07-01,4.4696045
2008-07-02,3.6634977
2008-07-03,2.1075115
2008-07-04,2.3463817
2008-07-05,4.345073
2008-07-06,3.6152456
2008-07-07,2.1748192
2008-07-08,2.6323314
2008-07-09,2.8190596
2008-07-10,4.0236926
2008-07-11,2.862438
2008-07-12,4.1126485
2008-07-13,2.9303677
2008-07-14,4.469782
2008-07-15,5.941061
2008-07-16,5.279093
2008-07-17,2.747633
2008-07-18,2.854157
2008-07-19,4.603629
2008-07-20,5.3605623
2008-07-21,3.5190725
2008-07-22,3.8389127
2008-07-23,2.1812618
2008-07-24,3.5722716
2008-07-25,4.033035
2008-07-26,1.5955256
2008-07-27,1.195956
2008-07-28,2.576831
2008-07-29,3.0973356
2008-07-30,3.4057584
2008-07-31,3.498992
2008-08-01,3.758424
2008-08-02,3.2810168
2008-08-03,2.2605186
2008-08-04,2.102028
2008-08-05,2.2895572
2008-08-06,2.8409686
2008-08-07,3.4407737
2008-08-08,2.3173702
2008-08-09,2.9054513
2008-08-10,4.2426643
2008-08-11,4.548512
2008-08-12,2.9442558
2008-08-13,2.199284
2008-08-14,2.082419
2008-08-15,2.3861003
2008-08-16,4.0729413
2008-08-17,4.087608
2008-08-18,3.3224442
2008-08-19,2.7948577
2008-08-20,2.395525
2008-08-21,2.6967933
2008-08-22,2.8491743
2008-08-23,3.540704
2008-08-24,4.925813
2008-08-25,5.996766
2008-08-26,3.599948
2008-08-27,4.871844
2008-08-28,4.765049
2008-08-29,1.9131194
2008-08-30,2.106354
2008-08-31,1.4188927
2008-09-01,3.1419368
