Scotland_E Days of Air Frost
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   17.2    6.7    3.5    4.7    1.7    0.3    0.0    0.0    0.1    0.6    9.8   22.2     ---    9.9    0.3   10.5    66.8
1962   12.7   13.2   20.1    9.6    1.3    0.4    0.0    0.1    0.2    2.4   12.6   17.4    48.1   31.0    0.6   15.2    90.1
1963   25.7   25.9    9.9    5.6    1.4    0.0    0.0    0.1    0.3    0.8    9.2   15.1    69.0   17.0    0.1   10.3    94.0
1964   11.8   12.7   12.1    3.3    0.1    0.6    0.1    0.4    0.7    3.9    9.5   19.4    39.6   15.4    1.1   14.1    74.5
1965   20.1   15.3   18.1    7.7    1.5    0.2    0.1    0.1    0.2    2.7   17.4   18.7    54.8   27.3    0.4   20.4   102.2
1966   17.8   16.7    9.0   13.3    1.7    0.1    0.0    0.3    0.1    3.9   13.1   15.9    53.2   24.0    0.4   17.1    91.8
1967   13.5    9.8    8.3    7.7    3.3    0.2    0.0    0.1    0.1    2.2   10.0   15.0    39.2   19.3    0.2   12.3    70.1
1968   17.0   25.1   12.4   11.6    5.0    0.1    0.1    0.0    0.2    0.8    8.3   17.7    57.1   29.0    0.2    9.3    98.3
1969   12.8   23.6   22.8   11.6    1.4    0.2    0.0    0.1    0.3    0.3   20.5   18.5    54.1   35.7    0.3   21.1   112.1
1970   15.3   21.4   19.4   15.1    0.2    0.1    0.0    0.0    0.3    1.3    8.3   12.4    55.2   34.7    0.1    9.9    93.8
1971   12.4   10.9   13.7    7.2    2.3    0.1    0.0    0.0    0.7    4.7   14.3    5.9    35.6   23.3    0.2   19.7    72.3
1972   12.7   12.5   11.7    3.3    0.8    0.2    0.0    0.0    2.4    1.8   12.5   12.8    31.1   15.8    0.2   16.7    70.7
1973   13.2   15.7   12.4   10.0    2.3    0.3    0.1    0.2    0.3    5.4   13.2   15.4    41.7   24.7    0.5   19.0    88.5
1974    9.3    9.8   11.0   11.7    1.9    0.1    0.0    0.1    1.9    2.9    7.3    7.1    34.5   24.6    0.2   12.1    63.1
1975   14.1   13.6   17.8    8.4    3.9    0.9    0.0    0.0    1.4    2.2    9.3   10.1    34.8   30.2    0.9   12.9    81.8
1976   14.6   12.0   13.7    6.3    0.3    0.1    0.0    0.0    0.2    1.5   10.0   23.8    36.7   20.3    0.1   11.6    82.5
1977   20.2   16.3    7.3    8.9    4.3    0.3    0.0    0.3    0.6    0.3   11.7    8.6    60.3   20.4    0.6   12.6    78.8
1978   22.8   20.6    9.7   10.5    1.9    0.3    0.0    0.0    0.2    0.3    7.3   14.2    51.9   22.0    0.3    7.8    87.7
1979   27.4   23.6   20.3    7.4    7.3    0.1    0.0    0.0    1.3    1.3   10.3   14.5    65.2   35.0    0.1   13.0   113.6
1980   19.1   10.9   16.2    5.0    3.5    0.2    0.0    0.0    0.0    4.9    9.8   12.6    44.6   24.8    0.3   14.8    82.5
1981   19.3   18.9   10.4   11.5    2.6    0.3    0.0    0.1    0.2    7.9    6.8   25.4    50.8   24.5    0.4   14.8   103.2
1982   16.1   10.8   11.3    5.4    5.1    0.2    0.0    0.1    0.5    1.7    7.8   17.5    52.3   21.8    0.3   10.1    76.7
1983   10.2   21.3    8.8   13.0    0.8    0.2    0.0    0.0    0.6    3.6    8.7    9.6    48.9   22.6    0.3   12.9    76.9
1984   24.7   13.8   13.6    9.2    4.7    0.1    0.0    0.0    0.4    1.2    3.4    8.7    48.1   27.5    0.1    5.0    79.8
1985   23.2   17.0   16.7    5.8    1.7    0.3    0.0    0.0    0.0    2.6   19.5   11.1    48.9   24.2    0.4   22.1    97.9
1986   19.8   24.3   12.2   11.9    0.3    0.2    0.0    0.2    2.6    1.1    6.8   12.7    55.3   24.4    0.4   10.5    92.2
1987   22.1   16.6   19.2    3.1    1.8    0.3    0.0    0.0    0.8    4.9    5.8   11.8    51.5   24.1    0.3   11.4    86.3
1988   14.5   12.8   13.3    7.6    0.9    0.1    0.0    0.0    0.4    3.3    8.7    2.8    39.1   21.8    0.1   12.4    64.4
1989    3.9   10.9   10.9   10.3    1.2    0.5    0.0    0.1    0.5    0.6    7.3   17.8    17.5   22.4    0.5    8.4    63.8
1990    8.0    7.6    4.2    7.3    0.9    0.0    0.0    0.0    0.3    0.9    7.4   15.0    33.4   12.5    0.0    8.6    51.7
1991   21.3   19.4    8.5    5.9    1.4    0.7    0.0    0.0    0.9    1.2    8.8   13.1    55.7   15.8    0.7   10.9    81.2
1992   16.9   10.9    6.3    4.0    1.2    0.0    0.0    0.0    0.1    8.8    9.8   16.2    40.9   11.4    0.1   18.7    74.2
1993   12.1    7.3   10.4    2.8    1.8    0.1    0.0    0.0    2.0    7.3   15.9   19.7    35.6   15.0    0.2   25.2    79.5
1994   15.6   17.9    8.6    8.3    3.9    0.0    0.0    0.1    0.1    2.8    2.8   10.7    53.2   20.8    0.1    5.7    70.8
1995   19.4   11.9   19.0    6.9    6.0    0.1    0.0    0.0    0.7    1.1    6.8   18.3    42.0   31.9    0.1    8.6    90.3
1996    8.2   19.3   12.8    5.1    5.7    0.2    0.0    0.0    0.2    0.7   16.8   17.5    45.8   23.6    0.2   17.7    86.4
1997   20.0    9.3    5.7    5.2    4.1    0.3    0.0    0.0    0.7    5.0    2.7    9.1    46.8   15.0    0.3    8.4    62.0
1998   13.9    4.7   10.4    9.2    1.0    0.5    0.0    0.0    0.1    4.1   11.8   12.4    27.7   20.6    0.5   16.0    68.2
1999   11.4   14.1    8.6    6.1    0.7    0.2    0.0    0.3    0.1    1.4    6.4   18.2    37.9   15.4    0.5    7.9    67.3
2000   11.0   11.0    7.8    8.3    1.3    0.3    0.1    0.0    0.1    1.7    7.1   12.6    40.1   17.4    0.4    8.9    61.3
2001   18.4   18.7   16.7    7.0    2.6    0.3    0.0    0.0    0.1    0.1    7.2   19.4    49.7   26.3    0.3    7.4    90.6
2002   11.5   10.4    8.9    5.5    1.1    0.0    0.0    0.0    0.2    5.5    3.5    8.2    41.3   15.5    0.0    9.2    54.8
2003   14.9   17.0   10.5    4.5    0.3    0.0    0.0    0.0    0.4    5.6    5.1   14.3    40.1   15.3    0.0   11.2    72.7
2004   13.3   15.7    9.3    2.2    1.1    0.1    0.0    0.0    0.2    0.9    6.6   13.2    43.3   12.6    0.1    7.7    62.5
2005    8.8   12.4    8.6    4.7    3.0    0.3    0.0    0.0    0.1    0.5   11.1   11.8    34.3   16.3    0.3   11.7    61.2
2006   11.4   13.3   17.2    7.4    1.9    0.1    0.0    0.0    0.1    0.3    4.2   10.6    36.5   26.4    0.1    4.5    66.4
2007    8.7    9.9    8.9    2.7    1.6    0.2    0.0    0.0    0.9    1.9    5.1   15.7    29.2   13.2    0.2    8.0    55.7
2008   13.6   12.1   13.1    8.3    1.1    0.2    0.0    0.0    0.1    4.8    9.8   16.5    41.3   22.4    0.2   14.7    79.6
2009   19.0   13.8    8.9    3.7    1.5    0.4    0.0    0.0    0.1    1.4    5.0   22.0    49.2   14.0    0.4    6.5    75.7
2010   20.6   21.5   13.2    6.3    4.8    0.1    0.0    0.0    0.5    2.9   14.2   24.6    64.1   24.2    0.1   17.6   108.7
2011   19.1    9.9   11.3    2.1    2.0    0.2    0.0    0.0    0.1    0.7    2.4   15.1    53.6   15.5    0.2    3.1    62.9
2012   13.0   10.9    5.8    9.1    4.5    0.5    0.0    0.2    0.9    6.5    9.7   14.4    39.1   19.5    0.7   17.2    75.7
2013   15.7   18.3   22.9   10.6    2.6    0.1    0.0    0.0    0.3    1.1   13.1    7.7    48.5   36.1    0.1   14.5    92.5
2014   10.0    7.1    7.6    3.4    1.1    0.1    0.0    0.2    0.1    1.0    2.9   15.7    24.9   12.1    0.2    4.0    49.2
