Scotland_N Days of Air Frost
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   16.5    7.5    3.9    5.8    2.0    0.4    0.0    0.1    0.1    0.6    9.4   20.4     ---   11.7    0.4   10.0    66.7
1962    9.7   13.1   19.7    9.7    1.4    0.4    0.0    0.2    0.2    1.5   10.9   12.1    43.3   30.8    0.6   12.5    78.9
1963   22.5   22.4    7.8    6.8    1.3    0.0    0.0    0.1    0.2    0.7    8.7   13.5    57.1   15.9    0.1    9.6    84.1
1964    8.9   11.5   11.9    3.6    0.1    0.5    0.0    0.3    0.5    2.8    5.6   16.2    34.0   15.7    0.8    9.0    62.1
1965   18.5   13.1   15.8    5.3    1.2    0.2    0.0    0.1    0.2    1.7   16.1   16.5    47.7   22.3    0.3   17.9    88.6
1966   17.4   16.3    9.2   14.2    1.6    0.1    0.1    0.2    0.1    2.5   11.6   14.0    50.2   25.0    0.3   14.2    87.1
1967   10.3    7.7    8.7    8.0    3.3    0.1    0.0    0.1    0.2    2.6    5.9   12.6    32.0   20.0    0.3    8.6    59.5
1968   14.5   23.8   11.3    9.9    5.2    0.1    0.0    0.1    0.2    0.5    9.5   17.0    50.9   26.4    0.2   10.2    92.1
1969   10.4   23.6   21.0    9.3    1.4    0.3    0.0    0.1    0.4    0.4   18.0   14.1    51.0   31.6    0.4   18.8    98.9
1970   14.2   21.7   18.9   12.4    0.1    0.1    0.0    0.0    0.2    1.3    6.6   10.6    50.0   31.5    0.2    8.1    86.2
