Scotland_E Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.7    4.7    8.0    8.0   12.8   16.1   15.8   16.3   14.6   11.5    4.0    6.5     ---   9.63  16.03  10.08   10.20
1911    5.3    5.7    5.6    9.2   15.1   16.7   19.2   18.5   15.0    9.8    6.0    5.8    5.84   9.99  18.16  10.26   11.04
1912    3.7    5.1    7.7   11.5   13.2   14.1   16.9   13.6   12.8    9.9    6.7    6.1    4.86  10.81  14.88   9.80   10.13
1913    3.7    5.7    6.3    9.3   12.3   16.1   17.2   17.6   14.3   11.6    8.6    5.3    5.17   9.34  16.96  11.49   10.69
1914    4.6    7.1    6.2   12.6   12.8   17.1   17.7   17.5   15.1   11.6    7.3    4.1    5.59  10.52  17.43  11.36   11.15
1915    3.8    4.2    6.5   10.0   12.0   16.4   16.4   16.6   14.6   10.3    4.2    3.6    4.01   9.49  16.46   9.73    9.92
1916    7.9    3.8    3.1    9.5   12.1   13.4   16.7   17.2   14.2   10.5    7.9    3.7    5.15   8.24  15.79  10.86   10.03
1917    2.2    3.5    4.5    6.9   12.9   16.0   18.1   16.7   15.0    8.2    8.6    3.9    3.13   8.09  16.92  10.54    9.72
1918    3.5    6.7    6.7    8.6   14.1   15.7   17.0   16.8   11.9   10.3    6.4    5.8    4.63   9.82  16.51   9.54   10.32
1919    3.5    2.4    3.9    9.2   14.7   15.7   16.9   17.0   14.3    9.9    3.3    4.5    3.97   9.25  16.54   9.17    9.65
1920    4.7    7.0    7.5    8.4   13.0   16.0   15.2   15.3   14.0   11.4    8.4    4.6    5.36   9.66  15.51  11.28   10.47
1921    6.6    6.4    7.5   10.8   13.5   16.8   18.5   15.2   14.9   13.3    5.7    7.5    5.82  10.60  16.83  11.31   11.42
1922    3.2    4.6    6.2    7.4   13.4   15.1   14.9   14.6   13.1    9.9    7.5    5.9    5.13   9.01  14.89  10.18    9.69
1923    6.9    4.3    7.6    7.5   10.1   14.7   17.7   15.7   13.3   10.0    4.4    4.1    5.75   8.42  16.05   9.26    9.74
1924    5.0    4.7    5.0    8.7   10.9   14.8   16.2   15.2   13.7   10.5    7.8    7.6    4.59   8.19  15.42  10.66   10.02
