Scotland_N Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910  184.1  142.5  101.4  191.5  109.4   59.2  105.5  157.3   62.1  101.0  183.9  162.3     ---  402.3  322.0  347.0  1560.1
1911  118.1  188.2   97.7  122.3   80.8   86.1  119.3  101.4  122.2   83.4  209.3  185.9   468.6  300.8  306.7  414.9  1514.6
1912  109.0  114.1  143.3  142.0   86.8  107.0   83.7  156.8   74.5  161.2  225.0  303.0   409.0  372.1  347.4  460.6  1706.3
1913   90.4  119.7  182.4   99.8   96.0  123.2   38.5   52.4   80.9  130.4  245.1  191.1   513.1  378.2  214.1  456.4  1449.9
1914  174.0  151.8  125.3  117.2  108.0   58.7  106.9  108.9  105.3   55.4  224.8  216.7   516.9  350.4  274.6  385.4  1552.9
1915  185.4  125.1  123.8  166.7   32.4   29.5  132.3   84.9  121.9   45.8  138.3  157.3   527.2  322.8  246.7  306.0  1343.3
1916  266.7  180.0   78.5  107.9  120.9   99.4   87.6   70.4   61.7  257.9  165.2  133.2   604.0  307.3  257.4  484.9  1629.5
1917  135.1   34.5  100.1   98.4   64.5  108.7   51.5  147.3  163.9  286.4  295.4  107.2   302.8  263.0  307.5  745.7  1593.1
1918  140.2  192.1   56.0   51.3   69.4   85.6  162.0  161.6  177.9  168.1  166.2  170.5   439.5  176.8  409.2  512.1  1600.9
1919  114.4   44.1  126.5  162.4   30.5  140.3   52.2  135.1  171.9  108.1  169.8  173.8   329.0  319.5  327.5  449.8  1429.1
1920  224.9  239.7  157.5   95.4  123.5   47.3  101.9   79.2  116.9   50.6  177.2  106.3   638.3  376.5  228.5  344.6  1520.4
1921  249.1   78.8  188.9   61.5  109.4   45.4   96.0   99.3  112.2  163.8   71.2  290.8   434.1  359.8  240.7  347.3  1566.3
1922  149.2  170.5   94.4  108.1  168.3   76.0  106.1  126.2   77.0   76.6  130.2  168.9   610.6  370.8  308.3  283.9  1451.6
1923  252.8   91.4   43.0   95.1  131.9   85.5  134.2  169.9  171.6  234.6  168.8  160.2   513.1  270.0  389.6  575.0  1739.1
1924  118.0   98.0   52.6   80.3  103.5  106.6  143.6  152.1  179.8  135.3  106.1  235.4   376.2  236.4  402.4  421.2  1511.4
1925  162.6  162.1  112.1  116.2  133.4   43.4   79.1   71.8  130.9  129.0   60.9  152.0   560.1  361.6  194.3  320.8  1353.5
1926  178.0   90.4  186.5   93.6   86.6   72.1   62.0  115.2  144.5  178.0  155.2  173.2   420.4  366.7  249.4  477.6  1535.4
1927  246.2   80.2   94.7  189.1   81.4  129.7   89.7  101.0  179.2  204.9  163.3   23.7   499.6  365.2  320.4  547.4  1583.2
1928  308.9  179.2   95.2   73.3   52.5  105.5  112.6  111.2  126.1  179.9  211.0  158.3   511.8  221.0  329.4  516.9  1713.7
1929   48.6   25.7   34.8   76.5   93.1   99.7   90.5  162.6  144.4  254.2  176.9  235.1   232.6  204.4  352.8  575.5  1442.1
1930  226.8   21.9   85.7   65.7   87.6   94.4   75.4  173.0  115.2  214.1  197.9  132.8   483.9  239.0  342.9  527.2  1490.6
1931  192.9  166.0   37.0   96.2  122.7  113.1  131.4   50.8   53.1  142.9  133.3  190.8   491.7  255.9  295.3  329.4  1430.3
1932  283.0   16.9   95.3  153.2   86.3   25.6  131.4  114.3  167.2  200.8  206.0  149.3   490.7  334.7  271.3  574.0  1629.2
1933  164.5  125.2   64.8  126.7   39.9   71.7   94.6  136.4   35.0  192.7   65.7   30.7   439.0  231.5  302.6  293.5  1148.0
1934  196.1   71.7  104.7  167.0  104.4   56.9  142.8  127.4  140.1  212.9   69.4  130.8   298.5  376.1  327.1  422.4  1524.2
1935  145.9  188.1  100.3   98.6   42.2   98.2   92.5  133.7  209.9  280.9  129.5   98.5   464.7  241.2  324.4  620.4  1618.4
1936  112.8   70.0   60.1   58.0   46.9   43.4  150.0   98.4  117.5  190.0  105.8  248.6   281.3  165.0  291.8  413.3  1301.5
1937  204.3  138.2   58.0   39.4   62.4   88.0  106.0  113.7  122.3   84.4   56.0   66.2   591.1  159.8  307.7  262.7  1138.8
1938  244.7  141.8  187.1   45.8  100.1  159.1  150.5  110.3  125.7  270.7  262.9  145.5   452.6  333.0  419.8  659.2  1944.0
1939  144.9  184.3  123.1   85.4   41.9   59.1  196.2   75.6   65.9   75.8  211.1  109.1   474.6  250.3  330.9  352.8  1372.3
1940   46.7   68.8  108.5  107.1   58.8   49.9  205.6  109.6  108.6  152.9  233.2  184.2   224.6  274.4  365.1  494.7  1433.9
1941   58.2  123.6   60.0   75.9   60.4   29.4  112.7  183.4   63.7  160.8  154.4  167.6   366.0  196.3  325.5  378.9  1250.1
1942  142.2   97.0   52.9   58.9   76.3   71.7  129.2  148.8  183.6  236.7   87.9  226.3   406.8  188.2  349.6  508.2  1511.6
1943  126.1  186.6  113.2  155.4  101.3  100.6  106.9  160.4  129.1  216.2  159.6   99.5   539.0  369.8  367.9  504.9  1654.8
