Scotland_W Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910  159.6  208.1   94.7  130.3   84.2   62.3  136.0  226.7   49.9   86.5  125.9  173.9     ---  309.2  425.0  262.3  1538.2
1911  116.9  208.0   55.7  127.7   95.0   86.3   97.9  106.1   85.4  119.4  195.8  276.7   498.8  278.4  290.3  400.7  1570.9
1912  147.8  117.8  172.6   74.3   57.5  165.4   93.7  127.1   90.4  158.2  150.9  305.4   542.3  304.5  386.1  399.5  1661.1
1913  169.7  110.7  186.9  131.2  119.7  108.0   33.1   53.6   81.4  111.9  207.0  152.1   585.8  437.8  194.8  400.3  1465.5
1914  141.1  225.1  173.6  103.3   68.2   39.5   85.6  143.2   77.6   67.6  197.0  254.9   518.3  345.2  268.3  342.2  1576.8
1915  150.4  223.3   87.8  118.7   36.6   53.5  135.4   83.7   47.2   95.1   83.1  207.8   628.5  243.1  272.6  225.3  1322.5
1916  220.2  182.2   51.9  122.7  137.5   66.0  106.5  119.8   62.7  244.8  184.4  170.3   610.2  312.0  292.3  491.9  1668.9
1917   87.6   39.0   84.4   70.2  107.1   90.9   59.5  164.0  120.4  279.2  250.4  108.7   297.0  261.7  314.4  650.0  1461.5
1918  170.8  223.2   58.6   33.8   83.1   60.3  116.6  126.8  200.7  225.2  191.7  206.2   502.7  175.5  303.6  617.5  1696.8
1919  148.0   31.3  125.8   97.2   35.8  137.0   42.3  116.8  142.4   57.1  138.1  269.8   385.5  258.8  296.1  337.7  1341.7
1920  225.4  206.1  170.6   81.5  166.2   72.1  132.6  148.1  104.9  103.9  159.5  157.8   701.2  418.3  352.9  368.3  1728.7
1921  277.0   53.7  235.0   55.9   94.6   26.7  141.2  179.3   84.6  155.1   99.9  260.5   488.5  385.5  347.2  339.6  1663.7
1922  177.1  181.2   74.6   93.1  136.2   92.0  125.9  108.3   86.0   81.8  118.0  162.1   618.8  303.9  326.2  285.8  1436.2
1923  181.4  180.0   75.3  113.3   76.5   67.3  150.2  223.8  229.6  245.9  164.9  182.4   523.5  265.2  441.3  640.4  1890.7
1924  174.7   45.8   29.6   99.5  127.2   89.1  151.6  147.3  195.5  118.1  126.6  248.7   402.9  256.2  387.9  440.2  1553.6
