Scotland_E Sunshine (Total hours)
Areal series, starting from 1929
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1929   34.1   53.9  157.4  136.5  175.0  184.8  153.4  125.6  129.0   92.5   56.0   42.1     ---  469.0  463.7  277.5  1340.4
1930   47.5   78.4  109.2  111.3  167.0  214.9  125.9  137.2   78.4   88.0   63.0   34.5   168.0  387.5  478.0  229.4  1255.3
1931   53.7   64.8  118.4  113.9  170.6  131.3   82.6  126.0  104.5  101.6   42.0   29.0   153.0  402.9  339.9  248.1  1138.3
1932   58.8   71.0   81.8  138.1  123.0  179.4  121.4  127.9  109.9   71.0   49.4   30.5   158.7  342.9  428.7  230.3  1162.2
1933   48.5   66.3  140.1  104.2  115.5  212.0  161.4  173.1  135.9   63.5   42.1   28.1   145.2  359.7  546.4  241.5  1290.5
1934   42.1   77.4  114.4  108.7  163.0  180.5  185.2  127.6  134.7   81.8   49.7   15.2   147.7  386.1  493.4  266.2  1280.4
1935   40.1   57.0  101.5  113.0  208.0  131.8  211.7  131.6  112.8   57.5   48.2   41.0   112.3  422.5  475.1  218.4  1254.2
1936   40.8   60.8   55.8  162.3  171.0  210.2  123.3  156.0   83.9   90.4   53.2   38.3   142.6  389.1  489.5  227.6  1246.1
1937   34.2   81.9   93.0   83.9  172.5  162.6  114.9  135.9  124.3   69.1   45.3   31.7   154.5  349.4  413.5  238.7  1149.4
1938   48.2   56.3   95.0  137.9  159.1  158.3  120.6  164.6   98.1   87.1   51.6   38.4   136.2  392.0  443.5  236.8  1215.2
1939   36.4   54.9  100.7  134.7  160.8  206.9  107.4  124.3  106.8   89.6   43.1   23.1   129.8  396.2  438.5  239.5  1188.7
1940   36.7   43.1  101.9   99.7  183.0  254.1  109.5  137.1  125.2   53.5   42.3   25.9   102.9  384.6  500.8  221.0  1212.1
1941   33.2   53.7   94.8   86.7  141.9  180.7  132.2  127.4   85.2   78.9   34.8   36.3   112.8  323.4  440.3  198.9  1085.8
1942   18.6   60.2   76.2  200.0  201.3  144.1  156.3   86.1  127.8   76.0   63.5   31.1   115.2  477.5  386.6  267.2  1241.2
1943   30.0   79.8  108.2  139.4  181.5  171.6  186.5  100.8  110.7   72.0   55.5   27.5   141.0  429.1  458.9  238.2  1263.6
1944   29.9   66.0   97.3  118.8  118.6  133.6  101.6  130.4  104.0   71.7   52.4   32.0   123.4  334.6  365.6  228.2  1056.3
1945   39.1   75.2   95.3  157.7  157.5  167.8  144.1  152.6   98.2   89.4   34.4   28.6   146.3  410.5  464.5  222.0  1239.9
1946   44.3   89.1   90.7  151.9  209.2  154.3  131.0  128.7   90.8   71.7   33.4   37.9   162.0  451.7  414.1  195.9  1233.1
1947   33.1   49.5   99.5  116.1  147.8  120.8  157.6  232.9  103.3   73.9   72.5   26.6   120.5  363.4  511.3  249.7  1233.6
1948   30.5   58.6  126.3  153.4  210.2  137.4  162.5   81.6  120.4   89.4   57.8   41.2   115.7  489.9  381.4  267.6  1269.3
1949   44.2   86.2  110.7  138.6  193.3  230.0  159.3  124.7  120.4   76.5   45.2   38.1   171.6  442.7  513.9  242.0  1367.2
1950   37.6   87.3  111.5  130.4  156.1  187.0  160.2  146.2  104.4   84.1   57.1   33.7   163.1  398.0  493.4  245.7  1295.7
1951   43.9   55.9   77.1  154.8  184.7  179.0  156.8  115.3  128.7   83.5   42.4   45.7   133.5  416.5  451.1  254.6  1267.8
1952   47.7   78.7   94.9  165.3  158.9  151.1  186.8  123.6   94.6   89.0   55.2   38.7   172.1  419.1  461.4  238.9  1284.5
1953   45.8   68.7  144.5  145.2  160.6  137.0  110.1  144.4   99.4   73.2   45.8   41.4   153.1  450.2  391.5  218.5  1216.0
1954   35.3   53.1   82.8  171.2  147.0  127.7  129.0   96.3  124.7   77.4   51.3   32.8   129.9  401.0  353.0  253.4  1128.6
1955   38.4   71.7  117.9  171.1  206.9  174.2  252.5  165.5  136.0   88.1   54.2   37.1   142.8  495.9  592.1  278.3  1513.5
1956   48.0   53.0  107.8  160.4  188.5  169.5  157.9  116.0   80.0  100.0   45.9   21.2   138.1  456.7  443.4  226.0  1248.4
1957   44.7   80.9   64.3  152.9  183.1  229.1  103.3  113.5  108.6   73.7   39.3   46.8   146.8  400.3  445.9  221.6  1240.2
1958   44.6   50.5   88.6  133.7  174.8  115.0  151.0  110.7  118.8  101.3   43.9   37.2   142.0  397.1  376.7  264.0  1170.2
1959   69.1   59.1   85.0  130.9  186.6  176.3  160.4  146.8  150.1  100.1   46.5   20.4   165.5  402.6  483.5  296.7  1331.4
