summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2005-06-30,1.9054079
2005-07-01,3.3256233
2005-07-02,2.7472787
2005-07-03,3.6425447
2005-07-04,2.4232605
2005-07-05,2.3023071
2005-07-06,1.6665491
2005-07-07,2.9926078
2005-07-08,3.8103466
2005-07-09,3.256625
2005-07-10,3.132253
2005-07-11,4.610074
2005-07-12,4.1740813
2005-07-13,2.9842746
2005-07-14,2.1370263
2005-07-15,2.384937
2005-07-16,2.9911284
2005-07-17,2.757088
2005-07-18,2.9773436
2005-07-19,2.4981549
2005-07-20,3.1049051
2005-07-21,2.777217
2005-07-22,2.8750448
2005-07-23,1.9108679
2005-07-24,1.879013
2005-07-25,1.8332261
2005-07-26,2.1696448
2005-07-27,1.7307208
2005-07-28,0.9198816
2005-07-29,0.96840143
2005-07-30,1.5508451
2005-07-31,1.9407642
2005-08-01,2.0668838
2005-08-02,2.3190897
2005-08-03,2.9358575
2005-08-04,2.416548
2005-08-05,2.6079936
2005-08-06,2.6911733
2005-08-07,2.598972
2005-08-08,2.597454
2005-08-09,1.5826277
2005-08-10,2.2875428
2005-08-11,1.5277972
2005-08-12,1.6247557
2005-08-13,1.9889644
2005-08-14,2.1950889
2005-08-15,1.8893564
2005-08-16,1.8894535
2005-08-17,2.3213563
2005-08-18,1.4538598
2005-08-19,2.2235072
2005-08-20,2.665976
2005-08-21,2.2820108
2005-08-22,2.3939779
2005-08-23,1.7543192
2005-08-24,3.0990875
2005-08-25,2.1345134
2005-08-26,2.1206698
2005-08-27,1.8313314
2005-08-28,1.7214916
2005-08-29,2.8636525
2005-08-30,1.8866054
2005-08-31,1.3912556
2005-09-01,1.830202
2005-09-02,1.6747618
2005-09-03,1.7235096
2005-09-04,1.9111725
2005-09-05,1.1273582
2005-09-06,2.3172293
2005-09-07,1.7515709
2005-09-08,1.6316673
2005-09-09,0.9002565
2005-09-10,0.69033295
2005-09-11,1.3656594
2005-09-12,1.7043762
2005-09-13,1.6631442
2005-09-14,2.2369187
2005-09-15,1.13006
2005-09-16,1.4936496
2005-09-17,0.9956216
2005-09-18,1.3591444
2005-09-19,1.4767758
2005-09-20,1.4959849
2005-09-21,1.2225398
2005-09-22,1.8045597
2005-09-23,1.607138
2005-09-24,1.2305665
2005-09-25,1.1258703
2005-09-26,1.2156804
2005-09-27,1.9948573
2005-09-28,1.4158951
2005-09-29,1.3231149
2005-09-30,1.1713979
2005-10-01,1.318789
2005-10-02,1.0053293
2005-10-03,0.8447882
2005-10-04,0.45865062
2005-10-05,0.8151779
2005-10-06,0.69354916
2005-10-07,0.9940518
2005-10-08,1.0546077
2005-10-09,1.2866994
2005-10-10,1.6345714
2005-10-11,0.18450585
2005-10-12,0.118168
2005-10-13,0.43585637
2005-10-14,0.39713287
2005-10-15,0.48491132
2005-10-16,0.67122614
2005-10-17,0.5888215
2005-10-18,1.2003742
2005-10-19,0.59436905
2005-10-20,0.6376104
2005-10-21,0.3691413
2005-10-22,0.14766605
2005-10-23,0.28776488
2005-10-24,0.3744633
2005-10-25,0.6622832
2005-10-26,0.50561786
2005-10-27,0.87740815
2005-10-28,1.2069488
2005-10-29,0.7655169
2005-10-30,1.357625
2005-10-31,0.81826514
2005-11-01,0.7036946
2005-11-02,0.2031614
2005-11-03,0.28872833
2005-11-04,0.6107121
2005-11-05,0.36391374
2005-11-06,0.81170034
2005-11-07,1.0279977
2005-11-08,0.52936757
2005-11-09,0.40706652
2005-11-10,0.91206074
2005-11-11,1.2418947
2005-11-12,0.9968481
2005-11-13,0.08605182
2005-11-14,1.0127265
2005-11-15,0.64124715
2005-11-16,0.19937146
2005-11-17,0
2005-11-18,0
2005-11-19,0
2005-11-20,0
2005-11-21,0
2005-11-22,0
2005-11-23,0
2005-11-24,0.7570274
2005-11-25,0.47337848
2005-11-26,0.35719523
2005-11-27,0.28675088
2005-11-28,0.46592656
2005-11-29,0
2005-11-30,0.021977073
2005-12-01,0.4828479
2005-12-02,0.43403727
2005-12-03,0.10269937
2005-12-04,0
2005-12-05,0
2005-12-06,0
2005-12-07,0
2005-12-08,0
2005-12-09,0.17513096
2005-12-10,0.31962013
2005-12-11,0.585565
2005-12-12,0
2005-12-13,0.19811165
2005-12-14,0.27763832
2005-12-15,0.9639871
2005-12-16,0.66400814
2005-12-17,0.20297791
2005-12-18,0.1220441
2005-12-19,0.28955907
2005-12-20,0.17527713
2005-12-21,0.53042364
2005-12-22,0.25292197
2005-12-23,0.5700021
2005-12-24,0
2005-12-25,0
2005-12-26,0.030011084
2005-12-27,0
2005-12-28,0
2005-12-29,0
2005-12-30,0.09705527
2005-12-31,0.017975016
2006-01-01,0
2006-01-02,0
2006-01-03,0
2006-01-04,0
2006-01-05,0.2228122
2006-01-06,0
2006-01-07,0
2006-01-08,0
2006-01-09,0.35311732
2006-01-10,0.57880974
2006-01-11,0.56755596
2006-01-12,0.7372673
2006-01-13,0.95190084
2006-01-14,0
2006-01-15,0.56021506
2006-01-16,0.41816038
2006-01-17,0.27141333
2006-01-18,0
2006-01-19,0.6715889
2006-01-20,0.8312533
2006-01-21,0.26998156
2006-01-22,0.15657207
2006-01-23,0.31796744
2006-01-24,0.10405792
2006-01-25,0.3204605
2006-01-26,0
2006-01-27,0.3801101
2006-01-28,0.10291745
2006-01-29,0
2006-01-30,0
2006-01-31,0
2006-02-01,0
2006-02-02,0
2006-02-03,0
2006-02-04,0
2006-02-05,0.28485882
2006-02-06,0.8181546
2006-02-07,0.9879185
2006-02-08,0.49586084
2006-02-09,0.61738473
2006-02-10,0.115287736
2006-02-11,0.54432535
2006-02-12,0.26373962
2006-02-13,0.26600152
2006-02-14,0.72111213
2006-02-15,0.9204092
2006-02-16,0.763515
2006-02-17,0.24981618
2006-02-18,0.10194944
2006-02-19,0.30975187
2006-02-20,0.668427
2006-02-21,0.6958388
2006-02-22,0.64380133
2006-02-23,0.31694132
2006-02-24,0.71511513
2006-02-25,1.1519892
2006-02-26,1.0905159
2006-02-27,0.75939095
2006-02-28,0.7121958
2006-03-01,0.76779413
2006-03-02,0.5138796
2006-03-03,0.53678113
2006-03-04,0.8699317
2006-03-05,1.0500512
2006-03-06,0.7514168
2006-03-07,0.27413094
2006-03-08,0.40294218
2006-03-09,0.49444872
2006-03-10,0.33880618
2006-03-11,0.7437105
2006-03-12,0.77065516
2006-03-13,0.9670044
2006-03-14,0.6741239
2006-03-15,0.7825653
2006-03-16,0.90140855
2006-03-17,1.2364862
2006-03-18,1.0463777
2006-03-19,0.82088435
2006-03-20,0.9315131
2006-03-21,1.1455358
2006-03-22,0.87602407
2006-03-23,1.1178414
2006-03-24,1.1436234
2006-03-25,0.8481808
2006-03-26,0.9906646
2006-03-27,0.86655724
2006-03-28,0.6839024
2006-03-29,1.7578201
2006-03-30,0.41266122
2006-03-31,0.91831374
2006-04-01,1.3703201
2006-04-02,0.9561631
2006-04-03,1.4415609
2006-04-04,1.9263049
2006-04-05,1.643035
2006-04-06,1.98348
