summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2011-06-30,2.6890767
2011-07-01,2.6723974
2011-07-02,2.9913812
2011-07-03,4.10199
2011-07-04,3.614081
2011-07-05,2.26266
2011-07-06,1.7414098
2011-07-07,2.435608
2011-07-08,2.3747292
2011-07-09,2.3122554
2011-07-10,1.9958248
2011-07-11,2.263978
2011-07-12,2.1409357
2011-07-13,3.336812
2011-07-14,3.4275935
2011-07-15,2.4529037
2011-07-16,1.7275145
2011-07-17,2.171916
2011-07-18,1.8001766
2011-07-19,1.8780519
2011-07-20,1.5695535
2011-07-21,2.0784335
2011-07-22,1.9529113
2011-07-23,2.7961347
2011-07-24,3.5034676
2011-07-25,2.505533
2011-07-26,2.410242
2011-07-27,2.9785614
2011-07-28,1.5718226
2011-07-29,2.42731
2011-07-30,2.8522975
2011-07-31,1.811382
2011-08-01,1.4460953
2011-08-02,1.3871479
2011-08-03,2.4848645
2011-08-04,1.4169676
2011-08-05,2.5026402
2011-08-06,1.3754077
2011-08-07,1.3360882
2011-08-08,2.1963475
2011-08-09,2.9876084
2011-08-10,0.54118043
2011-08-11,1.2878362
2011-08-12,1.3483245
2011-08-13,1.8826659
2011-08-14,2.2922506
2011-08-15,2.3817515
2011-08-16,1.443217
2011-08-17,2.2771091
2011-08-18,1.3356154
2011-08-19,2.1086369
2011-08-20,2.5691404
2011-08-21,1.9812293
2011-08-22,1.6892288
2011-08-23,1.5457354
2011-08-24,1.6850213
2011-08-25,1.7780373
2011-08-26,1.1882496
2011-08-27,1.3752329
2011-08-28,1.8036197
2011-08-29,1.6676868
2011-08-30,1.2697875
2011-08-31,0.9752873
2011-09-01,1.2831511
2011-09-02,1.5881673
2011-09-03,1.116699
2011-09-04,1.6128638
2011-09-05,1.2755802
2011-09-06,1.8143332
2011-09-07,1.8745675
2011-09-08,1.7870508
2011-09-09,0.9083101
2011-09-10,1.2553942
2011-09-11,1.6091452
2011-09-12,1.7064384
2011-09-13,1.8903475
2011-09-14,1.7303802
2011-09-15,1.2802422
2011-09-16,0.85412186
2011-09-17,0.98723346
2011-09-18,0.88260615
2011-09-19,1.0949998
2011-09-20,1.3340569
