summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2002-06-30,349.40836
2002-07-01,340.89905
2002-07-02,337.4956
2002-07-03,339.47504
2002-07-04,336.15433
2002-07-05,328.33344
2002-07-06,345.18182
2002-07-07,335.85092
2002-07-08,329.67587
2002-07-09,334.3683
2002-07-10,326.99902
2002-07-11,316.5901
2002-07-12,322.73193
2002-07-13,306.19073
2002-07-14,349.88724
2002-07-15,354.86398
2002-07-16,340.82907
2002-07-17,350.0513
2002-07-18,338.93292
2002-07-19,352.07663
2002-07-20,349.56207
2002-07-21,318.14752
2002-07-22,353.5107
2002-07-23,353.61792
2002-07-24,345.59326
2002-07-25,358.5657
2002-07-26,353.19678
2002-07-27,355.42557
2002-07-28,361.11462
2002-07-29,368.3475
2002-07-30,368.07315
2002-07-31,370.2128
2002-08-01,355.2635
2002-08-02,362.9474
2002-08-03,359.0132
2002-08-04,346.2187
2002-08-05,342.7784
2002-08-06,354.655
2002-08-07,363.1697
2002-08-08,351.01773
2002-08-09,351.77014
2002-08-10,351.35272
2002-08-11,356.56598
2002-08-12,341.78638
2002-08-13,354.317
2002-08-14,364.70816
2002-08-15,330.79572
2002-08-16,319.14957
2002-08-17,363.0732
2002-08-18,364.1966
2002-08-19,332.8997
2002-08-20,332.9449
2002-08-21,322.47745
2002-08-22,337.1124
2002-08-23,358.7915
2002-08-24,349.85013
2002-08-25,342.6912
2002-08-26,310.3557
2002-08-27,336.30573
2002-08-28,359.56128
2002-08-29,350.83817
2002-08-30,357.45917
2002-08-31,303.52606
2002-09-01,308.26376
2002-09-02,307.7961
2002-09-03,341.62427
2002-09-04,345.7427
2002-09-05,344.4771
2002-09-06,326.9014
2002-09-07,329.82663
2002-09-08,327.76578
2002-09-09,345.69907
2002-09-10,340.36627
2002-09-11,304.01154
2002-09-12,347.60843
2002-09-13,331.53696
2002-09-14,330.49637
2002-09-15,343.17105
2002-09-16,353.3232
2002-09-17,346.31802
2002-09-18,350.2659
2002-09-19,350.43207
2002-09-20,321.28055
2002-09-21,327.30518
2002-09-22,317.8085
2002-09-23,295.51352
2002-09-24,285.65207
2002-09-25,325.971
2002-09-26,327.681
2002-09-27,349.8525
2002-09-28,350.84555
2002-09-29,334.48007
2002-09-30,334.07977
2002-10-01,325.22168
2002-10-02,348.32895
2002-10-03,309.20526
2002-10-04,337.89325
2002-10-05,356.78793
2002-10-06,304.715
2002-10-07,331.45905
2002-10-08,339.24246
2002-10-09,315.37228
2002-10-10,334.33762
2002-10-11,339.0687
2002-10-12,330.1945
2002-10-13,313.87946
2002-10-14,329.64792
2002-10-15,304.69107
2002-10-16,287.84134
2002-10-17,310.85596
2002-10-18,268.71686
2002-10-19,258.297
2002-10-20,275.19315
2002-10-21,317.1975
2002-10-22,325.72845
2002-10-23,300.44217
2002-10-24,288.733
2002-10-25,311.8118
2002-10-26,288.45712
2002-10-27,317.61377
2002-10-28,289.18124
2002-10-29,306.58267
2002-10-30,270.54266
2002-10-31,290.34796
2002-11-01,336.56714
2002-11-02,339.04102
2002-11-03,302.36502
2002-11-04,301.36304
2002-11-05,326.0115
2002-11-06,308.47156
2002-11-07,279.25394
2002-11-08,316.63824
2002-11-09,306.726
2002-11-10,302.14825
2002-11-11,303.7263
2002-11-12,310.67294
2002-11-13,312.41757
2002-11-14,327.82443
2002-11-15,313.3658
2002-11-16,304.9761
2002-11-17,275.6696
2002-11-18,296.71625
2002-11-19,305.24286
2002-11-20,322.31833
2002-11-21,333.7747
2002-11-22,323.77615
2002-11-23,309.92865
2002-11-24,286.5559
2002-11-25,304.7777
2002-11-26,322.35876
2002-11-27,333.70847
2002-11-28,318.8189
2002-11-29,307.4341
2002-11-30,323.1595
2002-12-01,310.9131
2002-12-02,324.2706
2002-12-03,324.33878
2002-12-04,317.23456
2002-12-05,303.046
2002-12-06,310.52917
2002-12-07,305.27393
2002-12-08,303.5846
2002-12-09,287.83658
2002-12-10,287.5633
2002-12-11,277.83026
2002-12-12,301.27667
2002-12-13,305.44147
2002-12-14,307.5848
2002-12-15,305.61987
2002-12-16,304.0127
2002-12-17,256.7487
2002-12-18,242.85588
2002-12-19,262.48224
2002-12-20,278.507
2002-12-21,298.02554
2002-12-22,315.7368
2002-12-23,329.60056
2002-12-24,331.57516
2002-12-25,322.1156
2002-12-26,325.17947
2002-12-27,323.77457
2002-12-28,316.7631
2002-12-29,315.7094
2002-12-30,301.51468
2002-12-31,281.58597
2003-01-01,303.06824
2003-01-02,303.10706
2003-01-03,265.43033
2003-01-04,247.64062
2003-01-05,259.14734
2003-01-06,253.79787
2003-01-07,243.60593
2003-01-08,279.23816
2003-01-09,294.58246
2003-01-10,257.39056
2003-01-11,252.46304
2003-01-12,312.35394
2003-01-13,338.02042
2003-01-14,334.84003
2003-01-15,300.83508
2003-01-16,325.0553
2003-01-17,309.59622
2003-01-18,310.98465
2003-01-19,309.53592
2003-01-20,308.86606
2003-01-21,300.68066
2003-01-22,309.42535
2003-01-23,272.45718
2003-01-24,333.9895
2003-01-25,293.07166
2003-01-26,328.05566
2003-01-27,322.20163
2003-01-28,298.61533
2003-01-29,273.2285
2003-01-30,252.11772
2003-01-31,283.55325
2003-02-01,271.77563
2003-02-02,289.15714
2003-02-03,267.06412
2003-02-04,249.18166
2003-02-05,239.93474
2003-02-06,304.64716
2003-02-07,314.19092
2003-02-08,325.7547
2003-02-09,280.14343
2003-02-10,299.87247
2003-02-11,280.9012
2003-02-12,286.03564
