summary,Climate Hydrology Ecology Support System subset,,,
originalResource,"{""url"":""https://eip.ceh.ac.uk/apps/chess/""","title:""EIP | CHESS""}",,
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,,
location,"{""type"":""point""",x:334132.7787655574,y:658017.530274143,"spatialReference:{""wkid"":27700}}"
DATES,Near-Surface Air Temperature (K),,,
30/06/2003,286.30847,13.30847,-5.77322,
01/07/2003,286.06094,13.06094,19.96182,
02/07/2003,286.6033,13.6033,,
03/07/2003,287.0101,14.0101,,
04/07/2003,287.59097,14.59097,,
05/07/2003,285.7932,12.7932,,
06/07/2003,286.85257,13.85257,,
07/07/2003,287.63953,14.63953,,
08/07/2003,287.85104,14.85104,,
09/07/2003,289.43402,16.43402,,
10/07/2003,289.3039,16.3039,,
11/07/2003,286.52493,13.52493,,
12/07/2003,287.2908,14.2908,,
13/07/2003,289.43634,16.43634,,
14/07/2003,290.9583,17.9583,,
15/07/2003,291.37985,18.37985,,
16/07/2003,292.3144,19.3144,,
17/07/2003,290.64618,17.64618,,
18/07/2003,288.65155,15.65155,,
19/07/2003,289.8294,16.8294,,
20/07/2003,289.02347,16.02347,,
21/07/2003,288.11044,15.11044,,
22/07/2003,288.06656,15.06656,,
23/07/2003,287.93036,14.93036,,
24/07/2003,288.1788,15.1788,,
25/07/2003,288.11914,15.11914,,
26/07/2003,287.07864,14.07864,,
27/07/2003,286.56317,13.56317,,
28/07/2003,286.84625,13.84625,,
29/07/2003,287.97052,14.97052,,
30/07/2003,288.34558,15.34558,,
31/07/2003,287.58246,14.58246,,
01/08/2003,288.05612,15.05612,,
02/08/2003,287.07837,14.07837,,
03/08/2003,288.2327,15.2327,,
04/08/2003,289.96143,16.96143,,
05/08/2003,290.94165,17.94165,,
06/08/2003,291.94608,18.94608,,
07/08/2003,291.46936,18.46936,,
08/08/2003,291.08786,18.08786,,
09/08/2003,292.96182,19.96182,,
10/08/2003,290.87476,17.87476,,
11/08/2003,288.9596,15.9596,,
12/08/2003,289.21616,16.21616,,
13/08/2003,288.10724,15.10724,,
