summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2007-06-30,0.0071454886
2007-07-01,0.009042417
2007-07-02,0.008760012
2007-07-03,0.008335806
2007-07-04,0.008433674
2007-07-05,0.008122839
2007-07-06,0.008399521
2007-07-07,0.0075879353
2007-07-08,0.0067692352
2007-07-09,0.0067584896
2007-07-10,0.007071369
2007-07-11,0.007547319
2007-07-12,0.0085715875
2007-07-13,0.00806769
2007-07-14,0.008286552
2007-07-15,0.0078998925
2007-07-16,0.008911519
2007-07-17,0.008519291
2007-07-18,0.008098797
2007-07-19,0.007802971
2007-07-20,0.0072923014
2007-07-21,0.006818334
2007-07-22,0.007503846
2007-07-23,0.007736859
2007-07-24,0.007705965
2007-07-25,0.0082533695
2007-07-26,0.008231503
2007-07-27,0.007332362
2007-07-28,0.006607795
2007-07-29,0.00581392
2007-07-30,0.0060453257
2007-07-31,0.007148787
2007-08-01,0.008042943
2007-08-02,0.0069806487
2007-08-03,0.008772493
2007-08-04,0.008747968
2007-08-05,0.008882941
2007-08-06,0.007963351
2007-08-07,0.006207929
2007-08-08,0.006437728
2007-08-09,0.0071018445
2007-08-10,0.008378328
2007-08-11,0.008954447
2007-08-12,0.008265928
2007-08-13,0.0071564405
2007-08-14,0.008201247
2007-08-15,0.0073402817
2007-08-16,0.006352169
2007-08-17,0.0066489293
2007-08-18,0.00870791
2007-08-19,0.0074035004
2007-08-20,0.006251691
2007-08-21,0.00835086
2007-08-22,0.0075104497
2007-08-23,0.007167394
2007-08-24,0.008951133
2007-08-25,0.008950338
2007-08-26,0.0063224756
2007-08-27,0.0069072223
2007-08-28,0.007197096
2007-08-29,0.006849146
2007-08-30,0.008312152
2007-08-31,0.0079015335
2007-09-01,0.00786778
2007-09-02,0.007473877
2007-09-03,0.005728061
2007-09-04,0.006772888
2007-09-05,0.009816434
2007-09-06,0.00884167
2007-09-07,0.008124798
2007-09-08,0.008059417
2007-09-09,0.007930388
2007-09-10,0.0063300948
2007-09-11,0.0072445166
2007-09-12,0.008396014
2007-09-13,0.00762985
2007-09-14,0.006113057
2007-09-15,0.0063517145
2007-09-16,0.008240681
2007-09-17,0.005156174
2007-09-18,0.005033662
2007-09-19,0.0069356197
2007-09-20,0.0066431914
2007-09-21,0.0065550674
2007-09-22,0.0070640906
2007-09-23,0.008126033
2007-09-24,0.0070732045
2007-09-25,0.005746883
2007-09-26,0.0042982185
2007-09-27,0.0048352703
2007-09-28,0.0059713195
2007-09-29,0.006294736
2007-09-30,0.0059215114
2007-10-01,0.0062053245
2007-10-02,0.005930526
2007-10-03,0.007312716
2007-10-04,0.006680299
2007-10-05,0.0060500293
2007-10-06,0.0068914867
2007-10-07,0.0066559953
2007-10-08,0.0063240267
2007-10-09,0.0074151135
2007-10-10,0.007060016
2007-10-11,0.008596428
2007-10-12,0.008731153
2007-10-13,0.007985209
2007-10-14,0.0074334512
2007-10-15,0.0070812786
2007-10-16,0.0057852534
2007-10-17,0.004750153
2007-10-18,0.0045802766
2007-10-19,0.005730836
2007-10-20,0.0057352204
2007-10-21,0.0057432433
2007-10-22,0.005778671
2007-10-23,0.004988591
2007-10-24,0.004491879
2007-10-25,0.005140023
2007-10-26,0.0062006707
2007-10-27,0.0072116572
2007-10-28,0.0065431893
2007-10-29,0.004875395
2007-10-30,0.005822959
2007-10-31,0.00726552
2007-11-01,0.0083867945
2007-11-02,0.0080682365
2007-11-03,0.005664776
2007-11-04,0.005265477
2007-11-05,0.0054884464
2007-11-06,0.0048083365
2007-11-07,0.0058626044
2007-11-08,0.004716174
2007-11-09,0.0040761456
2007-11-10,0.0063503077
2007-11-11,0.004121278
2007-11-12,0.0032026044
2007-11-13,0.0049335486
2007-11-14,0.0048272433
2007-11-15,0.0044839024
2007-11-16,0.0049866647
2007-11-17,0.005548101
2007-11-18,0.0048874067
2007-11-19,0.005098944
2007-11-20,0.0052871616
2007-11-21,0.005717148
2007-11-22,0.0042281533
2007-11-23,0.002730633
2007-11-24,0.004432045
2007-11-25,0.004047926
2007-11-26,0.0041734357
2007-11-27,0.0056838444
2007-11-28,0.0059695556
2007-11-29,0.004452325
2007-11-30,0.005902127
2007-12-01,0.0045144213
2007-12-02,0.0045495625
2007-12-03,0.003921394
2007-12-04,0.0056350604
2007-12-05,0.0060574715
2007-12-06,0.0052051083
2007-12-07,0.004066197
2007-12-08,0.003997869
2007-12-09,0.004564028
2007-12-10,0.0033873138
2007-12-11,0.003653898
2007-12-12,0.004688081
2007-12-13,0.004554334
2007-12-14,0.0041899476
2007-12-15,0.0037013465
2007-12-16,0.0029051916
2007-12-17,0.002884035
2007-12-18,0.0036136375
2007-12-19,0.0030947772
2007-12-20,0.0031483946
2007-12-21,0.0027631817
2007-12-22,0.0033988024
2007-12-23,0.0040158047
2007-12-24,0.004863065
2007-12-25,0.003799335
2007-12-26,0.005057787
2007-12-27,0.005562259
2007-12-28,0.00590575
2007-12-29,0.004166435
2007-12-30,0.004221702
2007-12-31,0.0053428756
2008-01-01,0.005872429
2008-01-02,0.004321139
2008-01-03,0.0032989813
2008-01-04,0.0038767273
2008-01-05,0.0042670034
2008-01-06,0.004113839
2008-01-07,0.0037988618
2008-01-08,0.0041657374
2008-01-09,0.0036021944
2008-01-10,0.004190212
2008-01-11,0.0035814848
2008-01-12,0.0033993358
2008-01-13,0.005454282
2008-01-14,0.004849849
2008-01-15,0.0044824514
2008-01-16,0.0037772695
2008-01-17,0.004151579
2008-01-18,0.0052520162
2008-01-19,0.0041942666
2008-01-20,0.004704646
2008-01-21,0.0039995764
2008-01-22,0.0037947255
2008-01-23,0.006211298
2008-01-24,0.003791155
2008-01-25,0.005529561
2008-01-26,0.005299216
2008-01-27,0.005472515
2008-01-28,0.0054161404
2008-01-29,0.0052829655
2008-01-30,0.0038796403
2008-01-31,0.0038961065
2008-02-01,0.0033790795
2008-02-02,0.0034392448
2008-02-03,0.0043517873
2008-02-04,0.0040573287
2008-02-05,0.0045203497
2008-02-06,0.003761488
2008-02-07,0.0056330967
2008-02-08,0.0056706327
2008-02-09,0.0055674855
2008-02-10,0.0050032525
2008-02-11,0.0039400677
2008-02-12,0.003564669
2008-02-13,0.003520251
2008-02-14,0.004137766
2008-02-15,0.003554209
2008-02-16,0.0031188207
2008-02-17,0.0033935423
2008-02-18,0.0034366897
2008-02-19,0.0029116336
2008-02-20,0.0036294174
2008-02-21,0.0056733317
2008-02-22,0.0045995773
2008-02-23,0.0055792937
2008-02-24,0.0045258026
2008-02-25,0.004487729
2008-02-26,0.0045716157
2008-02-27,0.0039820215
2008-02-28,0.004422076
2008-02-29,0.0048474423
2008-03-01,0.004277335
2008-03-02,0.0042056125
2008-03-03,0.0032817288
2008-03-04,0.003120671
2008-03-05,0.00430062
2008-03-06,0.0056438283
2008-03-07,0.0044237077
2008-03-08,0.0049637347
2008-03-09,0.003951758
2008-03-10,0.004264669
2008-03-11,0.0042772973
2008-03-12,0.0038867767
2008-03-13,0.0041170754
2008-03-14,0.004188985
2008-03-15,0.00446667
2008-03-16,0.004236899
2008-03-17,0.0030982431
2008-03-18,0.0031610483
2008-03-19,0.0034671896
2008-03-20,0.004841139
2008-03-21,0.0031964844
2008-03-22,0.0029998615
2008-03-23,0.0032281552
2008-03-24,0.002761269
2008-03-25,0.0029859056
2008-03-26,0.00350476
2008-03-27,0.0041774707
2008-03-28,0.004489223
2008-03-29,0.0044536637
2008-03-30,0.004693308
2008-03-31,0.0044022873
2008-04-01,0.005113689
