summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2007-06-30,181.22531
2007-07-01,127.01105
2007-07-02,160.99117
2007-07-03,163.80502
2007-07-04,162.98868
2007-07-05,140.39537
2007-07-06,124.13133
2007-07-07,164.33832
2007-07-08,244.07047
2007-07-09,275.05643
2007-07-10,169.51761
2007-07-11,169.25563
2007-07-12,140.73502
2007-07-13,114.573074
2007-07-14,163.19289
2007-07-15,223.42963
2007-07-16,155.27046
2007-07-17,203.09802
2007-07-18,146.5544
2007-07-19,133.59158
2007-07-20,126.755615
2007-07-21,59.330853
2007-07-22,141.8249
2007-07-23,184.49016
2007-07-24,209.65796
2007-07-25,154.10579
2007-07-26,135.26013
2007-07-27,203.64699
2007-07-28,189.561
2007-07-29,232.36646
2007-07-30,214.14166
2007-07-31,217.96698
2007-08-01,133.28691
2007-08-02,167.47762
2007-08-03,116.37028
2007-08-04,192.39061
2007-08-05,112.02124
2007-08-06,131.95454
2007-08-07,158.4705
2007-08-08,266.36368
2007-08-09,236.35805
2007-08-10,146.84138
2007-08-11,101.857475
2007-08-12,125.16273
2007-08-13,170.42276
2007-08-14,100.05205
2007-08-15,162.51025
2007-08-16,143.12143
2007-08-17,156.4537
2007-08-18,48.786797
2007-08-19,48.329487
2007-08-20,132.21123
2007-08-21,87.468
2007-08-22,231.74313
2007-08-23,214.61087
2007-08-24,205.39026
2007-08-25,151.8854
2007-08-26,164.71722
2007-08-27,125.47322
2007-08-28,94.960526
2007-08-29,125.305374
2007-08-30,118.646576
2007-08-31,110.83446
2007-09-01,144.08203
2007-09-02,119.31586
2007-09-03,156.85733
2007-09-04,118.34399
2007-09-05,104.60316
2007-09-06,126.72676
2007-09-07,173.70773
2007-09-08,131.26428
2007-09-09,82.19303
2007-09-10,168.96219
2007-09-11,104.62282
2007-09-12,105.493195
2007-09-13,71.30137
2007-09-14,127.17274
2007-09-15,76.55763
2007-09-16,74.67158
2007-09-17,87.27349
2007-09-18,84.047554
2007-09-19,125.62586
2007-09-20,74.32511
2007-09-21,80.05713
2007-09-22,96.863434
2007-09-23,82.540596
2007-09-24,64.71729
2007-09-25,94.591385
2007-09-26,99.57562
2007-09-27,52.934944
2007-09-28,53.204544
2007-09-29,66.17626
2007-09-30,82.52079
2007-10-01,117.73721
2007-10-02,110.90811
2007-10-03,48.454353
2007-10-04,73.25595
2007-10-05,106.5487
2007-10-06,82.89119
2007-10-07,68.51464
2007-10-08,56.059723
2007-10-09,44.705322
2007-10-10,81.22533
2007-10-11,66.56008
2007-10-12,56.492466
2007-10-13,45.550674
2007-10-14,46.766483
2007-10-15,42.35326
2007-10-16,71.14412
2007-10-17,77.13645
2007-10-18,53.86834
2007-10-19,45.0639
2007-10-20,58.472656
2007-10-21,41.693913
2007-10-22,36.926414
2007-10-23,73.74026
2007-10-24,60.6233
2007-10-25,41.026623
2007-10-26,16.220407
2007-10-27,30.968422
2007-10-28,54.8215
2007-10-29,56.049187
2007-10-30,37.60195
2007-10-31,32.202084
2007-11-01,14.172664
2007-11-02,37.97946
2007-11-03,30.614546
2007-11-04,31.082212
2007-11-05,34.391792
2007-11-06,39.035316
2007-11-07,33.86019
2007-11-08,37.950706
2007-11-09,34.071354
2007-11-10,21.287003
2007-11-11,32.474117
2007-11-12,34.17786
2007-11-13,24.229006
2007-11-14,25.757929
2007-11-15,26.656008
2007-11-16,26.621063
2007-11-17,20.798018
2007-11-18,17.370283
2007-11-19,9.48065
2007-11-20,16.764307
2007-11-21,9.096145
2007-11-22,18.182943
2007-11-23,28.201662
2007-11-24,20.41337
2007-11-25,15.69325
2007-11-26,8.252719
2007-11-27,14.655681
2007-11-28,14.245378
2007-11-29,22.57782
2007-11-30,14.339938
2007-12-01,16.033245
2007-12-02,15.038658
2007-12-03,19.151237
2007-12-04,13.150953
2007-12-05,16.856625
2007-12-06,12.658852
2007-12-07,15.205742
2007-12-08,6.894413
2007-12-09,13.673135
2007-12-10,19.564598
2007-12-11,17.79261
2007-12-12,12.871707
2007-12-13,15.332394
2007-12-14,13.070719
2007-12-15,15.437803
2007-12-16,15.059994
2007-12-17,17.83041
2007-12-18,15.260807
2007-12-19,18.221554
2007-12-20,15.978544
2007-12-21,16.311764
2007-12-22,12.313191
2007-12-23,16.447906
2007-12-24,12.709826
2007-12-25,16.527063
2007-12-26,12.112059
2007-12-27,11.808518
2007-12-28,13.880154
2007-12-29,14.747428
2007-12-30,15.810745
2007-12-31,6.770699
2008-01-01,6.8381367
2008-01-02,6.911782
2008-01-03,14.354984
2008-01-04,13.20178
2008-01-05,15.502926
2008-01-06,19.101606
2008-01-07,17.892427
2008-01-08,7.485914
2008-01-09,18.819805
2008-01-10,14.620986
2008-01-11,19.775927
2008-01-12,19.661724
2008-01-13,14.606472
2008-01-14,16.737083
2008-01-15,8.450233
2008-01-16,23.479551
2008-01-17,16.02539
2008-01-18,16.06339
2008-01-19,21.527258
2008-01-20,19.252983
2008-01-21,9.538417
2008-01-22,9.743786
2008-01-23,19.657372
2008-01-24,25.930185
2008-01-25,19.625666
2008-01-26,19.211813
2008-01-27,24.905012
2008-01-28,24.819618
2008-01-29,11.376043
2008-01-30,32.5627
2008-01-31,29.232687
2008-02-01,22.809748
2008-02-02,32.130875
2008-02-03,23.27029
2008-02-04,33.67315
