summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Wind Speed (m s-1)
2010-06-30,2.2699327
2010-07-01,4.4301023
2010-07-02,5.6202745
2010-07-03,5.5056095
2010-07-04,7.422972
2010-07-05,5.2564416
2010-07-06,4.497683
2010-07-07,6.4523554
2010-07-08,5.440783
2010-07-09,3.8109784
2010-07-10,3.044518
2010-07-11,5.53131
2010-07-12,1.90074
2010-07-13,3.2612214
2010-07-14,4.8106503
2010-07-15,3.9528842
2010-07-16,6.241771
2010-07-17,5.2082186
2010-07-18,4.745291
2010-07-19,3.656663
2010-07-20,2.2442188
2010-07-21,2.8607202
2010-07-22,3.4761462
2010-07-23,2.0297835
2010-07-24,2.6037092
2010-07-25,3.39252
2010-07-26,2.621261
2010-07-27,3.503412
2010-07-28,3.369815
2010-07-29,3.2512062
2010-07-30,2.9243395
2010-07-31,3.8459978
2010-08-01,3.0388536
2010-08-02,2.1069934
2010-08-03,3.4880168
2010-08-04,3.0478272
2010-08-05,3.180921
2010-08-06,2.9664717
2010-08-07,2.4839382
2010-08-08,2.3356588
2010-08-09,3.205196
2010-08-10,2.6988466
2010-08-11,3.9332907
2010-08-12,3.7841444
2010-08-13,4.185088
2010-08-14,2.7797244
2010-08-15,2.016056
2010-08-16,1.7258141
2010-08-17,2.9440117
2010-08-18,2.7678142
2010-08-19,3.3316655
2010-08-20,5.0669937
2010-08-21,5.8110824
2010-08-22,4.118645
2010-08-23,2.287549
2010-08-24,4.266758
2010-08-25,2.360482
2010-08-26,2.240481
2010-08-27,2.23053
2010-08-28,4.2471876
2010-08-29,6.115978
2010-08-30,2.4660776
2010-08-31,1.6574992
2010-09-01,1.0844643
2010-09-02,2.1770513
2010-09-03,1.8021473
2010-09-04,2.8660939
2010-09-05,5.093331
2010-09-06,7.751901
2010-09-07,6.3911643
2010-09-08,3.0182805
2010-09-09,2.4605396
2010-09-10,3.717654
2010-09-11,3.1655817
2010-09-12,3.9370863
2010-09-13,6.576236
2010-09-14,7.024063
2010-09-15,7.242493
2010-09-16,5.3944902
2010-09-17,4.4893913
2010-09-18,3.3059437
2010-09-19,2.4905746
2010-09-20,3.4899905
2010-09-21,2.6624217
2010-09-22,3.3832896
2010-09-23,3.7409542
2010-09-24,5.5902066
2010-09-25,3.6995094
2010-09-26,2.5890028
2010-09-27,2.3660183
2010-09-28,3.1464882
2010-09-29,3.4205394
2010-09-30,2.098086
2010-10-01,5.5018344
2010-10-02,4.023365
2010-10-03,2.975038
2010-10-04,4.898073
2010-10-05,5.6023936
2010-10-06,4.5799394
2010-10-07,3.100031
2010-10-08,4.635324
2010-10-09,5.0520577
2010-10-10,4.444417
2010-10-11,1.7701069
2010-10-12,1.2777313
2010-10-13,1.2962983
2010-10-14,1.9921147
2010-10-15,3.4128299
2010-10-16,1.950406
2010-10-17,3.7969193
2010-10-18,5.526413
2010-10-19,3.6699796
2010-10-20,3.9419615
2010-10-21,5.1856885
2010-10-22,3.725367
2010-10-23,3.6850538
2010-10-24,2.8755085
2010-10-25,2.8812964
2010-10-26,5.299515
2010-10-27,7.2891088
2010-10-28,5.2047496
2010-10-29,8.313013
2010-10-30,4.582861
2010-10-31,1.8609041
2010-11-01,3.8228295
2010-11-02,6.7235265
2010-11-03,5.3870077
2010-11-04,4.006231
2010-11-05,3.888408
2010-11-06,1.7646933
2010-11-07,3.804424
2010-11-08,9.177239
2010-11-09,6.0527887
2010-11-10,2.728906
2010-11-11,8.117331
2010-11-12,8.116082
2010-11-13,4.0262256
2010-11-14,2.3818111
2010-11-15,2.097773
2010-11-16,2.6111176
2010-11-17,7.4282074
2010-11-18,6.490451
2010-11-19,2.275577
2010-11-20,2.931898
2010-11-21,3.0010514
2010-11-22,2.684541
2010-11-23,2.7952757
2010-11-24,3.0525448
2010-11-25,4.026229
2010-11-26,2.3960187
2010-11-27,2.9141808
2010-11-28,4.22878
2010-11-29,3.8594496
2010-11-30,4.0432973
2010-12-01,3.6487935
2010-12-02,2.6714017
2010-12-03,2.5853891
2010-12-04,2.0972726
2010-12-05,2.3110697
2010-12-06,2.0146837
2010-12-07,1.6260542
2010-12-08,2.4173334
2010-12-09,3.6704423
2010-12-10,5.228904
2010-12-11,4.408341
2010-12-12,1.791416
2010-12-13,1.7649261
2010-12-14,2.280579
2010-12-15,3.0978398
2010-12-16,4.981496
2010-12-17,3.2347813
2010-12-18,2.154689
2010-12-19,1.6808506
2010-12-20,1.7742705
2010-12-21,1.2100712
2010-12-22,1.6314659
2010-12-23,2.2467303
2010-12-24,2.2707946
2010-12-25,2.0404432
2010-12-26,2.316017
2010-12-27,3.07561
2010-12-28,2.2198193
2010-12-29,1.3646327
2010-12-30,1.1643902
2010-12-31,2.2690742
2011-01-01,3.0810483
2011-01-02,1.9804187
2011-01-03,3.659509
2011-01-04,5.515093
2011-01-05,3.5643966
2011-01-06,3.3291342
2011-01-07,2.1610646
2011-01-08,3.2766266
2011-01-09,3.9829764
2011-01-10,3.8626907
2011-01-11,3.3353102
2011-01-12,2.9002402
2011-01-13,2.5475156
2011-01-14,4.59546
2011-01-15,7.7654886
2011-01-16,7.607789
2011-01-17,3.9478567
2011-01-18,3.2210732
2011-01-19,2.6259725
2011-01-20,1.3842797
2011-01-21,1.6808226
2011-01-22,1.6780437
2011-01-23,2.5832722
2011-01-24,4.4396305
2011-01-25,3.428798
2011-01-26,3.8580053
2011-01-27,1.6081206
2011-01-28,1.3881835
2011-01-29,1.2565407
2011-01-30,2.7500334
2011-01-31,5.369454
2011-02-01,5.389793
2011-02-02,7.300593
2011-02-03,9.358518
2011-02-04,8.51695
2011-02-05,4.650881
2011-02-06,2.058691
2011-02-07,5.6335106
2011-02-08,3.416418
2011-02-09,3.9695408
2011-02-10,2.1667054
2011-02-11,2.734644
2011-02-12,2.9713693
2011-02-13,4.3053513
2011-02-14,2.849898
2011-02-15,4.4092755
2011-02-16,3.1508608
2011-02-17,1.6793507
2011-02-18,4.458521
2011-02-19,4.8853655
2011-02-20,4.0949926
2011-02-21,3.5517268
2011-02-22,2.1519783
2011-02-23,4.005187
2011-02-24,5.000488
2011-02-25,6.071996
2011-02-26,3.097606
2011-02-27,3.5793462
2011-02-28,1.7654346
2011-03-01,1.6047584
2011-03-02,2.717156
2011-03-03,1.3542467
2011-03-04,1.7019583
2011-03-05,2.2144117
2011-03-06,2.6825485
2011-03-07,3.6181448
2011-03-08,6.254822
2011-03-09,7.043694
2011-03-10,8.324775
2011-03-11,5.7154016
2011-03-12,2.9230359
2011-03-13,2.947644
2011-03-14,3.0012536
2011-03-15,2.0812278
2011-03-16,1.4389267
2011-03-17,2.8828201
2011-03-18,3.288507
2011-03-19,3.3356118
2011-03-20,4.697696
2011-03-21,5.3356395
2011-03-22,3.5156245
2011-03-23,2.2926912
2011-03-24,1.6620582
2011-03-25,1.8859633
2011-03-26,2.7272246
2011-03-27,2.5392303
2011-03-28,1.9063852
2011-03-29,1.7719529
2011-03-30,2.9112875
2011-03-31,6.409644
2011-04-01,7.240649
2011-04-02,6.3848166
2011-04-03,4.7896295
2011-04-04,6.5863376
2011-04-05,8.400665
2011-04-06,8.026719
2011-04-07,5.1608367
2011-04-08,3.9575403
2011-04-09,2.3290484
2011-04-10,2.8752532
2011-04-11,4.430477
2011-04-12,5.0540104
2011-04-13,4.586863
2011-04-14,3.0463452
2011-04-15,2.6315315
2011-04-16,3.347304
2011-04-17,2.399288
2011-04-18,1.6097794
2011-04-19,1.6910561
2011-04-20,1.7582484
2011-04-21,2.3891551
2011-04-22,3.0302303
2011-04-23,2.2612996
2011-04-24,2.3113482
2011-04-25,2.4364445
2011-04-26,2.981731
2011-04-27,2.0915198
2011-04-28,2.4223278
2011-04-29,4.645626
2011-04-30,5.5848093
2011-05-01,4.6004295
2011-05-02,4.1170406
2011-05-03,3.0721805
2011-05-04,3.1891193
2011-05-05,2.8547018
2011-05-06,3.4927409
2011-05-07,3.7350516
2011-05-08,4.1493917
2011-05-09,4.547217
2011-05-10,5.661793
2011-05-11,4.7847238
2011-05-12,5.8581705
2011-05-13,4.626664
2011-05-14,5.6224236
2011-05-15,4.867175
2011-05-16,6.549841
2011-05-17,4.386337
2011-05-18,7.1083326
2011-05-19,5.1153607
2011-05-20,5.9257455
2011-05-21,6.356575
2011-05-22,6.5330567
2011-05-23,10.073223
2011-05-24,7.7934895
2011-05-25,4.233643
2011-05-26,3.7106092
2011-05-27,5.4362574
2011-05-28,6.3414316
2011-05-29,6.70914
2011-05-30,3.099042
2011-05-31,3.7354667
2011-06-01,6.630235
2011-06-02,3.5329053
2011-06-03,2.3748746
2011-06-04,4.1437354
2011-06-05,3.6341636
2011-06-06,2.6936092
2011-06-07,3.501545
2011-06-08,2.8654082
2011-06-09,4.2646537
2011-06-10,1.8160152
2011-06-11,2.3390465
2011-06-12,3.4676197
2011-06-13,4.81069
2011-06-14,3.1524346
2011-06-15,2.9892137
2011-06-16,3.2077296
2011-06-17,3.4626834
2011-06-18,3.1841898
2011-06-19,3.0824397
2011-06-20,2.2674623
2011-06-21,3.645092
2011-06-22,3.2805023
2011-06-23,2.7795975
2011-06-24,3.250387
2011-06-25,3.4773893
2011-06-26,3.9738033
2011-06-27,2.4082725
2011-06-28,2.674092
2011-06-29,3.0488026
2011-06-30,3.2374744
