summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2004-06-30,287.00653
2004-07-01,285.72803
2004-07-02,285.67255
2004-07-03,286.29547
2004-07-04,285.8746
2004-07-05,285.89542
2004-07-06,286.23154
2004-07-07,286.14426
2004-07-08,284.70404
2004-07-09,285.23294
2004-07-10,285.448
2004-07-11,286.30948
2004-07-12,286.67218
2004-07-13,286.193
2004-07-14,288.0253
2004-07-15,286.68903
2004-07-16,287.20844
2004-07-17,286.73166
2004-07-18,286.5974
2004-07-19,287.17133
2004-07-20,287.98953
2004-07-21,289.41302
2004-07-22,288.7338
2004-07-23,287.42215
2004-07-24,286.0116
2004-07-25,287.42358
2004-07-26,286.96762
2004-07-27,289.15344
2004-07-28,289.88422
2004-07-29,290.36792
2004-07-30,289.10608
2004-07-31,289.25366
2004-08-01,290.04922
2004-08-02,291.39554
2004-08-03,290.71768
2004-08-04,289.78384
2004-08-05,290.7218
2004-08-06,290.4329
2004-08-07,290.52582
2004-08-08,293.2883
2004-08-09,291.21332
2004-08-10,291.01367
2004-08-11,290.6395
2004-08-12,290.78317
2004-08-13,290.63412
2004-08-14,289.21918
2004-08-15,290.11685
2004-08-16,288.69452
2004-08-17,288.665
2004-08-18,289.12558
2004-08-19,288.4154
2004-08-20,286.6606
2004-08-21,284.79443
2004-08-22,285.54694
2004-08-23,287.85007
2004-08-24,288.3439
2004-08-25,288.34424
2004-08-26,286.1804
2004-08-27,287.16983
2004-08-28,286.2976
2004-08-29,286.50958
2004-08-30,286.91605
2004-08-31,285.25247
2004-09-01,286.72015
2004-09-02,287.6009
2004-09-03,288.6941
2004-09-04,290.6519
2004-09-05,289.40747
2004-09-06,287.83197
2004-09-07,287.35626
2004-09-08,287.1641
2004-09-09,287.21017
2004-09-10,287.675
