summary,Climate Hydrology Ecology Support System subset,,,
originalResource,"{""url"":""https://eip.ceh.ac.uk/apps/chess/""","title:""EIP | CHESS""}",,
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,,
location,"{""type"":""point""",x:241843.56108712236,y:666182.5804098262,"spatialReference:{""wkid"":27700}}"
DATES,Near-Surface Air Temperature (K),,,
30/06/2006,288.52155,,,
01/07/2006,289.83185,,,
02/07/2006,290.24255,,,
03/07/2006,289.67682,,,
04/07/2006,290.76276,,,
05/07/2006,291.48325,,,
06/07/2006,290.51236,,,
07/07/2006,288.05923,,,
08/07/2006,285.9018,,,
09/07/2006,287.8335,,,
10/07/2006,287.22302,,,
11/07/2006,287.29837,,,
12/07/2006,287.45236,,,
13/07/2006,286.3092,,,
14/07/2006,287.5734,,,
15/07/2006,289.59576,,,
16/07/2006,290.10025,,,
17/07/2006,291.93167,,,
18/07/2006,294.03256,,,
19/07/2006,294.8845,,,
20/07/2006,291.5658,,,
21/07/2006,290.91248,,,
22/07/2006,291.3261,,,
23/07/2006,290.759,,,
24/07/2006,290.65247,,,
25/07/2006,293.3737,,,
26/07/2006,292.29468,,,
27/07/2006,291.16644,,,
28/07/2006,290.42508,,,
29/07/2006,291.10205,,,
30/07/2006,289.82602,,,
31/07/2006,287.9827,,,
01/08/2006,287.34583,,,
02/08/2006,287.70917,,,
03/08/2006,287.98123,,,
04/08/2006,288.11053,,,
05/08/2006,291.99667,,,
06/08/2006,290.1712,,,
07/08/2006,287.19678,,,
08/08/2006,285.87073,,,
09/08/2006,286.641,,,
10/08/2006,286.74588,,,
11/08/2006,286.98016,,,
12/08/2006,287.02502,,,
13/08/2006,286.9863,,,
14/08/2006,287.7733,,,
15/08/2006,286.13745,,,
16/08/2006,286.64157,,,
17/08/2006,288.1368,,,
18/08/2006,288.9381,,,
19/08/2006,289.2031,,,
20/08/2006,288.40216,,,
21/08/2006,287.9784,,,
22/08/2006,287.5962,,,
23/08/2006,288.4848,,,
24/08/2006,286.4607,,,
25/08/2006,285.88947,,,
26/08/2006,287.39233,,,
