summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2010-06-30,289.26608
2010-07-01,289.86813
2010-07-02,289.69553
2010-07-03,287.91183
2010-07-04,287.61835
2010-07-05,286.71924
2010-07-06,286.27435
2010-07-07,288.2805
2010-07-08,287.51556
2010-07-09,286.91602
2010-07-10,286.92355
2010-07-11,287.48923
2010-07-12,286.99295
2010-07-13,287.20404
2010-07-14,286.6303
2010-07-15,287.49634
2010-07-16,286.3984
2010-07-17,286.64075
2010-07-18,288.58215
2010-07-19,288.56223
2010-07-20,288.817
2010-07-21,287.2772
2010-07-22,286.1661
2010-07-23,286.76062
2010-07-24,287.54025
2010-07-25,288.14685
2010-07-26,288.69232
2010-07-27,288.23175
2010-07-28,287.78116
2010-07-29,287.50085
2010-07-30,286.7754
2010-07-31,287.38297
2010-08-01,287.5252
2010-08-02,287.10092
2010-08-03,287.40274
2010-08-04,287.015
2010-08-05,287.0539
2010-08-06,287.15686
2010-08-07,288.78128
2010-08-08,287.70502
2010-08-09,287.53323
2010-08-10,286.07205
2010-08-11,286.73965
2010-08-12,287.6118
2010-08-13,287.72748
2010-08-14,287.34558
2010-08-15,287.74017
2010-08-16,287.1056
2010-08-17,287.8647
2010-08-18,286.34988
2010-08-19,287.00824
2010-08-20,289.54013
2010-08-21,288.33557
2010-08-22,287.34543
2010-08-23,286.1654
2010-08-24,285.55017
2010-08-25,285.95544
2010-08-26,285.2294
2010-08-27,285.10538
2010-08-28,286.18268
2010-08-29,285.32306
2010-08-30,283.92776
2010-08-31,283.77136
2010-09-01,285.41534
2010-09-02,287.7655
2010-09-03,287.86908
2010-09-04,288.6752
2010-09-05,289.1618
2010-09-06,288.76434
2010-09-07,287.49966
2010-09-08,288.036
2010-09-09,287.36267
2010-09-10,287.9047
2010-09-11,286.97443
2010-09-12,286.59143
2010-09-13,288.3293
2010-09-14,285.5077
2010-09-15,285.4972
2010-09-16,284.5282
2010-09-17,283.61542
2010-09-18,284.476
2010-09-19,285.77365
2010-09-20,286.86862
2010-09-21,287.76855
2010-09-22,287.82605
2010-09-23,285.61124
2010-09-24,282.0211
2010-09-25,280.2663
2010-09-26,280.04898
2010-09-27,282.3565
2010-09-28,286.3057
2010-09-29,285.23038
2010-09-30,283.72543
2010-10-01,285.08643
2010-10-02,284.67114
2010-10-03,285.2175
2010-10-04,285.33554
2010-10-05,285.62558
2010-10-06,284.609
2010-10-07,285.54367
2010-10-08,287.15198
2010-10-09,286.19467
2010-10-10,284.70435
2010-10-11,281.63028
2010-10-12,280.10663
2010-10-13,281.60825
2010-10-14,283.04684
2010-10-15,283.39014
2010-10-16,280.92282
2010-10-17,282.41034
2010-10-18,283.3576
2010-10-19,279.81915
2010-10-20,277.3448
2010-10-21,281.53973
2010-10-22,281.54544
2010-10-23,278.88568
2010-10-24,276.68478
2010-10-25,277.88406
2010-10-26,285.34613
2010-10-27,284.09363
2010-10-28,283.46613
2010-10-29,285.04446
2010-10-30,281.75372
2010-10-31,280.1544
2010-11-01,280.06363
2010-11-02,283.1077
2010-11-03,281.3573
2010-11-04,282.9719
2010-11-05,281.8206
2010-11-06,277.33112
2010-11-07,277.1668
2010-11-08,278.53647
2010-11-09,278.0103
2010-11-10,275.83563
2010-11-11,280.7859
2010-11-12,281.10385
2010-11-13,278.4293
2010-11-14,276.16537
2010-11-15,275.5426
2010-11-16,278.07474
2010-11-17,279.93735
2010-11-18,280.30746
2010-11-19,279.52167
2010-11-20,277.77222
2010-11-21,276.55804
2010-11-22,277.96112
2010-11-23,276.1842
2010-11-24,274.7476
2010-11-25,274.47156
2010-11-26,273.9465
2010-11-27,271.13422
2010-11-28,271.87686
2010-11-29,272.5586
2010-11-30,271.16385
2010-12-01,268.9933
2010-12-02,268.2798
2010-12-03,271.47815
2010-12-04,274.78174
2010-12-05,272.02145
2010-12-06,272.02597
2010-12-07,266.22025
2010-12-08,268.35223
2010-12-09,277.1515
2010-12-10,280.7263
2010-12-11,279.92618
2010-12-12,273.29575
2010-12-13,271.8044
2010-12-14,274.27792
2010-12-15,276.7939
2010-12-16,275.37506
2010-12-17,271.14822
2010-12-18,268.85928
2010-12-19,268.39078
2010-12-20,267.43936
2010-12-21,265.61032
2010-12-22,266.0722
2010-12-23,267.3706
2010-12-24,268.2616
2010-12-25,272.29178
2010-12-26,273.99466
2010-12-27,276.3989
2010-12-28,276.999
2010-12-29,278.37323
2010-12-30,278.35986
2010-12-31,279.18103
2011-01-01,276.79977
2011-01-02,274.225
2011-01-03,275.68158
2011-01-04,278.01248
2011-01-05,275.60028
2011-01-06,274.18936
2011-01-07,270.873
2011-01-08,273.23398
2011-01-09,274.84705
2011-01-10,276.86847
2011-01-11,275.0229
2011-01-12,278.16907
2011-01-13,280.26096
2011-01-14,280.17105
2011-01-15,282.65283
2011-01-16,281.8033
2011-01-17,278.09882
2011-01-18,276.84714
2011-01-19,276.6962
2011-01-20,272.05923
2011-01-21,274.45923
2011-01-22,274.89615
2011-01-23,277.3288
2011-01-24,279.64667
2011-01-25,280.45224
2011-01-26,277.11157
2011-01-27,275.19693
2011-01-28,274.5552
2011-01-29,274.43594
2011-01-30,275.47223
2011-01-31,279.32162
2011-02-01,279.781
2011-02-02,280.335
2011-02-03,277.7903
2011-02-04,280.15967
2011-02-05,279.1209
2011-02-06,277.99545
2011-02-07,277.59467
2011-02-08,276.82745
2011-02-09,279.6111
2011-02-10,277.30188
2011-02-11,277.20126
2011-02-12,278.1788
2011-02-13,278.29755
2011-02-14,276.45538
2011-02-15,276.43564
2011-02-16,278.48563
2011-02-17,276.8715
2011-02-18,278.1333
2011-02-19,277.34518
2011-02-20,277.58414
2011-02-21,276.7391
2011-02-22,278.5641
2011-02-23,281.96545
2011-02-24,282.93326
2011-02-25,282.94943
2011-02-26,279.49097
2011-02-27,278.31323
2011-02-28,276.39392
2011-03-01,278.5939
2011-03-02,277.66095
2011-03-03,278.41898
2011-03-04,279.93298
2011-03-05,279.43442
2011-03-06,277.45932
2011-03-07,278.18747
2011-03-08,279.18906
2011-03-09,277.40765
2011-03-10,278.62714
2011-03-11,276.54242
2011-03-12,276.03207
2011-03-13,276.50076
2011-03-14,277.35776
2011-03-15,276.10712
2011-03-16,276.09238
2011-03-17,277.72565
2011-03-18,276.6592
2011-03-19,278.4129
2011-03-20,281.1323
2011-03-21,282.96927
2011-03-22,282.6538
2011-03-23,282.09116
2011-03-24,280.925
2011-03-25,279.45184
2011-03-26,279.91824
2011-03-27,279.4523
2011-03-28,278.70056
2011-03-29,280.47455
2011-03-30,281.3962
2011-03-31,282.3339
2011-04-01,284.2594
2011-04-02,282.4881
2011-04-03,280.88684
2011-04-04,281.63385
2011-04-05,284.86053
2011-04-06,285.3392
2011-04-07,282.41162
2011-04-08,283.0435
2011-04-09,285.4707
2011-04-10,286.86252
2011-04-11,282.7191
2011-04-12,280.76166
2011-04-13,281.31628
2011-04-14,283.25018
2011-04-15,283.01437
2011-04-16,282.41
2011-04-17,283.1046
2011-04-18,284.0168
2011-04-19,284.96564
2011-04-20,284.6474
2011-04-21,286.0742
2011-04-22,286.98947
2011-04-23,283.68823
2011-04-24,282.23203
2011-04-25,282.55875
2011-04-26,281.93277
2011-04-27,282.4429
2011-04-28,283.63885
2011-04-29,284.5618
2011-04-30,286.26376
2011-05-01,285.3329
2011-05-02,283.22745
2011-05-03,281.77432
2011-05-04,282.6166
2011-05-05,283.75827
2011-05-06,286.46326
2011-05-07,287.92465
2011-05-08,286.40146
2011-05-09,285.7472
2011-05-10,285.19174
2011-05-11,284.1767
2011-05-12,283.5207
2011-05-13,282.2545
2011-05-14,282.66968
2011-05-15,283.52194
2011-05-16,284.8479
2011-05-17,284.64572
2011-05-18,283.58926
2011-05-19,283.16904
2011-05-20,282.69165
2011-05-21,283.86157
2011-05-22,282.98978
2011-05-23,282.94318
2011-05-24,282.09827
2011-05-25,282.89117
2011-05-26,283.2776
2011-05-27,283.02213
2011-05-28,282.966
2011-05-29,283.57065
2011-05-30,282.71945
2011-05-31,283.06116
2011-06-01,286.12628
2011-06-02,287.9331
2011-06-03,289.9211
2011-06-04,285.48938
2011-06-05,283.46417
2011-06-06,283.41647
2011-06-07,283.513
2011-06-08,283.2932
2011-06-09,282.72333
2011-06-10,282.7372
2011-06-11,282.5278
2011-06-12,283.74634
2011-06-13,284.7174
2011-06-14,286.05725
2011-06-15,286.697
2011-06-16,285.01703
2011-06-17,284.39642
2011-06-18,285.07742
2011-06-19,285.75446
2011-06-20,285.86316
2011-06-21,285.2368
2011-06-22,285.18405
2011-06-23,284.8988
2011-06-24,284.37268
2011-06-25,286.76642
2011-06-26,288.4707
2011-06-27,286.4608
2011-06-28,285.34537
2011-06-29,284.79993
2011-06-30,285.29486
