summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
1999-06-30,285.72986
1999-07-01,287.1792
1999-07-02,287.30515
1999-07-03,288.37946
1999-07-04,288.4358
1999-07-05,288.70624
1999-07-06,288.36615
1999-07-07,288.80823
1999-07-08,291.77692
1999-07-09,293.05243
1999-07-10,290.9258
1999-07-11,290.9657
1999-07-12,290.1156
1999-07-13,287.09116
1999-07-14,286.06
1999-07-15,286.15884
1999-07-16,287.5489
1999-07-17,287.46515
1999-07-18,286.9673
1999-07-19,288.6449
1999-07-20,288.27634
1999-07-21,286.01346
1999-07-22,286.4056
1999-07-23,288.71277
1999-07-24,288.04153
1999-07-25,286.1663
1999-07-26,287.2826
1999-07-27,287.75705
1999-07-28,287.8547
1999-07-29,288.12024
1999-07-30,290.2984
1999-07-31,291.75198
1999-08-01,291.65198
1999-08-02,292.32758
1999-08-03,292.4779
1999-08-04,291.97116
1999-08-05,290.32108
1999-08-06,290.41815
1999-08-07,287.83557
1999-08-08,286.50076
1999-08-09,285.48444
1999-08-10,284.55966
1999-08-11,285.1095
1999-08-12,285.86057
1999-08-13,288.22647
1999-08-14,286.4304
1999-08-15,286.20523
1999-08-16,285.6912
1999-08-17,285.6669
1999-08-18,286.8247
1999-08-19,286.4708
1999-08-20,284.67133
1999-08-21,283.82248
1999-08-22,284.5317
1999-08-23,285.60513
1999-08-24,286.33136
1999-08-25,287.1718
1999-08-26,288.92236
1999-08-27,288.15094
1999-08-28,287.48947
1999-08-29,286.56387
1999-08-30,287.10605
1999-08-31,288.55832
1999-09-01,290.31342
1999-09-02,290.98672
1999-09-03,290.09473
1999-09-04,290.00464
1999-09-05,291.74268
1999-09-06,288.9772
1999-09-07,285.872
1999-09-08,286.571
1999-09-09,286.10846
1999-09-10,288.19122
1999-09-11,287.8155
1999-09-12,284.73184
1999-09-13,285.06766
1999-09-14,284.28137
1999-09-15,285.8049
1999-09-16,286.08487
1999-09-17,284.75937
1999-09-18,287.19046
1999-09-19,288.99646
1999-09-20,289.03217
1999-09-21,288.51047
1999-09-22,287.16992
1999-09-23,287.8194
1999-09-24,287.20386
1999-09-25,285.96823
1999-09-26,284.2436
1999-09-27,284.69904
1999-09-28,284.3547
1999-09-29,285.2578
1999-09-30,283.73068
1999-10-01,281.99496
1999-10-02,281.60657
1999-10-03,282.5397
1999-10-04,280.98648
1999-10-05,279.05402
1999-10-06,281.5815
1999-10-07,284.0385
1999-10-08,284.2476
1999-10-09,286.4919
1999-10-10,285.96948
1999-10-11,282.70917
1999-10-12,282.67456
1999-10-13,284.46896
1999-10-14,284.08582
1999-10-15,284.3066
1999-10-16,283.66833
1999-10-17,283.5623
1999-10-18,281.18066
1999-10-19,281.80722
1999-10-20,281.88028
1999-10-21,282.10684
1999-10-22,284.929
1999-10-23,285.08737
1999-10-24,284.1582
1999-10-25,284.84222
1999-10-26,283.98602
1999-10-27,284.6413
1999-10-28,282.30026
1999-10-29,283.3037
1999-10-30,286.76352
1999-10-31,283.9755
1999-11-01,283.5461
1999-11-02,281.34686
1999-11-03,285.2511
1999-11-04,284.58774
1999-11-05,281.17316
1999-11-06,279.75122
1999-11-07,282.2812
1999-11-08,282.88165
1999-11-09,278.96262
1999-11-10,278.27664
1999-11-11,279.76883
1999-11-12,280.23172
1999-11-13,280.55377
1999-11-14,280.9003
1999-11-15,280.0503
1999-11-16,277.7168
1999-11-17,276.7476
1999-11-18,276.53107
1999-11-19,276.37424
1999-11-20,275.88803
1999-11-21,278.7108
1999-11-22,280.58792
1999-11-23,283.5819
1999-11-24,282.24832
1999-11-25,282.38135
1999-11-26,281.94577
1999-11-27,280.25485
1999-11-28,282.08087
1999-11-29,277.36298
1999-11-30,283.0948
1999-12-01,279.23492
1999-12-02,277.77002
1999-12-03,276.49908
1999-12-04,275.47147
1999-12-05,276.64807
1999-12-06,282.89725
1999-12-07,278.5336
1999-12-08,279.6194
1999-12-09,278.8515
1999-12-10,276.42795
1999-12-11,276.4271
1999-12-12,276.05966
1999-12-13,274.12872
1999-12-14,274.59744
1999-12-15,276.28485
1999-12-16,279.025
1999-12-17,278.22647
1999-12-18,272.6004
1999-12-19,271.62534
1999-12-20,271.6383
1999-12-21,277.77985
1999-12-22,280.19318
1999-12-23,279.66803
1999-12-24,279.60123
1999-12-25,276.94257
1999-12-26,276.32156
1999-12-27,276.01398
1999-12-28,275.63956
1999-12-29,276.52957
1999-12-30,278.57037
1999-12-31,279.6538
2000-01-01,279.50565
2000-01-02,280.74573
2000-01-03,279.3389
2000-01-04,277.67526
2000-01-05,280.85883
2000-01-06,279.14575
2000-01-07,281.2374
2000-01-08,278.07184
2000-01-09,276.43173
2000-01-10,279.92868
2000-01-11,279.62555
2000-01-12,277.30228
2000-01-13,275.18848
2000-01-14,275.41495
2000-01-15,274.90176
2000-01-16,278.81396
2000-01-17,279.61597
2000-01-18,279.6499
2000-01-19,278.0229
2000-01-20,278.67538
2000-01-21,278.34525
2000-01-22,278.47397
2000-01-23,276.1145
2000-01-24,277.0937
2000-01-25,275.16788
2000-01-26,277.43924
2000-01-27,279.04593
2000-01-28,280.5028
2000-01-29,280.23508
2000-01-30,280.47366
2000-01-31,280.48474
2000-02-01,280.83054
2000-02-02,279.19397
2000-02-03,280.00394
2000-02-04,283.74005
2000-02-05,282.39597
2000-02-06,280.80685
2000-02-07,279.6071
2000-02-08,278.62335
2000-02-09,279.98325
2000-02-10,278.42087
2000-02-11,280.15875
2000-02-12,276.0628
2000-02-13,277.02338
2000-02-14,278.05057
2000-02-15,276.58145
2000-02-16,274.19437
2000-02-17,276.38098
2000-02-18,277.91153
2000-02-19,276.20728
2000-02-20,276.23117
2000-02-21,277.89716
2000-02-22,277.20416
2000-02-23,280.5831
2000-02-24,276.95016
2000-02-25,278.5282
2000-02-26,280.14343
2000-02-27,279.90262
2000-02-28,277.49478
2000-02-29,277.54364
2000-03-01,276.94324
2000-03-02,278.87576
2000-03-03,276.5014
2000-03-04,274.9732
2000-03-05,278.18536
2000-03-06,282.95706
2000-03-07,283.55884
2000-03-08,284.25153
2000-03-09,282.12427
2000-03-10,282.2958
2000-03-11,281.43652
2000-03-12,281.18896
2000-03-13,282.30963
2000-03-14,278.8083
2000-03-15,280.86124
2000-03-16,282.2405
2000-03-17,281.66412
2000-03-18,279.44342
2000-03-19,282.26
2000-03-20,282.9721
2000-03-21,280.78363
2000-03-22,277.90848
2000-03-23,278.18982
2000-03-24,280.4219
2000-03-25,278.50153
2000-03-26,278.96167
2000-03-27,277.98862
2000-03-28,277.82123
2000-03-29,279.37088
2000-03-30,279.80704
2000-03-31,279.87442
2000-04-01,279.0247
2000-04-02,276.668
2000-04-03,275.26364
2000-04-04,275.76428
2000-04-05,277.3125
2000-04-06,278.74417
2000-04-07,279.33105
2000-04-08,281.54446
2000-04-09,279.72794
2000-04-10,279.51624
2000-04-11,277.6988
2000-04-12,278.3945
2000-04-13,278.21542
2000-04-14,277.71744
2000-04-15,277.1845
2000-04-16,278.59402
2000-04-17,277.41003
2000-04-18,279.54535
2000-04-19,280.53214
2000-04-20,283.91235
2000-04-21,282.98218
2000-04-22,282.78284
2000-04-23,282.18982
2000-04-24,281.9633
2000-04-25,280.0511
2000-04-26,279.78146
2000-04-27,281.4607
2000-04-28,284.30603
2000-04-29,283.32343
2000-04-30,284.45386
2000-05-01,284.2226
2000-05-02,284.52936
2000-05-03,283.1807
2000-05-04,283.02094
2000-05-05,282.83072
2000-05-06,285.7044
2000-05-07,287.33618
2000-05-08,287.65952
2000-05-09,287.101
2000-05-10,284.39645
2000-05-11,285.2883
2000-05-12,286.21295
2000-05-13,287.88055
2000-05-14,289.00418
2000-05-15,287.27454
2000-05-16,284.6146
2000-05-17,282.6308
2000-05-18,282.7604
2000-05-19,282.66257
2000-05-20,282.22385
2000-05-21,284.03232
2000-05-22,283.227
2000-05-23,282.9028
2000-05-24,282.28967
2000-05-25,281.8897
2000-05-26,281.82123
2000-05-27,281.3115
2000-05-28,281.55356
2000-05-29,282.7695
2000-05-30,282.3629
2000-05-31,283.06183
2000-06-01,285.97803
2000-06-02,284.549
2000-06-03,283.0537
2000-06-04,281.75946
2000-06-05,282.69882
2000-06-06,283.83157
2000-06-07,284.30527
2000-06-08,284.63467
2000-06-09,284.17987
2000-06-10,284.38617
2000-06-11,283.97812
2000-06-12,287.1459
2000-06-13,285.40582
2000-06-14,285.23102
2000-06-15,285.02206
2000-06-16,287.5094
2000-06-17,288.8421
2000-06-18,290.13663
2000-06-19,289.4756
2000-06-20,288.2814
2000-06-21,287.4466
2000-06-22,286.5839
2000-06-23,284.72116
2000-06-24,284.54144
2000-06-25,284.90283
2000-06-26,284.78177
2000-06-27,286.68698
2000-06-28,287.2043
2000-06-29,285.78436
2000-06-30,285.56125
