summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2011-06-30,2.7436712
2011-07-01,2.9184735
2011-07-02,3.0508122
2011-07-03,3.8909433
2011-07-04,3.697414
2011-07-05,2.258807
2011-07-06,1.6732047
2011-07-07,2.319078
2011-07-08,2.6036906
2011-07-09,2.6150818
2011-07-10,2.088986
2011-07-11,2.9459097
2011-07-12,2.1371295
2011-07-13,3.6154766
2011-07-14,3.3822875
2011-07-15,1.9955859
2011-07-16,2.186407
2011-07-17,1.8731171
2011-07-18,1.9878259
2011-07-19,1.8898089
2011-07-20,1.7578398
2011-07-21,1.9727795
2011-07-22,2.2757416
2011-07-23,3.2013795
2011-07-24,3.8368273
2011-07-25,2.9769197
2011-07-26,3.431819
2011-07-27,3.5872202
2011-07-28,1.389382
2011-07-29,2.693637
2011-07-30,3.3002
2011-07-31,1.5199594
2011-08-01,1.2427053
2011-08-02,1.3657472
2011-08-03,2.3919477
2011-08-04,1.4614053
2011-08-05,2.182625
2011-08-06,1.4064854
2011-08-07,1.3138068
2011-08-08,2.6523595
2011-08-09,2.8487241
2011-08-10,0.4150442
2011-08-11,1.1726909
2011-08-12,1.251493
2011-08-13,1.6176579
2011-08-14,2.3931634
2011-08-15,2.2524905
2011-08-16,1.4265311
2011-08-17,2.2639797
2011-08-18,1.2347369
2011-08-19,1.8269494
2011-08-20,2.2785485
2011-08-21,1.731789
2011-08-22,1.2856728
2011-08-23,1.2760131
2011-08-24,1.6466992
2011-08-25,1.8097274
2011-08-26,1.4296131
2011-08-27,1.6528006
2011-08-28,1.5190161
2011-08-29,1.7264959
2011-08-30,1.3193235
2011-08-31,0.8456693
2011-09-01,1.1493342
2011-09-02,1.3894873
2011-09-03,1.037341
2011-09-04,1.4889383
2011-09-05,1.259288
2011-09-06,1.5813451
2011-09-07,1.5787444
2011-09-08,1.6602912
2011-09-09,0.8780371
2011-09-10,1.3179066
