summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2004-06-30,2.191993
2004-07-01,2.7984736
2004-07-02,2.098546
2004-07-03,2.424819
2004-07-04,2.2244964
2004-07-05,2.3715467
2004-07-06,2.6970341
2004-07-07,2.9501286
2004-07-08,2.2701685
2004-07-09,2.1897464
2004-07-10,1.4451249
2004-07-11,1.8506169
2004-07-12,2.5214317
2004-07-13,2.609017
2004-07-14,2.2617214
2004-07-15,2.1079469
2004-07-16,2.78658
2004-07-17,2.1948264
2004-07-18,3.064401
2004-07-19,2.8582635
2004-07-20,1.7129284
2004-07-21,2.5942972
2004-07-22,2.4975696
2004-07-23,2.623109
2004-07-24,1.7854385
2004-07-25,2.5166755
2004-07-26,2.11532
2004-07-27,1.5023515
2004-07-28,1.6329978
2004-07-29,1.7560346
2004-07-30,2.2418869
2004-07-31,2.46571
2004-08-01,3.3814237
2004-08-02,2.5767627
2004-08-03,1.5049374
2004-08-04,1.2945486
2004-08-05,1.5788285
2004-08-06,2.3752954
2004-08-07,2.9302764
2004-08-08,3.5264244
2004-08-09,1.345725
2004-08-10,1.1853435
2004-08-11,1.3848964
2004-08-12,1.9196342
2004-08-13,2.1104848
2004-08-14,2.4220486
2004-08-15,1.9602287
2004-08-16,1.8284317
2004-08-17,1.8121846
2004-08-18,1.3727424
2004-08-19,1.14542
2004-08-20,2.3087409
2004-08-21,2.3589473
2004-08-22,2.0154567
2004-08-23,1.5719292
2004-08-24,1.1773943
2004-08-25,1.8955768
2004-08-26,1.1719316
2004-08-27,2.736849
2004-08-28,1.7206298
2004-08-29,2.0295653
2004-08-30,2.181433
2004-08-31,2.1411219
2004-09-01,1.3196855
2004-09-02,1.1791258
2004-09-03,1.4808409
2004-09-04,1.7844608
2004-09-05,0.98403645
2004-09-06,1.3139539
2004-09-07,2.0393903
2004-09-08,2.1675107
2004-09-09,1.9979141
2004-09-10,1.4016017
2004-09-11,1.6246527
2004-09-12,1.6646476
2004-09-13,1.8932049
2004-09-14,1.5912006
2004-09-15,1.7960308
2004-09-16,1.1548104
2004-09-17,1.7885543
2004-09-18,2.056102
2004-09-19,1.4297261
2004-09-20,1.7220345
2004-09-21,2.1285446
2004-09-22,1.1592889
2004-09-23,1.5142359
2004-09-24,1.6727259
2004-09-25,1.230555
2004-09-26,1.2450521
2004-09-27,0.3489666
2004-09-28,0.709211
2004-09-29,0.71229976
2004-09-30,0.5604381
2004-10-01,0.6934429
2004-10-02,1.4991682
2004-10-03,1.0535004
2004-10-04,1.2540348
2004-10-05,1.4728937
2004-10-06,1.2435119
2004-10-07,0.80823153
2004-10-08,0.53135055
2004-10-09,0.60867995
2004-10-10,0.6028687
2004-10-11,0.69676954
2004-10-12,0.5987264
2004-10-13,0.33628756
2004-10-14,0.21791677
2004-10-15,0.46877304
2004-10-16,0.70571125
2004-10-17,0.5817858
2004-10-18,0.49402004
2004-10-19,0.63592476
2004-10-20,0.29101175
2004-10-21,1.0046728
2004-10-22,0.9519874
2004-10-23,0.10780682
2004-10-24,0.32349807
2004-10-25,0.32146618
2004-10-26,0.18850693
2004-10-27,0.8909793
2004-10-28,0.6221765
2004-10-29,0.29517984
2004-10-30,0.00066854426
2004-10-31,0.20925988
2004-11-01,0
2004-11-02,0.26718152
2004-11-03,0.38750282
2004-11-04,0.8663867
2004-11-05,0.7269881
2004-11-06,0.113479175
2004-11-07,0.26990217
2004-11-08,0.03492443
2004-11-09,0.3191371
2004-11-10,0.67282104
2004-11-11,0.33801156
2004-11-12,0.9850309
2004-11-13,0.4028526
2004-11-14,0.78208274
2004-11-15,0.5339152
2004-11-16,0
2004-11-17,0.98491156
2004-11-18,0.22114167
2004-11-19,0.058808085
2004-11-20,0
2004-11-21,0
2004-11-22,0.655291
2004-11-23,0
2004-11-24,0.21397041
2004-11-25,0.4680282
2004-11-26,0.24101013
2004-11-27,0.305418
2004-11-28,0.023579195
2004-11-29,0.09384547
2004-11-30,0.34994224
2004-12-01,0
2004-12-02,0
2004-12-03,0.15752977
2004-12-04,0.6739274
2004-12-05,0.5253922
2004-12-06,0.9148576
2004-12-07,0.031750407
2004-12-08,0.24489242
2004-12-09,0.685091
2004-12-10,0.20820832
2004-12-11,0
2004-12-12,0.10268199
2004-12-13,0.5709642
2004-12-14,0.8933774
2004-12-15,0.37053725
2004-12-16,1.1686382
2004-12-17,0.49858654
2004-12-18,0.13860814
2004-12-19,0
2004-12-20,0.14908801
2004-12-21,0.062120408
2004-12-22,0.60681474
2004-12-23,1.1527965
2004-12-24,0.52356017
2004-12-25,0.415797
2004-12-26,0
2004-12-27,0.5267625
2004-12-28,0.6300999
2004-12-29,0.36400357
2004-12-30,0.31101754
2004-12-31,0
2005-01-01,0.7744543
2005-01-02,0.7747063
2005-01-03,0.7381656
