summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2008-06-30,347.04373
2008-07-01,364.368
2008-07-02,351.1055
2008-07-03,352.52277
2008-07-04,335.32745
2008-07-05,348.71408
2008-07-06,356.7984
2008-07-07,348.14548
2008-07-08,339.9469
2008-07-09,353.8534
2008-07-10,356.9591
2008-07-11,347.54233
2008-07-12,335.84763
2008-07-13,331.99487
2008-07-14,363.61154
2008-07-15,346.95203
2008-07-16,346.73547
2008-07-17,350.8165
2008-07-18,359.48996
2008-07-19,335.21625
2008-07-20,319.9219
2008-07-21,318.57452
2008-07-22,360.15738
2008-07-23,365.17487
2008-07-24,357.2816
2008-07-25,355.47385
2008-07-26,366.9255
2008-07-27,347.58185
2008-07-28,349.9436
2008-07-29,368.5075
2008-07-30,369.20456
2008-07-31,381.24228
2008-08-01,363.38632
2008-08-02,349.9581
2008-08-03,345.41666
2008-08-04,335.0857
2008-08-05,349.54715
2008-08-06,361.8789
2008-08-07,357.12015
2008-08-08,346.2302
2008-08-09,356.1106
2008-08-10,346.3766
2008-08-11,355.3953
2008-08-12,359.95572
2008-08-13,351.96512
2008-08-14,343.25677
2008-08-15,361.05963
2008-08-16,360.41235
2008-08-17,352.7941
2008-08-18,360.78546
2008-08-19,360.7571
2008-08-20,358.3506
2008-08-21,345.41855
2008-08-22,342.29694
2008-08-23,331.99606
2008-08-24,346.5393
2008-08-25,353.65515
2008-08-26,361.92682
2008-08-27,362.95065
2008-08-28,357.0867
2008-08-29,365.71503
2008-08-30,376.82993
2008-08-31,363.88654
2008-09-01,327.86118
2008-09-02,324.65454
2008-09-03,332.45526
2008-09-04,313.60086
2008-09-05,334.9539
2008-09-06,353.22922
2008-09-07,351.8832
2008-09-08,341.92697
2008-09-09,353.79315
