summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":248249.29832359683,"y":664355.3510028278,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2005-06-30,0.009425529
2005-07-01,0.00801263
2005-07-02,0.008579043
2005-07-03,0.0071598226
2005-07-04,0.0071062567
2005-07-05,0.007550415
2005-07-06,0.0076373527
2005-07-07,0.0080928365
2005-07-08,0.009254654
2005-07-09,0.010501484
2005-07-10,0.011163671
2005-07-11,0.010852333
2005-07-12,0.010462388
2005-07-13,0.008794787
2005-07-14,0.009385009
2005-07-15,0.0075687054
2005-07-16,0.008199385
2005-07-17,0.010843801
2005-07-18,0.008731454
2005-07-19,0.007878051
2005-07-20,0.007767224
2005-07-21,0.0086755445
2005-07-22,0.008555829
2005-07-23,0.008202089
2005-07-24,0.0076327655
2005-07-25,0.006695254
2005-07-26,0.0068891407
2005-07-27,0.0073362347
2005-07-28,0.007626204
2005-07-29,0.007861705
2005-07-30,0.007828939
2005-07-31,0.007576638
2005-08-01,0.0074222116
2005-08-02,0.00824381
2005-08-03,0.00818203
2005-08-04,0.008341235
2005-08-05,0.0077795456
2005-08-06,0.0071810717
2005-08-07,0.0067789475
2005-08-08,0.0073477235
2005-08-09,0.009209327
2005-08-10,0.009925695
2005-08-11,0.008807775
2005-08-12,0.008190356
2005-08-13,0.008846313
2005-08-14,0.008828956
2005-08-15,0.009353201
2005-08-16,0.010685347
2005-08-17,0.0097349165
2005-08-18,0.009443209
2005-08-19,0.008104037
2005-08-20,0.008104837
2005-08-21,0.009389113
2005-08-22,0.007993286
2005-08-23,0.008652278
2005-08-24,0.007461228
2005-08-25,0.006534396
2005-08-26,0.0068581505
2005-08-27,0.007984473
2005-08-28,0.0100833895
2005-08-29,0.0077671823
2005-08-30,0.008781432
2005-08-31,0.010816444
2005-09-01,0.008068162
2005-09-02,0.0076704454
2005-09-03,0.008426302
2005-09-04,0.010457584
2005-09-05,0.010773928
2005-09-06,0.009821179
2005-09-07,0.0099150855
2005-09-08,0.008660257
2005-09-09,0.0072788466
2005-09-10,0.00787629
2005-09-11,0.008241854
2005-09-12,0.009034719
2005-09-13,0.01011982
2005-09-14,0.008090063
2005-09-15,0.007007809
2005-09-16,0.0054169977
2005-09-17,0.0072747907
2005-09-18,0.008053364
2005-09-19,0.008525549
2005-09-20,0.007718077
2005-09-21,0.008587218
2005-09-22,0.009785795
2005-09-23,0.007490799
2005-09-24,0.005398233
2005-09-25,0.007862505
2005-09-26,0.00815648
2005-09-27,0.006670856
2005-09-28,0.006279494
2005-09-29,0.006403234
2005-09-30,0.008587071
2005-10-01,0.006469165
2005-10-02,0.006659053
2005-10-03,0.00743384
2005-10-04,0.0067511043
2005-10-05,0.0063404627
2005-10-06,0.00707227
2005-10-07,0.0080956
2005-10-08,0.0064703007
2005-10-09,0.0063344706
2005-10-10,0.008617172
2005-10-11,0.00684468
2005-10-12,0.0066133067
2005-10-13,0.006029349
2005-10-14,0.0054098764
2005-10-15,0.0077206525
2005-10-16,0.0074099535
2005-10-17,0.007781687
2005-10-18,0.0064339982
2005-10-19,0.0071739745
2005-10-20,0.006722085
2005-10-21,0.0065958574
2005-10-22,0.006262842
2005-10-23,0.005690113
2005-10-24,0.007176192
2005-10-25,0.0070540523
2005-10-26,0.008137421
2005-10-27,0.008939233
2005-10-28,0.0081472965
2005-10-29,0.007890599
2005-10-30,0.008397147
2005-10-31,0.00687878
2005-11-01,0.005664709
2005-11-02,0.0072817868
2005-11-03,0.008576317
2005-11-04,0.0067896154
2005-11-05,0.0059316186
2005-11-06,0.0063073845
2005-11-07,0.0053492445
2005-11-08,0.0052680727
2005-11-09,0.005221869
2005-11-10,0.006837946
2005-11-11,0.006398984
2005-11-12,0.005104188
2005-11-13,0.004507136
2005-11-14,0.0069047217
2005-11-15,0.0050451783
2005-11-16,0.0036723034
2005-11-17,0.0033686233
2005-11-18,0.0030379398
2005-11-19,0.003724439
2005-11-20,0.004905225
2005-11-21,0.0047294837
2005-11-22,0.004323003
2005-11-23,0.0052514174
2005-11-24,0.004231974
2005-11-25,0.0037303637
2005-11-26,0.0044368445
2005-11-27,0.0037366454
2005-11-28,0.003132321
2005-11-29,0.0035943422
2005-11-30,0.005004128
2005-12-01,0.0056723175
2005-12-02,0.0052681374
2005-12-03,0.0053430814
2005-12-04,0.005419983
2005-12-05,0.005207073
2005-12-06,0.0046012034
2005-12-07,0.00405322
2005-12-08,0.004515611
2005-12-09,0.0060622366
2005-12-10,0.007503822
2005-12-11,0.0065367892
2005-12-12,0.0040270165
2005-12-13,0.00527138
2005-12-14,0.0055659707
2005-12-15,0.006047953
2005-12-16,0.0040008887
2005-12-17,0.0029005317
2005-12-18,0.004473027
2005-12-19,0.004847594
2005-12-20,0.005874011
2005-12-21,0.005435085
2005-12-22,0.005992023
2005-12-23,0.006260969
2005-12-24,0.004833242
2005-12-25,0.0037541871
2005-12-26,0.0039391145
2005-12-27,0.0033424585
2005-12-28,0.0031210857
2005-12-29,0.0030610715
2005-12-30,0.0045826454
2005-12-31,0.0049800137
2006-01-01,0.004837485
2006-01-02,0.005149194
2006-01-03,0.0052181613
2006-01-04,0.0038165208
2006-01-05,0.0036503703
2006-01-06,0.0036220038
2006-01-07,0.003945498
2006-01-08,0.003335984
2006-01-09,0.0043325913
2006-01-10,0.0064987615
2006-01-11,0.0047838804
2006-01-12,0.005537472
2006-01-13,0.0061723636
2006-01-14,0.0048367996
2006-01-15,0.0049084336
2006-01-16,0.0050638486
2006-01-17,0.004718794
2006-01-18,0.006654318
2006-01-19,0.0072058886
2006-01-20,0.0048616664
2006-01-21,0.005185055
2006-01-22,0.00534199
2006-01-23,0.0049719093
2006-01-24,0.005142748
2006-01-25,0.0040532257
2006-01-26,0.0037126525
2006-01-27,0.0037862486
2006-01-28,0.004305861
2006-01-29,0.0035560166
2006-01-30,0.0030390765
2006-01-31,0.0032630998
2006-02-01,0.0037327877
2006-02-02,0.004385546
2006-02-03,0.0050478703
2006-02-04,0.0051025436
2006-02-05,0.005103124
2006-02-06,0.005742574
2006-02-07,0.005754646
2006-02-08,0.0040744105
2006-02-09,0.0028461704
2006-02-10,0.0028826992
2006-02-11,0.0046145148
2006-02-12,0.005898984
2006-02-13,0.0063330242
2006-02-14,0.00573262
2006-02-15,0.0048183785
2006-02-16,0.0045804377
2006-02-17,0.0044355765
2006-02-18,0.0039335014
2006-02-19,0.0040163677
2006-02-20,0.0039757653
2006-02-21,0.0037005953
2006-02-22,0.003390746
2006-02-23,0.004402337
2006-02-24,0.004235956
2006-02-25,0.00343306
2006-02-26,0.003235549
2006-02-27,0.0039889333
2006-02-28,0.002976185
2006-03-01,0.0027222326
2006-03-02,0.0025512758
2006-03-03,0.002798222
2006-03-04,0.00303495
2006-03-05,0.0032046067
2006-03-06,0.0032068556
2006-03-07,0.0047317646
2006-03-08,0.005779695
2006-03-09,0.0048979106
2006-03-10,0.004721818
2006-03-11,0.0039834073
2006-03-12,0.0038064132
2006-03-13,0.004175138
2006-03-14,0.0047962875
2006-03-15,0.0038487287
2006-03-16,0.0034367004
