summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":248249.29832359683,"y":664355.3510028278,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2010-06-30,0.0083416365
2010-07-01,0.0101456195
2010-07-02,0.008914456
2010-07-03,0.007936615
2010-07-04,0.008724617
2010-07-05,0.0074801515
2010-07-06,0.007869056
2010-07-07,0.008135154
2010-07-08,0.007773817
2010-07-09,0.008772225
2010-07-10,0.009266487
2010-07-11,0.008640693
2010-07-12,0.007873566
2010-07-13,0.007831378
2010-07-14,0.008785243
2010-07-15,0.009362349
2010-07-16,0.008095631
2010-07-17,0.0076908334
2010-07-18,0.009268726
2010-07-19,0.01039712
2010-07-20,0.009897371
2010-07-21,0.009494995
2010-07-22,0.007385295
2010-07-23,0.007007891
2010-07-24,0.0089889895
2010-07-25,0.009388038
2010-07-26,0.010434632
2010-07-27,0.008986509
2010-07-28,0.008815899
2010-07-29,0.008367264
2010-07-30,0.009022268
2010-07-31,0.008876591
2010-08-01,0.008810053
2010-08-02,0.008165719
2010-08-03,0.008547473
2010-08-04,0.008004099
2010-08-05,0.007861543
2010-08-06,0.009152629
2010-08-07,0.009382062
2010-08-08,0.008276414
2010-08-09,0.008839982
2010-08-10,0.007805001
2010-08-11,0.008468888
2010-08-12,0.008510044
2010-08-13,0.008195898
2010-08-14,0.0079614185
2010-08-15,0.008099609
2010-08-16,0.008726591
2010-08-17,0.008981052
2010-08-18,0.0079028355
2010-08-19,0.007999837
2010-08-20,0.009859049
2010-08-21,0.008221344
2010-08-22,0.008412218
2010-08-23,0.008579787
2010-08-24,0.0074431086
2010-08-25,0.007186393
2010-08-26,0.007112569
2010-08-27,0.0070824823
2010-08-28,0.007808345
2010-08-29,0.0061535914
2010-08-30,0.0055918116
2010-08-31,0.006272773
2010-09-01,0.0072076563
2010-09-02,0.007820169
2010-09-03,0.008314216
2010-09-04,0.008745025
2010-09-05,0.00847305
2010-09-06,0.0073324144
2010-09-07,0.008477254
2010-09-08,0.00837234
2010-09-09,0.008770186
2010-09-10,0.009342505
2010-09-11,0.008662651
2010-09-12,0.007764675
2010-09-13,0.010005618
2010-09-14,0.0070849336
2010-09-15,0.0069749136
2010-09-16,0.006241945
2010-09-17,0.0054741846
2010-09-18,0.00724065
2010-09-19,0.008730963
2010-09-20,0.008829316
2010-09-21,0.00916729
2010-09-22,0.009540718
2010-09-23,0.008056259
2010-09-24,0.0049300124
2010-09-25,0.0044858195
2010-09-26,0.0048124567
2010-09-27,0.006698903
2010-09-28,0.008483023
2010-09-29,0.008291445
2010-09-30,0.0068748905
2010-10-01,0.007524564
2010-10-02,0.0069039455
2010-10-03,0.007603431
2010-10-04,0.007167852
2010-10-05,0.0068122735
2010-10-06,0.006826121
2010-10-07,0.007436711
2010-10-08,0.008474112
2010-10-09,0.0076125027
2010-10-10,0.0066627716
2010-10-11,0.005842289
2010-10-12,0.005846147
2010-10-13,0.006359148
2010-10-14,0.006459651
2010-10-15,0.006516885
2010-10-16,0.005399004
2010-10-17,0.0063341944
2010-10-18,0.0062892274
2010-10-19,0.0047835116
2010-10-20,0.003976446
2010-10-21,0.005805046
2010-10-22,0.0063545615
