summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241859.1567183131,"y":666113.7970722595,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
1999-12-01,0.004469643
1999-12-02,0.0042389915
1999-12-03,0.004152243
1999-12-04,0.0035497623
1999-12-05,0.004429602
1999-12-06,0.0064444854
1999-12-07,0.004425046
1999-12-08,0.0048592896
1999-12-09,0.00485234
1999-12-10,0.004169071
1999-12-11,0.004404439
1999-12-12,0.00421565
1999-12-13,0.003418898
1999-12-14,0.003289845
1999-12-15,0.003984926
1999-12-16,0.0050586006
1999-12-17,0.0045646452
1999-12-18,0.003112164
1999-12-19,0.0031060255
1999-12-20,0.0030148115
1999-12-21,0.004603161
1999-12-22,0.0055591096
1999-12-23,0.005157401
1999-12-24,0.004797574
1999-12-25,0.004187293
1999-12-26,0.004325644
1999-12-27,0.0041359435
1999-12-28,0.0039045797
1999-12-29,0.0042864853
1999-12-30,0.0052368846
1999-12-31,0.005506089
2000-01-01,0.00498311
2000-01-02,0.005431007
2000-01-03,0.0045838063
2000-01-04,0.004264113
2000-01-05,0.0056857667
2000-01-06,0.0043428764
2000-01-07,0.005656469
2000-01-08,0.0042296383
2000-01-09,0.004086338
2000-01-10,0.0052836225
2000-01-11,0.005377056
2000-01-12,0.0047097937
2000-01-13,0.004031137
2000-01-14,0.0032697378
2000-01-15,0.0036714477
2000-01-16,0.0050018947
2000-01-17,0.0053487765
2000-01-18,0.0054270574
2000-01-19,0.004699659
2000-01-20,0.0049684723
2000-01-21,0.0046838867
2000-01-22,0.0040517277
2000-01-23,0.0037472786
2000-01-24,0.004301695
2000-01-25,0.0039033268
2000-01-26,0.004536226
2000-01-27,0.0050269295
2000-01-28,0.005745446
2000-01-29,0.004733898
2000-01-30,0.005624963
2000-01-31,0.0054952293
2000-02-01,0.0054040626
