summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2011-06-30,211.69931
2011-07-01,239.09155
2011-07-02,255.39423
2011-07-03,322.45752
2011-07-04,271.42395
2011-07-05,125.54713
2011-07-06,131.4998
2011-07-07,177.63547
2011-07-08,206.79707
2011-07-09,217.96225
2011-07-10,160.65643
2011-07-11,236.01407
2011-07-12,165.25032
2011-07-13,301.71173
2011-07-14,275.88855
2011-07-15,145.59302
2011-07-16,177.4684
2011-07-17,157.48186
2011-07-18,146.98781
2011-07-19,140.41574
2011-07-20,127.40942
2011-07-21,152.46422
2011-07-22,186.29823
2011-07-23,281.11047
2011-07-24,324.7623
2011-07-25,236.68112
2011-07-26,287.5068
2011-07-27,288.27505
2011-07-28,105.05976
2011-07-29,222.55194
2011-07-30,266.76587
2011-07-31,101.10923
2011-08-01,101.36437
2011-08-02,114.68533
2011-08-03,191.5446
2011-08-04,120.059166
2011-08-05,162.60327
2011-08-06,114.14624
2011-08-07,104.055
2011-08-08,189.0687
2011-08-09,213.67007
2011-08-10,50.734047
2011-08-11,91.99881
2011-08-12,96.05172
2011-08-13,120.63906
2011-08-14,196.58646
2011-08-15,185.21652
2011-08-16,114.143364
2011-08-17,206.0073
2011-08-18,109.63207
2011-08-19,149.78561
2011-08-20,187.02364
2011-08-21,150.7933
2011-08-22,103.94563
2011-08-23,88.561935
2011-08-24,143.77263
2011-08-25,164.8696
2011-08-26,129.66635
2011-08-27,141.99854
2011-08-28,87.65054
2011-08-29,94.353905
2011-08-30,99.38605
2011-08-31,76.69113
2011-09-01,91.73725
2011-09-02,99.23426
2011-09-03,88.86473
2011-09-04,135.9059
2011-09-05,105.25023
2011-09-06,96.41843
2011-09-07,107.42043
2011-09-08,127.84537
2011-09-09,79.13104
2011-09-10,93.652534
2011-09-11,65.005035
2011-09-12,67.05578
2011-09-13,78.454506
2011-09-14,137.1466
2011-09-15,166.43677
2011-09-16,63.37875
2011-09-17,102.23386
2011-09-18,101.62721
2011-09-19,74.33567
2011-09-20,110.19735
2011-09-21,85.34234
2011-09-22,113.07643
2011-09-23,70.28788
2011-09-24,122.589066
2011-09-25,64.032616
2011-09-26,118.23311
2011-09-27,57.079174
2011-09-28,155.3934
2011-09-29,60.56121
2011-09-30,86.10127
2011-10-01,26.096384
2011-10-02,52.602165
2011-10-03,63.25079
2011-10-04,49.998978
2011-10-05,49.184868
2011-10-06,67.82025
2011-10-07,94.48282
2011-10-08,22.897663
2011-10-09,44.6521
2011-10-10,50.79509
2011-10-11,57.07413
2011-10-12,52.043354
2011-10-13,49.37641
2011-10-14,40.473923
2011-10-15,37.38028
2011-10-16,70.01757
2011-10-17,19.08806
2011-10-18,54.47947
2011-10-19,77.95042
2011-10-20,42.96119
2011-10-21,32.570713
2011-10-22,35.219475
2011-10-23,31.358728
2011-10-24,37.863422
2011-10-25,36.560978
2011-10-26,45.518894
2011-10-27,41.518276
2011-10-28,45.808353
2011-10-29,32.12068
2011-10-30,34.744064
2011-10-31,30.22715
2011-11-01,67.163315
2011-11-02,32.490086
2011-11-03,34.947765
2011-11-04,35.022705
2011-11-05,61.804733
2011-11-06,65.79417
2011-11-07,63.33854
2011-11-08,29.846313
2011-11-09,23.37061
2011-11-10,44.102398
2011-11-11,28.129189
2011-11-12,39.424454
2011-11-13,26.850435
2011-11-14,38.541176
2011-11-15,31.172546
2011-11-16,36.005035
2011-11-17,22.24395
2011-11-18,9.35812
2011-11-19,20.078636
2011-11-20,21.137558
2011-11-21,20.113836
2011-11-22,41.928013
2011-11-23,15.511468
2011-11-24,16.879625
2011-11-25,19.36258
2011-11-26,15.3878565
2011-11-27,29.54813
2011-11-28,15.795307
2011-11-29,13.704399
2011-11-30,16.102509
2011-12-01,19.661352
2011-12-02,13.708478
2011-12-03,17.626244
2011-12-04,15.428036
2011-12-05,16.709568
2011-12-06,16.319016
2011-12-07,18.014309
2011-12-08,13.415234
2011-12-09,14.282513
2011-12-10,14.459441
2011-12-11,13.319174
2011-12-12,14.842684
2011-12-13,13.773752
2011-12-14,13.3073
2011-12-15,24.291773
2011-12-16,12.758555
2011-12-17,19.915226
2011-12-18,23.32178
2011-12-19,11.778321
2011-12-20,6.2044954
2011-12-21,11.313226
2011-12-22,13.020634
2011-12-23,14.109109
2011-12-24,11.605516
2011-12-25,11.411375
2011-12-26,11.578783
2011-12-27,11.569079
2011-12-28,13.28326
2011-12-29,13.201771
2011-12-30,6.4739523
2011-12-31,12.217079
2012-01-01,14.549263
2012-01-02,13.826586
2012-01-03,12.834282
2012-01-04,12.316552
2012-01-05,29.18127
2012-01-06,13.661622
2012-01-07,18.503708
2012-01-08,7.2268305
2012-01-09,29.939781
2012-01-10,13.765635
2012-01-11,18.419792
2012-01-12,27.767376
2012-01-13,39.12876
2012-01-14,20.040243
2012-01-15,22.66589
2012-01-16,31.408236
2012-01-17,17.208254
2012-01-18,20.735996
2012-01-19,22.230991
2012-01-20,16.25794
2012-01-21,24.670822
2012-01-22,31.581211
2012-01-23,34.40849
2012-01-24,17.877323
2012-01-25,18.70536
2012-01-26,23.412504
2012-01-27,31.8591
2012-01-28,25.678446
2012-01-29,27.3502
2012-01-30,41.907177
2012-01-31,26.848055
2012-02-01,58.227318
2012-02-02,50.615974
2012-02-03,48.468117
2012-02-04,22.751114
2012-02-05,24.902517
2012-02-06,72.12239
2012-02-07,72.46858
2012-02-08,32.269386
2012-02-09,14.157166
2012-02-10,28.712158
2012-02-11,26.976725
2012-02-12,37.200027
2012-02-13,35.716076
2012-02-14,15.854487
2012-02-15,43.42767
2012-02-16,40.63621
2012-02-17,33.037132
2012-02-18,61.889984
2012-02-19,65.40309
2012-02-20,36.358208
2012-02-21,37.371334
2012-02-22,37.741905
2012-02-23,40.059803
2012-02-24,77.96596
2012-02-25,41.384274
2012-02-26,44.215714
2012-02-27,39.133976
2012-02-28,38.96733
2012-02-29,46.576477
2012-03-01,57.501453
2012-03-02,60.431427
2012-03-03,65.76381
2012-03-04,101.821976
2012-03-05,133.60342
2012-03-06,56.507004
2012-03-07,95.95854
2012-03-08,56.02119
2012-03-09,89.75725
2012-03-10,49.575325
2012-03-11,78.61953
2012-03-12,62.58382
2012-03-13,53.89064
2012-03-14,52.86515
2012-03-15,57.996235
2012-03-16,59.97375
2012-03-17,143.92084
2012-03-18,170.73602
2012-03-19,61.588997
2012-03-20,84.86211
2012-03-21,97.4748
2012-03-22,185.72646
2012-03-23,84.30602
2012-03-24,121.069016
2012-03-25,180.83989
2012-03-26,209.79277
2012-03-27,213.00534
2012-03-28,181.74358
2012-03-29,176.46518
2012-03-30,178.87486
2012-03-31,153.04352
2012-04-01,119.76042
2012-04-02,71.17787
2012-04-03,101.86322
2012-04-04,149.64873
2012-04-05,126.869965
2012-04-06,71.72274
2012-04-07,82.994316
2012-04-08,85.54116
2012-04-09,108.71168
2012-04-10,116.559784
2012-04-11,147.96413
2012-04-12,135.28198
2012-04-13,172.45944
2012-04-14,178.31393
2012-04-15,189.85217
2012-04-16,159.13661
2012-04-17,156.55899
2012-04-18,185.54663
2012-04-19,136.32137
2012-04-20,175.34253
2012-04-21,130.4531
2012-04-22,152.86826
2012-04-23,167.86305
2012-04-24,161.3068
2012-04-25,118.53492
2012-04-26,102.69367
2012-04-27,196.96045
2012-04-28,253.36491
2012-04-29,193.39886
2012-04-30,151.75435
2012-05-01,167.26413
2012-05-02,226.34824
2012-05-03,283.67285
2012-05-04,147.9792
2012-05-05,230.19336
2012-05-06,252.12726
2012-05-07,120.20593
2012-05-08,187.07758
2012-05-09,214.46341
2012-05-10,54.57426
2012-05-11,167.8834
2012-05-12,282.53314
2012-05-13,115.89145
2012-05-14,190.2078
2012-05-15,237.67834
2012-05-16,188.10487
2012-05-17,56.821243
2012-05-18,57.112892
2012-05-19,174.3541
2012-05-20,296.09784
2012-05-21,305.6493
2012-05-22,322.15417
2012-05-23,321.13138
2012-05-24,305.22253
2012-05-25,335.98022
2012-05-26,373.22504
2012-05-27,365.8807
2012-05-28,344.62457
2012-05-29,220.2126
2012-05-30,115.53392
2012-05-31,128.12323
2012-06-01,247.00093
2012-06-02,216.33395
2012-06-03,182.08517
2012-06-04,275.20554
2012-06-05,185.24915
2012-06-06,140.82404
2012-06-07,144.64941
2012-06-08,124.39928
2012-06-09,133.46748
2012-06-10,148.82486
2012-06-11,136.21317
2012-06-12,158.24258
2012-06-13,188.83832
2012-06-14,171.47641
2012-06-15,61.844437
2012-06-16,111.66958
2012-06-17,156.00844
2012-06-18,260.4499
2012-06-19,277.46704
2012-06-20,264.9082
2012-06-21,114.24493
2012-06-22,135.51505
2012-06-23,125.555336
2012-06-24,168.28197
2012-06-25,169.62685
2012-06-26,183.68533
2012-06-27,113.88619
2012-06-28,119.430084
2012-06-29,144.394
2012-06-30,166.42639
