Conventions,G,BADC-CSV,1
title,G,Midas-open: Station site metadata for uk-soil-temperature-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point collection
observation_station,G,UK land surface observing network
location,G,UK
collection_name,G,midas-open
collection_version_number,G,dataset-version-201908
date_valid,G,2019-08-20
history,G,Created 2019-08-20
last_revised_date,G,2019-08-20
comments,G,This file contains geographic and temporal information for the stations covered in this version of the uk-soil-temperature-obs part of the MIDAS-open collection
comments,G,The temporal range given here is in relation to the data temporal range available for this station within this dataset and may differ from other dates for the given station in other MIDAS-open datasets
comments,G,The geographic location relates to the currently recorded station location to 3 decimal places of latitude and longitude
comments,G,If more precise geographical location information is required please contact the Met Office directly as there may be data management restrictions for stations located on private property
comments,G,Further station-specific details are given in each station folder in the associated capability files
comments,G,For fuller station metadata please use the MIDAS station search tool available from the Centre for Environmental Data Analysis
coordinate_variable,src_id,x
long_name,src_id,The unique MIDAS identifier for the station,1
type,src_id,int
comments,src_id,This is a unique ID ascribed to this station within the MIDAS system. It is used across MIDAS as a way to join related data and metadata together where a site may have used different identifiers for different meteorological reports over time.
long_name,station_name,The name for this station,1
type,station_name,char
long_name,station_file_name,The filename used for this station,1
type,station_file_name,char
comments,station_file_name,The filename is derived from the station name but replacing spaces with - as necessary
long_name,historic_county,the historic county this station is within,1
type,historic_county,char
comments,historic_county,Within MIDAS stations are associated with a set of fixed historic county definitions for the UK and are not amended to reflect modern county boundary changes. For more details refer to the MIDAS documentation.
long_name,station_latitude,The station latitude (WGS84),degrees
type,station_latitude,float
long_name,station_longitude,The station longitude (WGS84),degrees
type,station_longitude,float
long_name,station_elevation,The station elevation,m
type,station_elevation,float
comments,station_elevation,The station elevation in metres above mean sea level
long_name,first_year,first year of data associated with this station in this dataset,year
type,first_year,float
comments,first_year,This relates to the first year of available data within this version of this dataset. The first year may differ for this station within other datasets of Midas-open
long_name,last_year,last year of data associated with this station in this dataset,year
type,last_year,float
comments,last_year,This relates to the last year of data associated with this station in this dataset. It does not indicate whether the station is currently operational and the last year may differ for this station within other datasets of Midas-open
comments,last_year,The first and last year indicate simply the year of first and last available data in this dataset. They do not indicate the availability of data between those dates or availability of data within other datasets of Midas-open
data
src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
00003,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1976,2018
00009,LERWICK,lerwick,shetland,60.139,-1.185,82,1979,2018
00012,BALTASOUND NO 2,baltasound-no-2,shetland,60.748,-0.856,15,1992,2018
00013,BALTASOUND,baltasound,shetland,60.759,-0.888,24,1914,1995
00020,STENNESS,stenness,orkney,58.982,-3.223,23,1961,1974
00023,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1980,2018
00024,WEYLAND,weyland,orkney,58.986,-2.948,24,1977,1979
00025,"NORTH RONALDSAY, GERBO",north-ronaldsay-gerbo,orkney,59.361,-2.415,11,1997,1997
00031,LYBSTER,lybster,caithness,58.311,-3.285,85,1997,2003
00032,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1981,2018
00033,KEISS,keiss,caithness,58.542,-3.11,30,1972,1985
00034,JOHN O GROATS,john-o-groats,caithness,58.635,-3.064,30,1970,1972
00039,ACHANY NO 2,achany-no-2,sutherland,57.981,-4.427,107,1977,1982
00042,ACHANY,achany,sutherland,57.982,-4.422,85,1959,1970
00043,LAIRG NO 2,lairg-no-2,sutherland,58.019,-4.407,91,1971,2000
00044,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,2018
00045,TORRISDALE,torrisdale,sutherland,58.523,-4.273,27,1980,1990
00048,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1980,2011
00050,STRATHY EAST,strathy-east,sutherland,58.561,-3.992,68,1994,2011
00052,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1991,2018
00054,STORNOWAY AIRPORT,stornoway-airport,western-isles,58.213,-6.319,15,1980,2018
00058,DIABAIG,diabaig,ross-and-cromarty,57.579,-5.692,60,2002,2002
00060,POOLEWE,poolewe,ross-and-cromarty,57.774,-5.597,6,2005,2018
00063,INVERPOLLY,inverpolly,ross-and-cromarty,58.068,-5.267,14,1963,1997
00064,PLOCKTON,plockton,ross-and-cromarty,57.337,-5.653,12,1979,2018
00066,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,1961,2018
00067,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,57.725,-4.895,269,1992,2018
00074,DINGWALL,dingwall,ross-and-cromarty,57.6,-4.447,7,1999,1999
00079,TAIN RANGE,tain-range,ross-and-cromarty,57.819,-3.967,4,1992,2018
00082,BARRA (W I),barra-w-i,western-isles,57.025,-7.449,3,1999,2007
00084,BENBECULA AIRPORT,benbecula-airport,western-isles,57.475,-7.371,6,1980,1993
00089,RHUM: KINLOCH,rhum-kinloch,inverness-shire,57.014,-6.282,5,1959,2007
00090,SKYE: PRABOST,skye-prabost,inverness-shire,57.467,-6.305,67,1983,1989
00098,FORT WILLIAM,fort-william,inverness-shire,56.809,-5.125,11,1959,1960
00099,FORT WILLIAM NO 3,fort-william-no-3,inverness-shire,56.837,-5.078,8,1960,1971
00103,AONACH MOR,aonach-mor,inverness-shire,56.822,-4.969,1130,1998,2011
00105,TULLOCH BRIDGE,tulloch-bridge,inverness-shire,56.867,-4.708,249,1993,2018
00107,FORT AUGUSTUS,fort-augustus,inverness-shire,57.144,-4.677,21,1980,1997
00110,LENTRAN,lentran,inverness-shire,57.459,-4.373,146,1978,2009
00111,DALWHINNIE NO 2,dalwhinnie-no-2,inverness-shire,56.94,-4.238,351,1980,2006
00113,AVIEMORE,aviemore,inverness-shire,57.206,-3.828,228,1983,2018
00114,DRUMNADROCHIT,drumnadrochit,inverness-shire,57.328,-4.486,53,2007,2007
00117,CAIRNGORM SUMMIT,cairngorm-summit,inverness-shire,57.116,-3.643,1237,2011,2011
00118,CAIRNGORM CHAIRLIFT,cairngorm-chairlift,inverness-shire,57.133,-3.669,663,1981,2018
00121,ACHNAGOICHAN,achnagoichan,inverness-shire,57.152,-3.798,305,1961,1974
00124,MOY,moy,inverness-shire,57.381,-4.056,305,1969,1971
00127,FORRES NO 2,forres-no-2,moray-in-grampian-region,57.615,-3.61,5,1976,2002
00131,FORRES,forres,moray-in-grampian-region,57.608,-3.597,50,1959,1976
00132,KINLOSS,kinloss,moray-in-grampian-region,57.645,-3.563,5,1961,2018
00133,ALDROUGHTY,aldroughty,moray-in-grampian-region,57.645,-3.379,30,1982,2000
00137,LOSSIEMOUTH,lossiemouth,moray-in-grampian-region,57.711,-3.323,7,1996,2015
00139,CLASHNOIR,clashnoir,banffshire,57.282,-3.287,338,1977,1981
00140,GLENLIVET,glenlivet,banffshire,57.354,-3.345,213,1957,1996
00142,"BANFF, GOLF CLUB",banff-golf-club,banffshire,57.661,-2.521,15,1989,2006
00143,BANFF NO 2,banff-no-2,banffshire,57.671,-2.523,24,1979,1988
00145,CAIRNWELL,cairnwell,aberdeenshire,56.879,-3.421,928,2011,2011
00147,BRAEMAR,braemar,aberdeenshire,57.006,-3.398,339,1982,2005
00148,BALMORAL,balmoral,aberdeenshire,57.037,-3.22,283,1997,2018
00149,BALLATER FIELD CENTRE,ballater-field-centre,aberdeenshire,57.047,-3.043,200,1998,1998
00150,ABOYNE NO 2,aboyne-no-2,aberdeenshire,57.076,-2.841,140,1992,2018
00151,DINNET,dinnet,aberdeenshire,57.109,-2.916,177,1962,1982
00160,CRAIBSTONE,craibstone,aberdeenshire,57.187,-2.215,102,1931,2018
00161,DYCE,dyce,aberdeenshire,57.205,-2.205,65,1997,2018
00163,"ABERDEEN, MANNOFIELD RESR",aberdeen-mannofield-resr,aberdeenshire,57.128,-2.14,52,2007,2007
00164,HILTON (ABERDEENSHIRE),hilton-aberdeenshire,aberdeenshire,57.165,-2.129,70,1963,1965
00165,UDNY,udny,aberdeenshire,57.299,-2.158,107,1960,1967
00167,CULTERTY NO 2,culterty-no-2,aberdeenshire,57.325,-2.003,3,1978,1999
00171,FETTERCAIRN (CRAIGMOSTON),fettercairn-craigmoston,kincardineshire,56.868,-2.566,95,1984,1984
00174,STRACHAN,strachan,kincardineshire,57.015,-2.502,120,1962,1971
00176,DURRIS,durris,kincardineshire,57.032,-2.404,107,1988,2018
00177,INVERBERVIE NO 2,inverbervie-no-2,kincardineshire,56.852,-2.266,134,1992,2018
00180,MUCHALLS,muchalls,kincardineshire,57.018,-2.17,64,1959,1965
00181,MYLNEFIELD,mylnefield,angus,56.457,-3.073,31,1959,2018
00182,AUCHTERHOUSE,auchterhouse,angus,56.538,-3.063,232,1959,1964
00183,DUNDEE,dundee,angus,56.47,-2.94,45,1959,1996
