summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":248249.29832359683,"y":664355.3510028278,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Wind Speed (m s-1)
2003-06-30,4.5522084
2003-07-01,3.6066062
2003-07-02,3.2722251
2003-07-03,3.9627447
2003-07-04,4.1366315
2003-07-05,2.7682812
2003-07-06,3.1111064
2003-07-07,3.9593053
2003-07-08,2.670339
2003-07-09,2.7658017
2003-07-10,5.0028048
2003-07-11,5.4936357
2003-07-12,3.7252746
2003-07-13,2.730034
2003-07-14,2.7290907
2003-07-15,2.9626868
2003-07-16,4.7637196
2003-07-17,3.8066988
2003-07-18,3.332961
2003-07-19,3.4898148
2003-07-20,3.8775396
2003-07-21,3.102112
2003-07-22,3.4411082
2003-07-23,4.500574
2003-07-24,5.113574
2003-07-25,3.215686
2003-07-26,2.155311
2003-07-27,3.4473972
2003-07-28,3.8070347
2003-07-29,2.969487
2003-07-30,2.427464
2003-07-31,4.324786
2003-08-01,4.277935
2003-08-02,4.3253036
2003-08-03,2.6258662
2003-08-04,1.6825892
2003-08-05,2.2037559
2003-08-06,1.9617445
2003-08-07,1.746969
2003-08-08,1.6695168
2003-08-09,2.4484134
2003-08-10,2.4450428
2003-08-11,2.1050205
2003-08-12,1.5928113
2003-08-13,4.531557
2003-08-14,3.5597525
2003-08-15,1.7787311
2003-08-16,1.0627458
2003-08-17,2.9272134
2003-08-18,4.8622327
2003-08-19,5.803674
2003-08-20,3.8440838
2003-08-21,6.358446
2003-08-22,4.422116
2003-08-23,1.5241061
2003-08-24,1.9150407
2003-08-25,2.947704
2003-08-26,2.2586036
2003-08-27,1.6352308
2003-08-28,2.4923854
2003-08-29,3.4467235
2003-08-30,2.3602319
2003-08-31,2.4579048
2003-09-01,1.6262214
2003-09-02,2.0046694
2003-09-03,1.9436817
2003-09-04,2.8963304
2003-09-05,2.750661
2003-09-06,1.794655
2003-09-07,2.9169364
2003-09-08,2.3365479
2003-09-09,3.6826935
2003-09-10,1.4230956
2003-09-11,3.7333379
2003-09-12,3.3546205
2003-09-13,5.8521495
2003-09-14,4.634405
2003-09-15,2.6123614
2003-09-16,2.5397432
2003-09-17,5.3601103
2003-09-18,3.764915
2003-09-19,2.5491695
2003-09-20,1.2710059
2003-09-21,3.0278127
2003-09-22,4.8998837
2003-09-23,3.5833032
2003-09-24,5.1088324
2003-09-25,5.7073965
2003-09-26,3.5493872
2003-09-27,1.1350688
2003-09-28,1.6868699
2003-09-29,2.9320016
2003-09-30,1.6493597
2003-10-01,1.5626786
2003-10-02,2.046373
2003-10-03,4.8617845
2003-10-04,4.800841
2003-10-05,4.5278783
2003-10-06,8.12112
2003-10-07,6.039361
2003-10-08,5.6947117
2003-10-09,6.3490405
2003-10-10,6.920923
2003-10-11,1.986691
2003-10-12,3.148482
2003-10-13,4.4526215
2003-10-14,4.526094
2003-10-15,4.159591
2003-10-16,3.4462085
2003-10-17,2.7561908
2003-10-18,2.2008758
2003-10-19,3.1262007
2003-10-20,1.7655618
2003-10-21,2.0762508
2003-10-22,3.373341
2003-10-23,1.7231301
2003-10-24,2.6396208
2003-10-25,4.131492
2003-10-26,1.4051446
2003-10-27,3.5338182
2003-10-28,3.1694102
2003-10-29,0.98033804
2003-10-30,2.5527081
2003-10-31,4.024904
2003-11-01,2.7693028
2003-11-02,5.2127523
2003-11-03,5.1497574
2003-11-04,6.3790593
2003-11-05,7.6377554
2003-11-06,4.282638
2003-11-07,3.700645
2003-11-08,5.3015556
2003-11-09,4.456478
2003-11-10,3.5156312
2003-11-11,4.985496
2003-11-12,3.3868468
2003-11-13,3.406227
2003-11-14,4.979732
2003-11-15,5.3803096
2003-11-16,2.7871563
2003-11-17,4.258116
2003-11-18,6.8662877
2003-11-19,4.2782383
2003-11-20,3.0468383
2003-11-21,2.5034666
2003-11-22,2.387934
2003-11-23,0.98242396
2003-11-24,4.1574354
2003-11-25,4.9909897
2003-11-26,4.143432
2003-11-27,5.5218954
2003-11-28,4.365433
2003-11-29,6.3636217
2003-11-30,2.2812939
2003-12-01,3.1982124
2003-12-02,2.9823422
2003-12-03,1.1603285
2003-12-04,1.533022
2003-12-05,1.7722589
2003-12-06,2.9229288
2003-12-07,1.9956123
2003-12-08,2.3821006
2003-12-09,4.0940204
2003-12-10,5.4110274
2003-12-11,2.2587376
2003-12-12,4.2314157
2003-12-13,6.9648795
2003-12-14,5.968212
2003-12-15,2.004594
2003-12-16,4.6210256
2003-12-17,4.3684106
2003-12-18,3.861814
2003-12-19,1.6864028
2003-12-20,3.8906057
2003-12-21,6.7110014
2003-12-22,3.9264865
2003-12-23,4.7856708
2003-12-24,7.066854
2003-12-25,6.1313963
2003-12-26,4.312775
2003-12-27,5.179892
2003-12-28,6.290241
2003-12-29,1.2019958
2003-12-30,1.4943147
2003-12-31,6.2201858
2004-01-01,6.30204
2004-01-02,2.2006948
2004-01-03,4.2890716
2004-01-04,2.1517658
2004-01-05,4.50306
2004-01-06,5.72821
2004-01-07,6.3651214
2004-01-08,5.962556
