summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Wind Speed (m s-1)
2007-06-30,2.286193
2007-07-01,1.3397459
2007-07-02,1.3670696
2007-07-03,2.0369828
2007-07-04,2.836423
2007-07-05,2.6317425
2007-07-06,2.8799562
2007-07-07,3.7732687
2007-07-08,2.6478543
2007-07-09,2.3107781
2007-07-10,2.4647377
2007-07-11,3.302386
2007-07-12,1.6980817
2007-07-13,1.8442556
2007-07-14,3.4885833
2007-07-15,1.2710414
2007-07-16,2.9486964
2007-07-17,1.5873895
2007-07-18,1.1252457
2007-07-19,1.4822032
2007-07-20,2.5783978
2007-07-21,0.9335744
2007-07-22,0.90774053
2007-07-23,1.1140699
2007-07-24,2.0660527
2007-07-25,3.6930714
2007-07-26,2.7214954
2007-07-27,4.3162274
2007-07-28,4.1956654
2007-07-29,3.4918125
2007-07-30,3.0758605
2007-07-31,3.1726716
2007-08-01,3.1833951
2007-08-02,2.4979775
2007-08-03,3.9551077
2007-08-04,5.0978103
2007-08-05,1.5174134
2007-08-06,3.8290405
2007-08-07,4.5430393
2007-08-08,1.5877622
2007-08-09,1.6814027
2007-08-10,1.7377326
2007-08-11,1.4692132
2007-08-12,2.342096
2007-08-13,4.6540794
2007-08-14,1.5015644
2007-08-15,3.3445916
2007-08-16,4.47951
2007-08-17,2.5939922
2007-08-18,2.8311484
2007-08-19,2.7716372
2007-08-20,1.8358
2007-08-21,2.152283
2007-08-22,1.5531996
2007-08-23,1.7403532
2007-08-24,2.6151927
2007-08-25,3.982928
2007-08-26,3.2999644
2007-08-27,2.7833886
2007-08-28,1.221884
2007-08-29,2.526513
2007-08-30,4.5666223
2007-08-31,4.5082965
2007-09-01,3.8249044
2007-09-02,3.760119
2007-09-03,2.4521005
2007-09-04,1.5816102
2007-09-05,3.0098975
2007-09-06,1.8950657
2007-09-07,2.427839
2007-09-08,2.3061593
2007-09-09,3.5813673
2007-09-10,4.3646374
2007-09-11,1.7838969
2007-09-12,1.7317975
2007-09-13,3.384601
2007-09-14,4.090285
2007-09-15,3.2054176
2007-09-16,4.7716374
2007-09-17,4.4447293
2007-09-18,3.4291315
2007-09-19,3.318217
2007-09-20,5.078034
2007-09-21,3.474873
2007-09-22,3.7303636
2007-09-23,4.9238863
2007-09-24,4.1598034
2007-09-25,4.441904
2007-09-26,2.6769264
2007-09-27,1.6683797
2007-09-28,2.1597984
2007-09-29,1.3264756
2007-09-30,0.8335751
2007-10-01,1.1710042
2007-10-02,1.7180501
2007-10-03,2.4955971
2007-10-04,2.4119442
2007-10-05,1.5058255
2007-10-06,1.0902002
2007-10-07,0.18431781
2007-10-08,1.7498246
2007-10-09,1.6065718
2007-10-10,1.1471589
2007-10-11,3.449583
2007-10-12,1.4037167
2007-10-13,2.510686
2007-10-14,2.9206707
2007-10-15,4.0917673
2007-10-16,4.2501264
2007-10-17,2.834604
2007-10-18,0.39802256
2007-10-19,1.407339
2007-10-20,1.8579128
2007-10-21,3.1670244
2007-10-22,3.4592485
2007-10-23,2.5320952
2007-10-24,1.3089879
2007-10-25,1.9844552
2007-10-26,4.1853685
2007-10-27,4.250356
2007-10-28,4.79608
2007-10-29,4.061988
2007-10-30,2.9327984
2007-10-31,5.5209765
2007-11-01,4.7170153
2007-11-02,3.9327583
2007-11-03,1.9086881
2007-11-04,1.0249199
2007-11-05,5.70707
2007-11-06,4.8825417
2007-11-07,5.896242
2007-11-08,7.8964167
2007-11-09,5.7814074
2007-11-10,6.5200033
2007-11-11,3.4958346
2007-11-12,1.2549775
2007-11-13,4.2052608
2007-11-14,0.2342918
2007-11-15,0.33908096
2007-11-16,1.8024912
2007-11-17,5.2374144
2007-11-18,1.3905418
2007-11-19,5.408791
2007-11-20,2.976314
2007-11-21,2.6200595
2007-11-22,4.403615
2007-11-23,2.0273743
2007-11-24,7.6385174
2007-11-25,2.7727463
2007-11-26,0
2007-11-27,2.36106
2007-11-28,3.3173854
2007-11-29,4.2609897
2007-11-30,2.6796749
2007-12-01,5.689851
2007-12-02,2.813333
2007-12-03,4.39387
2007-12-04,5.297835
2007-12-05,8.055582
2007-12-06,5.3954554
2007-12-07,6.55997
2007-12-08,4.3610096
2007-12-09,3.3451478
2007-12-10,2.236477
2007-12-11,1.2410393
2007-12-12,4.203347
2007-12-13,5.046117
2007-12-14,4.072736
2007-12-15,3.684987
2007-12-16,3.1502142
2007-12-17,2.034263
2007-12-18,1.5835754
2007-12-19,1.0240456
2007-12-20,1.6786239
2007-12-21,1.0215182
2007-12-22,2.1971817
2007-12-23,4.6810493
2007-12-24,3.1857228
2007-12-25,2.795614
2007-12-26,6.679568
2007-12-27,6.685544
2007-12-28,4.9438577
2007-12-29,4.4991255
2007-12-30,0.9515052
2007-12-31,2.6843438
2008-01-01,0.763447
2008-01-02,3.873166
2008-01-03,4.5181966
2008-01-04,3.8398566
2008-01-05,6.146279
2008-01-06,4.0237513
2008-01-07,3.7362783
2008-01-08,4.975403
2008-01-09,9.495467
2008-01-10,2.8730433
2008-01-11,1.1861413
2008-01-12,1.3370143
2008-01-13,4.7066255
2008-01-14,1.9173186
2008-01-15,1.9913665
2008-01-16,1.2504809
2008-01-17,2.97085
2008-01-18,6.4812965
2008-01-19,3.2603805
2008-01-20,1.8925422
2008-01-21,2.128248
2008-01-22,2.858429
2008-01-23,5.2580037
2008-01-24,7.6970286
2008-01-25,10.011706
2008-01-26,7.60812
2008-01-27,5.660466
2008-01-28,5.414233
2008-01-29,3.3241377
2008-01-30,5.8538613
2008-01-31,10.939523
2008-02-01,7.9296904
2008-02-02,4.7080474
2008-02-03,7.7142024
2008-02-04,5.032006
2008-02-05,1.863074
2008-02-06,3.1401153
2008-02-07,6.2789273
2008-02-08,7.0099015
2008-02-09,4.787854
2008-02-10,0.96841085
2008-02-11,1.8105822
2008-02-12,0.8260271
2008-02-13,0.11964618
2008-02-14,2.168969
2008-02-15,1.5059861
2008-02-16,1.7747203
2008-02-17,0.7668867
2008-02-18,0.22926031
2008-02-19,0.9639563
2008-02-20,3.5343654
2008-02-21,8.848714
2008-02-22,8.607437
2008-02-23,7.38005
2008-02-24,5.8049445
2008-02-25,7.096102
2008-02-26,9.178069
2008-02-27,4.561411
2008-02-28,3.6356587
2008-02-29,8.537516
2008-03-01,7.430447
2008-03-02,5.7157726
2008-03-03,3.7234263
2008-03-04,1.4365985
2008-03-05,5.3421893
2008-03-06,6.4800315
2008-03-07,6.253267
2008-03-08,7.50181
2008-03-09,4.5948963
2008-03-10,4.2471538
2008-03-11,5.3902984
2008-03-12,7.9729896
2008-03-13,4.6175184
2008-03-14,2.859716
2008-03-15,2.5526514
2008-03-16,3.427193
2008-03-17,1.574596
2008-03-18,1.7117761
2008-03-19,2.0145547
2008-03-20,7.261648
2008-03-21,7.9040766
2008-03-22,4.9370527
2008-03-23,3.1269486
2008-03-24,4.0903807
2008-03-25,2.7782915
2008-03-26,1.4934593
2008-03-27,1.8204064
2008-03-28,5.3135777
2008-03-29,5.186234
2008-03-30,2.7353754
2008-03-31,2.4516814
2008-04-01,7.436768
2008-04-02,2.431533
2008-04-03,2.450794
2008-04-04,4.157264
2008-04-05,4.5847225
2008-04-06,4.60347
2008-04-07,3.057124
2008-04-08,1.3691572
2008-04-09,1.5720124
2008-04-10,1.6978773
2008-04-11,1.0677683
2008-04-12,1.3163898
2008-04-13,1.6486816
2008-04-14,2.8679316
2008-04-15,2.0144508
2008-04-16,3.0850816
2008-04-17,5.0456142
2008-04-18,5.6282387
2008-04-19,4.9166303
2008-04-20,4.6475687
2008-04-21,3.4597573
2008-04-22,3.5678053
2008-04-23,1.8543906
2008-04-24,3.2352433
2008-04-25,3.7300243
2008-04-26,4.575789
2008-04-27,1.0291604
2008-04-28,0.9256504
2008-04-29,1.3883481
2008-04-30,2.8398144
2008-05-01,2.1241353
2008-05-02,2.4822888
2008-05-03,3.3020926
2008-05-04,3.2384663
2008-05-05,1.4875444
2008-05-06,2.2287614
2008-05-07,1.9928418
2008-05-08,2.6401577
2008-05-09,1.967243
2008-05-10,1.0943282
2008-05-11,1.5247374
2008-05-12,3.3292413
2008-05-13,3.1052992
2008-05-14,2.2945123
2008-05-15,1.7941109
2008-05-16,0.96106434
2008-05-17,2.682289
2008-05-18,1.5819451
2008-05-19,1.540344
2008-05-20,1.6844467
2008-05-21,2.805473
2008-05-22,3.7141514
2008-05-23,3.9236414
2008-05-24,4.0726657
2008-05-25,4.595561
2008-05-26,4.5508485
2008-05-27,4.919138
2008-05-28,2.6797092
2008-05-29,1.6156294
2008-05-30,0.6880654
2008-05-31,1.0591646
2008-06-01,1.2307245
2008-06-02,0.4242284
2008-06-03,1.4314543
2008-06-04,2.5764859
2008-06-05,1.0529213
2008-06-06,1.4774164
2008-06-07,1.0308354
2008-06-08,1.8882892
2008-06-09,3.6705756
2008-06-10,4.4390874
2008-06-11,3.523012
2008-06-12,3.0869997
2008-06-13,3.2173483
2008-06-14,3.1295495
2008-06-15,2.2617836
2008-06-16,2.0149508
2008-06-17,3.5005524
2008-06-18,3.3167968
2008-06-19,4.0497713
2008-06-20,3.3520494
2008-06-21,2.5067503
2008-06-22,4.77917
2008-06-23,2.899232
2008-06-24,2.100301
2008-06-25,4.3862734
2008-06-26,4.395295
2008-06-27,3.4499896
2008-06-28,3.7289345
2008-06-29,4.2453647
2008-06-30,3.5883493
