Timestamp,Value
Jan 2010,45.4
Feb 2010,76.4
Mar 2010,96.8
Apr 2010,25
May 2010,39.2
Jun 2010,26.8
Jul 2010,67.4
Aug 2010,35
Sep 2010,62
Oct 2010,56
Nov 2010,102
Dec 2010,55
Jan 2011,42.8
Feb 2011,75
Mar 2011,45.8
Apr 2011,8.6
May 2011,50
Jun 2011,74.8
Jul 2011,80.2
Aug 2011,189
Sep 2011,65.2
Oct 2011,71.6
Nov 2011,33.4
Dec 2011,37.6
Jan 2012,20
Feb 2012,10
Mar 2012,13.2
Apr 2012,112.8
May 2012,82.6
Jun 2012,103.4
Jul 2012,121
Aug 2012,54.6
Sep 2012,86.6
Oct 2012,80.4
Nov 2012,51.8
Dec 2012,71
Jan 2013,57.2
Feb 2013,23.4
Mar 2013,54.2
Apr 2013,15.4
May 2013,54
Jun 2013,28
Jul 2013,77.6
Aug 2013,32.2
Sep 2013,67.4
Oct 2013,6.4
Nov 2013,23.2
Dec 2013,92.6
Jan 2014,53.2
Feb 2014,70.4
Mar 2014,28.6
Apr 2014,60.6
May 2014,62.4
Jun 2014,73.6
Jul 2014,41.8
Aug 2014,100.6
Sep 2014,21
Oct 2014,92.6
Nov 2014,51.8
Dec 2014,50.2
Jan 2015,47.4
Feb 2015,19.8
Mar 2015,43.6
Apr 2015,23.6
May 2015,69.8
Jun 2015,29.2
Jul 2015,105
Aug 2015,33
Sep 2015,25.8
Oct 2015,23.6
Nov 2015,123.4
Dec 2015,112.2
Jan 2016,130
Feb 2016,50.4
Mar 2016,29.4
Apr 2016,45.6
May 2016,22.8
Jun 2016,57.6
Jul 2016,59.8
Aug 2016,47.4
Sep 2016,36
Oct 2016,57
Nov 2016,63.4
Dec 2016,44
Jan 2017,25.6
Feb 2017,53
Mar 2017,39.4
Apr 2017,7.4
May 2017,17.8
Jun 2017,209.8
Jul 2017,60.2
Aug 2017,63.4
Sep 2017,64.2
Oct 2017,36
Nov 2017,44.2
Dec 2017,38.4
Jan 2018,57.2
Feb 2018,16.6
Mar 2018,78.2
Apr 2018,55.6
May 2018,16
Jun 2018,38.2
Jul 2018,26.6
Aug 2018,65
Sep 2018,60.6
Oct 2018,35.4
Nov 2018,53
Dec 2018,27.2
Jan 2019,10.2
Feb 2019,13.6
Mar 2019,39.2
Apr 2019,32
May 2019,177.6
Jun 2019,118.2
Jul 2019,213
Aug 2019,116.4
Sep 2019,57
Oct 2019,89.4
Nov 2019,105.4
Dec 2019,11.4
