Timestamp,Value
Jan 2010,28.8
Feb 2010,41.8
Mar 2010,18.8
Apr 2010,26.4
May 2010,21.6
Jun 2010,25.6
Jul 2010,95.6
Aug 2010,84.6
Sep 2010,105.2
Oct 2010,115.8
Nov 2010,7.8
Dec 2010,2.2
Jan 2011,0
Feb 2011,56
Mar 2011,91.4
Apr 2011,30
May 2011,108
Jun 2011,100
Jul 2011,86
Aug 2011,117.2
Sep 2011,92
Oct 2011,134.4
Nov 2011,105.2
Dec 2011,127.8
Jan 2012,76.2
Feb 2012,16.8
Mar 2012,28.6
Apr 2012,75.4
May 2012,64.8
Jun 2012,106.4
Jul 2012,135.6
Aug 2012,133.4
Sep 2012,94.6
Oct 2012,103
Nov 2012,83.6
Dec 2012,156.6
Jan 2013,20.6
Feb 2013,2.6
Mar 2013,45.4
Apr 2013,59.8
May 2013,53.4
Jun 2013,31.6
Jul 2013,99.2
Aug 2013,46
Sep 2013,55.8
Oct 2013,170
Nov 2013,54.2
Dec 2013,167.4
Jan 2014,119.2
Feb 2014,105.2
Mar 2014,99.8
Apr 2014,89
May 2014,70.6
Jun 2014,76.8
Jul 2014,50.2
Aug 2014,109.6
Sep 2014,8.6
Oct 2014,80.6
Nov 2014,57
Dec 2014,55
Jan 2015,371.4
Feb 2015,83.2
Mar 2015,62.6
Apr 2015,22.6
May 2015,99.2
Jun 2015,51.6
Jul 2015,140.8
Aug 2015,47.4
Sep 2015,0.4
Oct 2015,68
Nov 2015,78.6
Dec 2015,51.4
Jan 2016,72.6
Feb 2016,96.2
Mar 2016,29.6
Apr 2016,69.6
May 2016,59.2
Jun 2016,76.6
Jul 2016,107.2
Aug 2016,79.4
Sep 2016,106.2
Oct 2016,2.2
Nov 2016,1.4
Dec 2016,80.6
Jan 2017,39
Feb 2017,99.8
Mar 2017,95.8
Apr 2017,7.2
May 2017,42.8
Jun 2017,118
Jul 2017,79.2
Aug 2017,118.6
Sep 2017,95
Oct 2017,73.2
Nov 2017,45.6
Dec 2017,70.8
Jan 2018,134.4
Feb 2018,42.8
Mar 2018,72.6
Apr 2018,52
May 2018,23.8
Jun 2018,51.8
Jul 2018,62
Aug 2018,76.8
Sep 2018,84.4
Oct 2018,56
Nov 2018,127.4
Dec 2018,72.4
Jan 2019,16.8
Feb 2019,49.4
Mar 2019,89
Apr 2019,52.8
May 2019,71.2
Jun 2019,95.6
Jul 2019,107.2
Aug 2019,165.4
Sep 2019,109.6
Oct 2019,83.4
Nov 2019,81.4
Dec 2019,29.2
