Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement	Start_Date	End_Date	Minimum_Temperature_(_C)	Average_Temperature__(_C)_	Maximum_Temperature_(_C)	Approx._Ave._Flow_Rate_(L/s)	Approx._Depth_to_water_(mBGL)	Approx._Depth_of_Sensor_(mBGL)	Ave._Iron_(Total)_(mg/L)	Ave._EC_(us/cm_25_'C)	Ave._Chloride_(mg/L)	Ave._Sulphate_(mg/L)	Ave._pH	Comments	File_location_link
A_Winning	DC_shaft	500.1	Y	East_Midlands	443608	357743	Shaft	ECT_Log_2009	24-Sep-09	24-Sep-09	13.5	16.6	17.1									Range_of_log_from_52.3mBGL_to_265.9mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\A_Winning
A_Winning_	Consented_Discharge_	500.1	Y	East_Midlands_	443608	357743	Pumped_Passive_	Logger_data	05-Jun-18	15-Jul-19	7.0	14.2	23.1			1						site_ref_should_be_500.7_-_CHECK_and_correct	J:\Environment\Technical_Team\Wisdom_working\CA08_Environment\31_Mine_Water_Projects_and_Schemes_-_Coal\A_Winning
A_Winning_	Cascade	500.3	Y	East_Midlands	443790	357640	Pumped_Passive_	Temperature_logger_	18-Jul-18	17-Oct-18	16.5	17.2	18.0			1						Data_taken_from_29/08/2018_to_09/10/2018_as_other_data_contained_errors_	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\A_Winning_Cascade
A_Winning_	DC_Shaft	500.1	Y	East_Midlands_	443608	357743	Pumped_Passive_	Logger_data	15-Aug-19	30-Sep-19	17.0	17.1	17.1			tbc							J:\Environment\Technical_Team\STS_Coal_Loggers\A_Winning_L500\DC_Shaft_Logger
Acomb	Deferum_inlet	378.1	Y	North_East	392565	566160	Gravity_discharge	On_Site_Testing	17-Nov-11	31-Aug-12	9.4	12.3	15.0	15	0							Deferum_inlet_is_a_feed_from_the_adit_discharge_pumped_water._Water_pumped_from_sump.	
Algernon_	Main_Coal_B/H	279.10	Y	North_East	432413	569267	Borehole_	Temperature_logger_	07-Jun-18	14-Jun-19	10.9	10.9	11.2		29							Gap_between_Oct_2018_to_April_2019_	J:\Environment\Technical_Team\STS_Coal_Loggers\Algernon_L279
Aspull_Sough	Sough	328.4	Y	North_West_	359640	407120	Pumped	On_Site_Testing	08-Sep-11	08-Sep-11	11.8	11.9	12.7								7		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Cascade_(Aeration)_Report
Babbington	No.4_Shaft	667.1	Y	East_Midlands_	453202	343710	Shaft_	Logger_Data_	25-Apr-16	16-Jul-19	12.1	12.4	13.9		80								J:\Environment\Technical_Team\STS_Coal_Loggers\Babbington_BH_L759
Balgone_Dalginch	Dysart_Main_B/H	493.1	Y	Scotland	330614	701393	Borehole_	Logger_Data_	18-Oct-16	15-Jul-19	9.3	9.3	9.5		60								J:\Environment\Technical_Team\STS_Coal_Loggers\Balgonie_Dalginch_L493
Balgone_Muirespot	Dysart_Main_B/H	492.1	Y	Scotland	330500	699400	Borehole_	Logger_Data_	18-Oct-16	14-Jul-19	9.3	10.5	10.7		64								J:\Environment\Technical_Team\STS_Coal_Loggers\Balgonie_Muirespot_L492
