Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement
A_Winning	DC_shaft	500.1	Y	East_Midlands	443608	357743	Shaft	ECT_Log_2009
A_Winning_	Consented_Discharge_	500.1	Y	East_Midlands_	443608	357743	Pumped_Passive_	Logger_data
A_Winning_	Cascade	500.3	Y	East_Midlands	443790	357640	Pumped_Passive_	Temperature_logger_
A_Winning_	DC_Shaft	500.1	Y	East_Midlands_	443608	357743	Pumped_Passive_	Logger_data
Acomb	Deferum_inlet	378.1	Y	North_East	392565	566160	Gravity_discharge	On_Site_Testing
Algernon_	Main_Coal_B/H	279.10	Y	North_East	432413	569267	Borehole_	Temperature_logger_
Aspull_Sough	Sough	328.4	Y	North_West_	359640	407120	Pumped	On_Site_Testing
Babbington	No.4_Shaft	667.1	Y	East_Midlands_	453202	343710	Shaft_	Logger_Data_
Balgone_Dalginch	Dysart_Main_B/H	493.1	Y	Scotland	330614	701393	Borehole_	Logger_Data_
Balgone_Muirespot	Dysart_Main_B/H	492.1	Y	Scotland	330500	699400	Borehole_	Logger_Data_
Balgonie_Dalginch_BH	Borehole_water_level	492.1	Y	Scotland	330500	699400	Monitoring_borehole	Water_Level_Logger
Bates	No.2_Shaft_Log	11.1	Y	North_East	430619	582281	Pumped	ECT_Log_2010
Bates	Cascade	11.25	Y	North_East	430388	582397	Pumped	Temperature_logger
Bates	No.3_Shaft_Log	11.2	Y	North_East	430496	582255	Pumped	ECT_Log_2010
Bates	No.2_Shaft_Log	11.1	Y	North_East	430619	582281	Pumped	Water_level_logger
Bates	No.3_Shaft_Log	11.2	Y	North_East	430496	582255	Pumped	Water_level_logger
Betws	Road_Discharge	7.3	Y	South_Wales	264701	211243	Gravity_Discharge	On_Site_Testing
Bilston_Glen_	Shaft_1_Downcast_Shaft	432.1	Y	Scotland	327269	665076	Shaft_	ETC_Log_2019_
Blackclough_Waterloose	Downstream_Weir_	544.3	Y	North_West_	386641	427863	Gravity_discharge	On_Site_Testing
Blackclough_Waterloose	Discharge	544.2	Y	North_West_	386540	427685	Gravity_Discharge	On_Site_Testing
Blackvein	Forest_Discharge	594.1	Y	South_Wales	322629	191283	Passive	On_Site_Testing
Blackvein	Floodplain_Discharge	594.1	Y	South_Wales	322629	191283	Passive	On_Site_Testing
Blackwood_(Scotland)			Y	Scotland	280300	643200	Not_Monitored	On_Site_Testing
