#Written	by	Robertson	Geologging	WinLogger	V1.0/370					
~VERSION	INFORMATION									
#------------------------------------------------------------------------------										
	VERS.	2	:	CWLS	LOG	ASCII	STANDARD	-	VERSION	2
	WRAP.	NO	:	ONE	LINE	PER	DEPTH	STEP		
~WELL	INFORMATION									
#MNEM.UNIT	DATA	DESCRIPTION	OF	MNEMONIC						
#------------------------------------------------------------------------------										
	STRT.M	0.06	:	START	DEPTH					
	STOP.M	253.12	:	STOP	DEPTH					
	STEP.M	0.01	:	STEP	VALUE					
	NULL.	-999.25	:	NULL	VALUE					
	COMP.	WHITE	YOUN	GREEN	:	COMPANY	NAME			
	WELL.	MAINSFORTH	SHAFT	:	WELL	NAME				
	FLD.	MAINSFORTH	:	FIELD	NAME					
	LOC.	N/A	:	LOCATION						
	PROV.	N/A	:	PROVINCE		
	SRVC.	N/A	:	SERVICE	COMPANY	NAME
	DATE.	15	Dec	6	:	DATE
	UWI.	N/A	:	UNIQUE	WELL	IDENTIFIER
~PARAMETER	INFORMATION					
#MNEMO.UNIT	VALUE	DESCRIPTION	OF	MNEMONIC		
#------------------------------------------------------------------------------						
~OTHER	INFORMATION	SECTION				
#------------------------------------------------------------------------------						
	lLOGGING	DOWN				
~CURVE	INFORMATION					
#MNEMO.UNIT	API	CODE	CURVE	DESCRIPTION		
#------------------------------------------------------------------------------						
	DEPTH.M	:	0	Depth		
	TEMP.DegC	:	1	Temperature		
	CN25.mS/cm	:	2	Conductivity@25DegC		
	COND.mS/cm	:	3	Conductivity			
	DELT.DegC	:	4	Delta	T		
	DELC.mS/cm	:	5	Delta	C		
	NGAM.CPS	:	6	Natural	Gamma		
#------------------------------------------------------------------------------							
~A	DEPTH	TEMP	CN25	COND	DELT	DELC	NGAM
	0.06	0	15.89	0	0	0	0
	0.07	0	15.89	0	0	0	0
	0.08	0	15.89	0	0	0	0
	0.09	0	15.89	0	0	0	0
	0.1	0	15.89	0	0	0	0
	0.11	0	15.89	0	0	0	0
	0.12	0	15.89	0	0	0	0
	0.13	0	15.89	0	0	0	0
	0.14	0	15.89	0	0	0	0
	0.15	0	15.89	0	0	0	0
	0.16	0	15.89	0	0	0	0
	0.17	0	15.89	0	0	0	0
	0.18	0	15.89	0	0	0	0
	0.19	0	15.89	0	0	0	0
	0.2	0	15.89	0	0	0	0
	0.21	0	15.89	0	0	0	0
	0.22	0	15.89	0	0	0	0
	0.23	0	15.89	0	0	0	0
	0.24	0	15.89	0	0	0	0
	0.25	0	15.89	0	0	0	0
	0.26	0	15.89	0	0	0	0
	0.27	0	15.89	0	0	0	0
	0.28	0	15.89	0	0	0	0
	0.29	0	15.89	0	0	0	0
	0.3	0	15.89	0	0	0	0
	0.31	0	15.89	0	0	0	0
	0.32	0	15.89	0	0	0	0
	0.33	0	15.89	0	0	0	0
	0.34	0	15.89	0	0	0	0
	0.35	0	15.89	0	0	0	0
	0.36	0	15.89	0	0	0	0
	0.37	0	15.89	0	0	0	0
	0.38	0	15.89	0	0	0	0
	0.39	0	15.89	0	0	0	0
	0.4	0	15.89	0	0	0	0
	0.41	0	15.89	0	0	0	0
	0.42	0	15.89	0	0	0	0
	0.43	0	15.89	0	0	0	0
	0.44	0	15.89	0	0	0	0
	0.45	0	15.89	0	0	0	0
	0.46	0	15.89	0	0	0	0
	0.47	0	15.89	0	0	0	0
	0.48	0	15.89	0	0	0	0
	0.49	0	15.89	0	0	0	0
	0.5	0	15.89	0	0	0	0
	0.51	0	15.89	0	0	0	0
	0.52	0	15.89	0	0	0	0
	0.53	0	15.89	0	0	0	0
	0.54	0	15.89	0	0	0	0
	0.55	0	15.89	0	0	0	0
	0.56	0	15.89	0	0	0	0
	0.57	0	15.89	0	0	0	0
	0.58	0	15.89	0	0	0	0
	0.59	0	15.89	0	0	0	0
	0.6	0	15.89	0	0	0	0
	0.61	0	15.89	0	0	0	0
	0.62	0	15.89	0	0	0	0
	0.63	0	15.89	0	0	0	0
	0.64	0	15.89	0	0	0	0
	0.65	0	15.89	0	0	0	0
	0.66	0	15.89	0	0	0	0
	0.67	0	15.89	0	0	0	0
	0.68	0	15.89	0	0	0	0
	0.69	0	15.89	0	0	0	0
	0.7	0	15.89	0	0	0	0
	0.71	0	15.89	0	0	0	0
	0.72	0	15.89	0	0	0	0
	0.73	0	15.89	0	0	0	0
	0.74	0	15.89	0	0	0	0
	0.75	0	15.89	0	0	0	0
	0.76	0	15.89	0	0	0	0
	0.77	0	15.89	0	0	0	0
	0.78	0	15.89	0	0	0	0
	0.79	0	15.89	0	0	0	0
	0.8	0	15.89	0	0	0	0
	0.81	0	15.89	0	0	0	0
	0.82	0	15.89	0	0	0	0
	0.83	0	15.89	0	0	0	0
	0.84	0	15.89	0	0	0	0
	0.85	0	15.89	0	0	0	0
	0.86	0	15.89	0	0	0	0
	0.87	0	15.89	0	0	0	0
	0.88	0	15.89	0	0	0	0
	0.89	0	15.89	0	0	0	0
	0.9	0	15.89	0	0	0	0
	0.91	0	15.89	0	0	0	0
	0.92	0	15.89	0	0	0	0
	0.93	0	15.89	0	0	0	0
	0.94	0	15.89	0	0	0	0
	0.95	0	15.89	0	0	0	0
	0.96	0	15.89	0	0	0	0
	0.97	0	15.89	0	0	0	0
	0.98	0	15.89	0	0	0	0
	0.99	0	15.89	0	0	0	0
	1	0	15.89	0	0	0	0
	1.01	0	15.89	0	0	0	0
	1.02	0	15.89	0	0	0	0
	1.03	0	15.89	0	0	0	0
	1.04	0	15.89	0	0	0	0
	1.05	0	15.89	0	0	0	0
	1.06	0	15.89	0	0	0	0
	1.07	0	15.89	0	0	0	0
