DEPTH.M	:	0	Depth			
TEMP.DegC	:	1	Temperature			
CN25.mS/cm	:	2	Conductivity@25DegC			
COND.mS/cm	:	3	Conductivity			
DELT.DegC	:	4	Delta	T		
DELC.mS/cm	:	5	Delta	C		
NGAM.CPS	:	6	Natural	Gamma		

DEPTH	TEMP	CN25	COND	DELT	DELC	NGAM
44.06	0	15.89	0	0	0	0
44.07	0	15.89	0	0	0	0
44.08	0	15.89	0	0	0	0
44.09	0	15.89	0	0	0	0
44.1	0	15.89	0	0	0	0
44.11	0	15.89	0	0	0	0
44.12	0	15.89	0	0	0	0
44.13	0	15.89	0	0	0	0
44.14	0	15.89	0	0	0	0
44.15	0	15.89	0	0	0	0
44.16	0	15.89	0	0	0	0
44.17	0	15.89	0	0	0	0
44.18	0	15.89	0	0	0	0
44.19	0	15.89	0	0	0	0
44.2	0	15.89	0	0	0	0
44.21	0	15.89	0	0	0	0
44.22	0	15.89	0	0	0	0
44.23	0	15.89	0	0	0	0
44.24	0	15.89	0	0	0	0
44.25	0	15.89	0	0	0	0
44.26	0	15.89	0	0	0	0
44.27	0	15.89	0	0	0	0
44.28	0	15.89	0	0	0	0
44.29	0	15.89	0	0	0	0
44.3	0	15.89	0	0	0	0
44.31	0	15.89	0	0	0	0
44.32	0	15.89	0	0	0	0
44.33	0	15.89	0	0	0	0
44.34	0	15.89	0	0	0	0
44.35	0	15.89	0	0	0	0
44.36	0	15.89	0	0	0	0
44.37	0	15.89	0	0	0	0
44.38	0	15.89	0	0	0	0
44.39	0	15.89	0	0	0	0
44.4	0	15.89	0	0	0	0
44.41	0	15.89	0	0	0	0
44.42	0	15.89	0	0	0	0
44.43	0	15.89	0	0	0	0
44.44	0	15.89	0	0	0	0
44.45	0	15.89	0	0	0	0
44.46	0	15.89	0	0	0	0
44.47	0	15.89	0	0	0	0
44.48	0	15.89	0	0	0	0
44.49	0	15.89	0	0	0	0
44.5	0	15.89	0	0	0	0
44.51	0	15.89	0	0	0	0
44.52	0	15.89	0	0	0	0
44.53	0	15.89	0	0	0	0
44.54	0	15.89	0	0	0	0
44.55	0	15.89	0	0	0	0
44.56	0	15.89	0	0	0	0
44.57	0	15.89	0	0	0	0
44.58	0	15.89	0	0	0	0
44.59	0	15.89	0	0	0	0
44.6	0	15.89	0	0	0	0
44.61	0	15.89	0	0	0	0
44.62	0	15.89	0	0	0	0
