Site,Measurement location,Coal,Region,Easting,Northing,grid ref,Type of site,Type of measurement,Start Date,End Date,Minimum Temperature ( C),Average Temperature  ( C) ,Maximum Temperature ( C),Gradient,Approx. Ave. Flow Rate (L/s),Water level (mAOD),Approx. Depth to water (mBGL),Approx. Depth of Sensor (mBGL),Comments
A Winning,DC shaft,Y,East Midlands,443608,357743,SK4360857743,Shaft,ECT Log 2009,24-sept-09,24-sept-09,15.6,16.8,17.1,-0.01,,47,6,,Range of log from 52.3mBGL to 265.9mBGL (-155.635mAOD). Min T at water level 
A Winning ,Consented Discharge ,Y,East Midlands ,443608,357743,SK4360857743,Pumped Passive ,Logger data,05-juin-18,15-juil-19,7.0,14.2,23.1,,,,,1,site ref should be 500.7 - CHECK and correct
A Winning ,DC Shaft,Y,East Midlands ,443608,357743,SK4360857743,Pumped Passive ,Logger data,15-août-19,30-sept-19,17.0,17.1,17.1,,,,,tbc,
A Winning ,Cascade,Y,East Midlands,443790,357640,SK4379057640,Pumped Passive ,Temperature logger ,18-juil-18,17-oct-18,16.5,17.2,18.0,,,,,1,Data taken from 29/08/2018 to 09/10/2018 as other data contained errors 
Acomb,Deferum inlet,Y,North East,392565,566160,,Gravity discharge,On Site Testing,17-nov-11,31-août-12,9.4,12.3,15.0,,15,,,,Deferum inlet is a feed from the adit discharge pumped water. Water pumped from sump.
Algernon ,Main Coal B/H,Y,North East,432413,569267,NZ3241369267,Borehole ,Temperature logger ,07-sept-16,14-juin-19,10.9,10.9,11.2,,,35.3,29,,Gap between Oct 2018 to April 2019 
Aspull Sough,Sough,Y,North West ,359640,407120,SD5964007120,Pumped,On Site Testing,08-sept-11,08-sept-11,11.8,11.9,12.7,,,,,,
Babbington,No.4 Shaft,Y,East Midlands ,453202,343710,SK5320243710,Shaft ,Logger Data ,25-avr-16,16-juil-19,12.1,12.4,13.9,,,,80,,
Balgone Dalginch,Dysart Main B/H,Y,Scotland,330614,701393,NO3061401393,Borehole ,Logger Data ,18-oct-16,15-juil-19,9.3,9.3,9.5,,,,60,,
Balgone Muirespot,Dysart Main B/H,Y,Scotland,330500,699400,NT3050099400,Borehole ,Logger Data ,18-oct-16,14-juil-19,9.3,10.5,10.7,,,,64,,
