Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1910,-1.2,0.1,1.7,1.5,5.1,7.7,8.5,9.7,7.1,5.8,-1.4,2.8,---,2.79,8.64,3.86,3.98
1911,1.4,0.5,0.7,2.3,5.9,7.4,9.9,10.4,6.8,3.4,1.7,2.4,1.57,2.96,9.28,3.95,4.43
1912,-0.3,0.3,2.3,3,5.1,8.4,9.3,7.3,5.6,3.5,2.2,1.6,0.83,3.49,8.3,3.74,4.04
1913,0.5,1,0.8,2.2,5,8,8.4,8.3,7.4,5.8,3.9,1.4,1.05,2.65,8.24,5.67,4.4
1914,0.3,2,0.5,3.5,4.6,7.7,9.4,9.5,7.4,5.3,2.5,0.2,1.18,2.86,8.87,5.07,4.41
1915,0,-0.1,0.3,2.4,3.3,7,8.6,9.6,7.2,4.3,-1.6,0.4,0.01,2,8.4,3.34,3.48
1916,3.4,-0.1,-0.7,2.8,4.9,6.3,9.5,10,7.7,5.2,3.7,0.1,1.25,2.3,8.64,5.54,4.41
1917,-0.6,-1.2,-1.2,0,5.3,7.4,9.2,10.6,8.7,2.5,4.2,-0.6,-0.57,1.38,9.07,5.1,3.71
1918,-0.8,3.2,0.8,1.1,6.2,6.7,8.8,10.5,5.3,4.8,1.5,2.4,0.5,2.74,8.68,3.91,4.24
1919,0.3,-1.7,-1.7,2.4,6.5,7.4,7.8,8.9,6.8,4.1,-1.2,1.1,0.43,2.39,8.04,3.23,3.43
1920,0.4,1.8,2,2.4,5.4,7.9,8.5,8.2,7.5,5.8,4.4,0.5,1.12,3.31,8.24,5.93,4.6
1921,2.4,1.4,2,2.3,4.6,7.4,10.2,8.6,8.1,7.7,1.6,2.9,1.44,2.99,8.79,5.83,4.98
1922,0.3,0.8,0.4,-0.5,5.2,7.1,7.8,8,6.3,3.5,2.6,2.5,1.34,1.71,7.64,4.12,3.68
1923,2.8,1.4,1.6,1.8,3.1,6.8,10.8,8.9,6.9,5.4,-0.1,0.4,2.28,2.18,8.87,4.05,4.18
