/* DATA DESCRIPTION:
Citation:	Oxburgh, E R; Richardson, S W; Wright, S; Jones, M Q W; Penney, S R; Watson, Sue Ann; Bloomer, J R (1980): Component parts of the World Heat Flow Data Collection. PANGAEA, https://doi.org/10.1594/PANGAEA.805371
Related to:	International Heat Flow Commission, I H F C (2012): Global Heat Flow Database. The Global Heat Flow Database of the International Heat Flow Commission (IHFC), University of North Dakota, USA; (data copied, 2012-10), http://www.heatflow.und.edu/index2.html
	Oxburgh, E R; Richardson, S W; Wright, S; Jones, M Q W; Penney, S R; Watson, Sue Ann; Bloomer, J R (1980): Heat Flow Pattern of the United Kingdom. In: Strub, A S; Ungemach, P (eds.), Advances in European Geothermal Research, Springer Netherlands, 4, 447-455, https://doi.org/10.1007/978-94-009-9059-3_39
Further details:	Jessop, Alan M; Hobart, Michael A; Sclater, John G (1976): The World Heat Flow Data Collection - 1975. Geological Survey of Canada, Earth Physics Branch, Geothermal Series, 5, 10 pp, hdl:10013/epic.40176.d002
Coverage:	LATITUDE: 53.468300 * LONGITUDE: -0.305000
	MINIMUM ELEVATION: 107 m a.s.l. * MAXIMUM ELEVATION: 107 m a.s.l.
Parameter(s):	Area/locality (Area) * PI: Oxburgh, E R
	Sample, optional label/labor no (Lab no) * PI: Oxburgh, E R
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	ELEVATION [m a.s.l.] (Elevation) * GEOCODE
	Depth, bottom/max [m] (Depth bot) * PI: Oxburgh, E R * COMMENT: Maximum depth
	Number of conductivity measurements (No Cond) * PI: Oxburgh, E R
	Heat flow [mW/m**2] (HF) * PI: Oxburgh, E R
	Number (No) * PI: Oxburgh, E R * COMMENT: Number of individual sites
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	6 data points
*/
Area	Lab no	Latitude	Longitude	Elevation [m a.s.l.]	Depth bot [m]	No Cond	HF [mW/m**2]	No
United Kingdom	Nettleton Botton	53.4683	-0.305	107	520	400	67	1
