summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2009-06-30,292.29938
2009-07-01,293.20703
2009-07-02,294.1205
2009-07-03,290.70483
2009-07-04,289.6524
2009-07-05,289.5833
2009-07-06,288.17346
2009-07-07,287.91397
2009-07-08,286.68948
2009-07-09,286.41644
2009-07-10,286.08725
2009-07-11,287.70023
2009-07-12,287.7129
2009-07-13,287.46707
2009-07-14,288.04108
2009-07-15,288.36005
2009-07-16,288.11813
2009-07-17,287.54947
2009-07-18,287.08734
2009-07-19,286.90836
2009-07-20,286.95102
2009-07-21,287.43228
2009-07-22,288.16034
2009-07-23,288.41016
2009-07-24,287.51135
2009-07-25,286.61465
2009-07-26,287.88388
2009-07-27,287.949
2009-07-28,287.32895
2009-07-29,287.81857
2009-07-30,286.4909
2009-07-31,286.56152
2009-08-01,288.3079
2009-08-02,287.76675
2009-08-03,287.99203
2009-08-04,290.53943
2009-08-05,289.69513
2009-08-06,288.70035
2009-08-07,287.87054
2009-08-08,287.79504
2009-08-09,288.56375
2009-08-10,288.99136
2009-08-11,287.40955
2009-08-12,287.67404
2009-08-13,287.40485
2009-08-14,287.002
2009-08-15,288.66898
2009-08-16,288.05954
2009-08-17,287.52734
2009-08-18,288.06873
2009-08-19,290.08774
2009-08-20,288.35587
2009-08-21,286.52957
2009-08-22,286.8474
2009-08-23,288.84232
2009-08-24,287.20892
2009-08-25,286.59872
2009-08-26,287.31323
2009-08-27,286.6911
2009-08-28,285.64893
2009-08-29,286.0746
2009-08-30,287.07602
2009-08-31,288.688
2009-09-01,286.02646
2009-09-02,286.0779
2009-09-03,285.316
2009-09-04,286.01105
2009-09-05,286.09247
2009-09-06,286.50397
2009-09-07,287.69223
2009-09-08,288.09155
2009-09-09,286.143
2009-09-10,285.5459
2009-09-11,285.2928
2009-09-12,285.90872
2009-09-13,286.80002
2009-09-14,286.02396
2009-09-15,285.98395
2009-09-16,285.16504
2009-09-17,283.863
2009-09-18,284.6388
2009-09-19,285.06116
2009-09-20,284.47015
2009-09-21,287.5367
2009-09-22,286.92133
2009-09-23,285.53256
2009-09-24,286.24164
2009-09-25,286.91473
2009-09-26,287.3478
2009-09-27,288.1405
2009-09-28,287.66754
2009-09-29,286.41946
2009-09-30,285.6152
2009-10-01,282.8985
2009-10-02,284.3313
2009-10-03,283.9034
2009-10-04,281.57513
2009-10-05,281.68256
2009-10-06,283.25754
2009-10-07,281.34387
2009-10-08,281.24924
2009-10-09,282.6578
2009-10-10,284.1539
2009-10-11,283.8416
2009-10-12,281.4407
2009-10-13,284.95334
2009-10-14,286.98325
2009-10-15,285.99542
2009-10-16,281.4509
2009-10-17,279.561
2009-10-18,282.69977
2009-10-19,282.66226
2009-10-20,282.9209
2009-10-21,284.96503
2009-10-22,284.56403
2009-10-23,284.41397
2009-10-24,284.89087
2009-10-25,285.4295
2009-10-26,283.71005
2009-10-27,284.8324
2009-10-28,286.84872
2009-10-29,286.15094
2009-10-30,287.0394
2009-10-31,286.18893
2009-11-01,283.20575
2009-11-02,281.94455
2009-11-03,281.26004
2009-11-04,279.69452
2009-11-05,279.7017
2009-11-06,279.00885
2009-11-07,278.14563
2009-11-08,276.3178
2009-11-09,276.58304
2009-11-10,279.28613
2009-11-11,278.4126
2009-11-12,281.80936
2009-11-13,280.44904
2009-11-14,281.29843
2009-11-15,281.45435
2009-11-16,282.27924
2009-11-17,281.4409
2009-11-18,280.45248
2009-11-19,285.8677
2009-11-20,282.94403
2009-11-21,282.29767
2009-11-22,281.84042
2009-11-23,281.2626
2009-11-24,281.8683
2009-11-25,280.54578
2009-11-26,279.88205
2009-11-27,279.188
2009-11-28,276.25598
2009-11-29,276.88528
2009-11-30,274.50336
2009-12-01,275.17023
2009-12-02,278.92606
2009-12-03,278.06555
2009-12-04,276.32462
2009-12-05,280.25446
2009-12-06,280.88727
2009-12-07,279.54285
2009-12-08,279.28702
2009-12-09,281.35657
2009-12-10,276.8201
2009-12-11,275.27374
2009-12-12,273.8501
2009-12-13,271.72644
