summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2005-06-30,1.8090003
2005-07-01,3.1479893
2005-07-02,2.4516842
2005-07-03,3.4190416
2005-07-04,2.9010925
2005-07-05,1.8633037
2005-07-06,2.126426
2005-07-07,2.5604463
2005-07-08,3.4334872
2005-07-09,2.6462345
2005-07-10,2.7633166
2005-07-11,4.637641
2005-07-12,4.020719
2005-07-13,2.599697
2005-07-14,1.6614141
2005-07-15,1.8954767
2005-07-16,2.3680162
2005-07-17,2.0629137
2005-07-18,2.6608472
2005-07-19,2.138482
2005-07-20,2.6599452
2005-07-21,2.3928893
2005-07-22,2.8177843
2005-07-23,2.0499673
2005-07-24,2.620176
2005-07-25,1.9580839
2005-07-26,2.4194136
2005-07-27,2.1624537
2005-07-28,0.9856378
2005-07-29,1.720289
2005-07-30,1.5181658
2005-07-31,2.2483315
2005-08-01,2.290938
2005-08-02,1.9826441
2005-08-03,2.4714198
2005-08-04,1.8413954
2005-08-05,2.3466563
2005-08-06,2.9105906
2005-08-07,2.7530494
2005-08-08,2.5127618
2005-08-09,1.8495595
2005-08-10,2.2038577
2005-08-11,1.3089404
2005-08-12,1.8405633
2005-08-13,1.9040097
2005-08-14,2.458492
2005-08-15,1.3067718
2005-08-16,1.6835221
2005-08-17,1.4940495
2005-08-18,1.1557717
2005-08-19,2.0955265
2005-08-20,2.850529
2005-08-21,1.7519102
2005-08-22,2.8161802
2005-08-23,1.3902005
2005-08-24,2.9200306
2005-08-25,2.2041264
2005-08-26,1.7682762
2005-08-27,1.5550485
2005-08-28,1.3686838
2005-08-29,2.7462313
2005-08-30,1.6637522
2005-08-31,1.1788098
2005-09-01,1.9645731
2005-09-02,1.674349
2005-09-03,1.894399
2005-09-04,2.1850057
2005-09-05,0.8618321
2005-09-06,2.1950564
2005-09-07,1.3121505
2005-09-08,1.4569987
2005-09-09,1.312679
2005-09-10,0.9543289
2005-09-11,1.3609257
2005-09-12,1.5471258
2005-09-13,1.319428
2005-09-14,1.7150831
2005-09-15,1.1104221
2005-09-16,1.4751723
2005-09-17,0.45843363
2005-09-18,1.1868033
2005-09-19,1.1123416
2005-09-20,1.5076689
2005-09-21,1.240295
2005-09-22,1.2662833
2005-09-23,1.5824347
2005-09-24,1.4010357
2005-09-25,1.1498313
2005-09-26,1.0893215
2005-09-27,1.9020289
2005-09-28,1.3752246
2005-09-29,1.293434
2005-09-30,1.056775
2005-10-01,1.5804899
2005-10-02,1.031645
2005-10-03,0.712881
2005-10-04,0.39662278
2005-10-05,0.8068394
2005-10-06,0.91397023
2005-10-07,1.2988489
2005-10-08,1.0456822
2005-10-09,1.2135246
2005-10-10,1.1274099
2005-10-11,0.34429228
2005-10-12,0.29893908
2005-10-13,0.5579206
2005-10-14,0.6783471
2005-10-15,0.7579464
2005-10-16,0.815024
2005-10-17,0.60450673
2005-10-18,1.1138912
2005-10-19,0.43780366
2005-10-20,0.7338048
2005-10-21,0.3036443
2005-10-22,0.16902155
2005-10-23,0.25335518
2005-10-24,0.5480279
2005-10-25,0.62062776
2005-10-26,0.43503454
2005-10-27,1.4534984
2005-10-28,1.2001076
2005-10-29,0.7040814
2005-10-30,1.2710915
2005-10-31,0.8717619
2005-11-01,0.68320507
2005-11-02,0.22049524
2005-11-03,0.12136327
2005-11-04,0.5624842
2005-11-05,0.4004432
2005-11-06,0.92390084
2005-11-07,1.2025961
2005-11-08,0.55130726
2005-11-09,0.60879046
2005-11-10,0.83564436
2005-11-11,1.3239549
2005-11-12,1.0591571
2005-11-13,0.14924671
2005-11-14,0.7306377
2005-11-15,0.76112044
2005-11-16,0.08614158
2005-11-17,0
2005-11-18,0
2005-11-19,0
2005-11-20,0
2005-11-21,0
2005-11-22,0
2005-11-23,0
2005-11-24,0.94962513
2005-11-25,0.92951375
2005-11-26,0.65781444
2005-11-27,0.116602995
2005-11-28,0.15931442
2005-11-29,0
2005-11-30,0.038206723
2005-12-01,0.45434976
2005-12-02,0.27949375
2005-12-03,0.038216423
2005-12-04,0
2005-12-05,0
2005-12-06,0
2005-12-07,0
2005-12-08,0
2005-12-09,0.23746471
2005-12-10,0.26797605
2005-12-11,0.4869383
2005-12-12,0
2005-12-13,0.23993407
2005-12-14,0.25646827
2005-12-15,0.98664033
2005-12-16,0.821179
2005-12-17,0.10647159
2005-12-18,0.05553105
2005-12-19,0.6011161
2005-12-20,0.259274
2005-12-21,0.46348906
2005-12-22,0.18606289
2005-12-23,0.5398846
2005-12-24,0
2005-12-25,0
2005-12-26,0
2005-12-27,0
2005-12-28,0
2005-12-29,0.1270676
2005-12-30,0.10160231
2005-12-31,0.081207894
2006-01-01,0
2006-01-02,0
2006-01-03,0
2006-01-04,0
2006-01-05,0.5631654
2006-01-06,0
2006-01-07,0
2006-01-08,0
2006-01-09,0.5143575
2006-01-10,0.5032155
2006-01-11,0.7387513
2006-01-12,1.1516821
2006-01-13,0.9170904
2006-01-14,0
2006-01-15,0.7516961
2006-01-16,0.32928735
2006-01-17,0.19141634
2006-01-18,0.031616107
2006-01-19,0.5914234
2006-01-20,0.9231628
2006-01-21,0.12921253
2006-01-22,0.23770018
2006-01-23,0.4517038
2006-01-24,0.074431896
2006-01-25,0.026298836
2006-01-26,0
2006-01-27,0.02964617
2006-01-28,0
2006-01-29,0
2006-01-30,0
2006-01-31,0
2006-02-01,0
2006-02-02,0
2006-02-03,0
2006-02-04,0
2006-02-05,0.18016356
2006-02-06,0.79392976
2006-02-07,0.87039495
2006-02-08,0.7237067
2006-02-09,0.6199298
2006-02-10,0.16749462
2006-02-11,0.63975954
2006-02-12,0.20320421
2006-02-13,0.25116324
2006-02-14,0.6514068
2006-02-15,0.92465377
2006-02-16,0.76195383
2006-02-17,0.27421623
2006-02-18,0.10868245
2006-02-19,0.27587563
2006-02-20,0.64314187
2006-02-21,0.65650433
2006-02-22,0.51196676
2006-02-23,0.45522594
2006-02-24,1.0658818
2006-02-25,0.9505247
2006-02-26,0.8513265
2006-02-27,0.67641157
2006-02-28,0.9064705
2006-03-01,0.8228405
2006-03-02,0.47491306
2006-03-03,0.43907478
2006-03-04,0.56423545
2006-03-05,0.8210147
2006-03-06,0.6555525
2006-03-07,0.21789241
2006-03-08,0.39448896
2006-03-09,0.49226192
2006-03-10,0.57185
2006-03-11,0.6486662
2006-03-12,0.71215117
2006-03-13,1.0374734
2006-03-14,0.722734
2006-03-15,0.8063718
2006-03-16,1.0360473
2006-03-17,1.321298
2006-03-18,0.9958008
2006-03-19,0.6744592
2006-03-20,0.8740725
2006-03-21,1.0681568
2006-03-22,0.7192718
2006-03-23,1.143133
2006-03-24,1.336595
2006-03-25,0.8975133
2006-03-26,0.85990006
2006-03-27,0.8251177
2006-03-28,0.93929505
2006-03-29,1.7083045
2006-03-30,0.7894471
2006-03-31,1.0716362
2006-04-01,1.366837
2006-04-02,1.0885456
2006-04-03,1.690006
2006-04-04,1.8888464
2006-04-05,1.50033
2006-04-06,1.8938265
2006-04-07,1.2870268
2006-04-08,1.5680022
2006-04-09,1.9003954
2006-04-10,1.6243148
2006-04-11,1.7818174
2006-04-12,1.4195397
2006-04-13,2.2591453
2006-04-14,2.2131453
2006-04-15,1.3195179
2006-04-16,2.1917758
2006-04-17,2.2674956
2006-04-18,1.728957
2006-04-19,1.8577602
2006-04-20,1.2505198
2006-04-21,1.9427812
2006-04-22,1.5901202
2006-04-23,2.7648885
2006-04-24,1.8826944
2006-04-25,2.3495834
2006-04-26,2.5725517
2006-04-27,1.9451258
2006-04-28,2.2073178
2006-04-29,2.3850179
2006-04-30,1.6254413
2006-05-01,1.7807773
2006-05-02,1.5383873
2006-05-03,2.893056
2006-05-04,2.2146835
2006-05-05,3.3984778
2006-05-06,3.1028059
2006-05-07,1.517796
2006-05-08,3.9464207
2006-05-09,3.6863189
2006-05-10,4.046854
2006-05-11,3.2931862
2006-05-12,2.2391474
2006-05-13,2.3794672
2006-05-14,1.4835124
2006-05-15,0.53873485
2006-05-16,1.5859611
2006-05-17,1.7588472
2006-05-18,2.6704826
2006-05-19,1.6405675
2006-05-20,1.5157475
2006-05-21,2.113752
2006-05-22,1.94629
2006-05-23,2.4197106
2006-05-24,2.859744
2006-05-25,2.930656
2006-05-26,1.5498272
2006-05-27,2.4041827
2006-05-28,2.8646727
2006-05-29,2.3814876
2006-05-30,3.149137
2006-05-31,3.213004
2006-06-01,2.6255474
2006-06-02,3.6241872
2006-06-03,3.0105047
2006-06-04,2.2266145
2006-06-05,2.3607175
2006-06-06,3.906615
2006-06-07,3.1089232
2006-06-08,4.08902
2006-06-09,4.5211377
2006-06-10,5.0379653
2006-06-11,4.0589347
2006-06-12,3.3224573
2006-06-13,3.7697964
