summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2004-06-30,350.10068
2004-07-01,329.84464
2004-07-02,344.21445
2004-07-03,340.02493
2004-07-04,341.94098
2004-07-05,339.4792
2004-07-06,331.9693
2004-07-07,323.75497
2004-07-08,337.3097
2004-07-09,336.87067
2004-07-10,354.24158
2004-07-11,352.5133
2004-07-12,341.46692
2004-07-13,335.3985
2004-07-14,353.80124
2004-07-15,347.55954
2004-07-16,337.52063
2004-07-17,346.02002
2004-07-18,326.60983
2004-07-19,333.8196
2004-07-20,363.19388
2004-07-21,355.2721
2004-07-22,353.55957
2004-07-23,343.30826
2004-07-24,355.68518
2004-07-25,339.26114
2004-07-26,343.55276
2004-07-27,367.74255
2004-07-28,369.45865
2004-07-29,371.8477
2004-07-30,353.4234
2004-07-31,347.73303
2004-08-01,331.97495
2004-08-02,364.57285
2004-08-03,373.13757
2004-08-04,370.0654
2004-08-05,373.7604
2004-08-06,356.53
2004-08-07,342.25687
2004-08-08,361.86072
2004-08-09,375.08862
2004-08-10,376.47598
2004-08-11,371.76044
2004-08-12,367.43237
2004-08-13,358.46594
2004-08-14,341.0986
2004-08-15,359.2695
2004-08-16,350.6946
2004-08-17,350.8673
2004-08-18,365.9457
2004-08-19,366.69577
2004-08-20,327.4719
2004-08-21,302.62006
2004-08-22,325.75552
2004-08-23,364.3823
2004-08-24,363.46762
2004-08-25,344.8383
2004-08-26,357.20392
2004-08-27,325.21634
2004-08-28,347.3018
2004-08-29,336.7221
2004-08-30,328.49982
2004-08-31,302.39874
2004-09-01,349.64542
2004-09-02,359.0303
2004-09-03,365.53586
2004-09-04,359.0474
2004-09-05,367.5489
2004-09-06,349.49707
2004-09-07,312.5418
2004-09-08,303.43756
2004-09-09,311.1125
2004-09-10,339.68616
2004-09-11,354.44305
2004-09-12,349.38797
2004-09-13,324.30353
2004-09-14,325.68036
2004-09-15,301.31473
2004-09-16,358.2032
2004-09-17,339.08264
2004-09-18,323.93747
2004-09-19,346.19427
2004-09-20,342.52304
2004-09-21,320.44104
2004-09-22,348.92355
2004-09-23,310.9993
2004-09-24,297.57294
2004-09-25,349.72745
2004-09-26,352.77426
2004-09-27,358.22812
2004-09-28,353.24002
2004-09-29,339.24554
2004-09-30,353.76202
2004-10-01,345.95474
2004-10-02,330.0302
2004-10-03,333.70947
2004-10-04,319.4042
2004-10-05,329.75372
2004-10-06,336.04407
2004-10-07,312.4574
2004-10-08,292.8934
2004-10-09,306.42004
2004-10-10,332.58508
2004-10-11,328.6628
2004-10-12,332.1255
2004-10-13,332.52295
2004-10-14,320.2856
2004-10-15,323.47324
2004-10-16,338.4085
2004-10-17,331.9792
2004-10-18,312.98273
2004-10-19,325.71707
2004-10-20,318.4468
2004-10-21,316.16647
2004-10-22,317.96628
2004-10-23,305.26596
2004-10-24,341.32312
2004-10-25,334.12946
2004-10-26,309.65863
2004-10-27,334.0434
2004-10-28,336.14963
2004-10-29,339.79578
2004-10-30,325.0332
2004-10-31,336.87195
2004-11-01,325.68994
2004-11-02,331.00735
2004-11-03,336.10626
2004-11-04,312.88742
2004-11-05,338.58615
2004-11-06,350.80676
2004-11-07,342.6346
2004-11-08,334.72003
2004-11-09,306.5214
2004-11-10,292.07047
2004-11-11,347.53232
2004-11-12,312.04538
2004-11-13,290.86176
2004-11-14,336.02045
2004-11-15,341.21158
2004-11-16,337.22797
2004-11-17,334.669
2004-11-18,305.01035
2004-11-19,261.27396
2004-11-20,266.00708
2004-11-21,321.03555
2004-11-22,343.28394
2004-11-23,337.78595
2004-11-24,346.04196
2004-11-25,346.6565
2004-11-26,317.27893
2004-11-27,324.11148
2004-11-28,280.353
2004-11-29,309.08167
2004-11-30,321.08557
2004-12-01,306.59662
2004-12-02,284.49796
2004-12-03,328.8513
2004-12-04,343.3776
2004-12-05,325.63742
