summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241859.1567183131,"y":666113.7970722595,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2001-12-01,0.0050671846
2001-12-02,0.0043413797
2001-12-03,0.0052943956
2001-12-04,0.0051429034
2001-12-05,0.0043141204
2001-12-06,0.004289933
2001-12-07,0.0068748607
2001-12-08,0.006787849
2001-12-09,0.004558404
2001-12-10,0.0031722987
2001-12-11,0.0035168298
2001-12-12,0.0038946394
2001-12-13,0.0042078584
2001-12-14,0.004622487
2001-12-15,0.0047586383
2001-12-16,0.004855799
2001-12-17,0.0044314424
2001-12-18,0.0038787518
2001-12-19,0.0041649807
2001-12-20,0.0036823978
2001-12-21,0.004493963
2001-12-22,0.0030528307
2001-12-23,0.0048422446
2001-12-24,0.0057266657
2001-12-25,0.003412449
2001-12-26,0.00353667
2001-12-27,0.0051464518
2001-12-28,0.003669033
2001-12-29,0.0031601586
2001-12-30,0.0032577664
2001-12-31,0.003369278
2002-01-01,0.0034858214
2002-01-02,0.0026765622
2002-01-03,0.00275479
2002-01-04,0.0030588112
2002-01-05,0.004933553
2002-01-06,0.0053530843
2002-01-07,0.0059613744
2002-01-08,0.0060448325
2002-01-09,0.004898382
2002-01-10,0.0041866214
2002-01-11,0.00537142
2002-01-12,0.0058680107
2002-01-13,0.0063627684
2002-01-14,0.006113965
2002-01-15,0.0046303985
2002-01-16,0.0060056923
2002-01-17,0.0053154784
2002-01-18,0.0049231118
2002-01-19,0.0046911817
2002-01-20,0.005672881
2002-01-21,0.0066384324
2002-01-22,0.0051064775
2002-01-23,0.005888914
2002-01-24,0.0037806882
2002-01-25,0.004188799
2002-01-26,0.0053143906
2002-01-27,0.005297488
2002-01-28,0.0050270786
2002-01-29,0.0052445014
2002-01-30,0.005583961
2002-01-31,0.004930024
2002-02-01,0.005237984
