summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2002-06-30,61.486496
2002-07-01,128.27457
2002-07-02,180.08887
2002-07-03,183.38055
2002-07-04,150.45975
2002-07-05,224.45508
2002-07-06,116.27035
2002-07-07,165.0765
2002-07-08,214.57793
2002-07-09,194.06535
2002-07-10,196.58441
2002-07-11,251.00085
2002-07-12,223.58687
2002-07-13,258.3686
2002-07-14,154.4436
2002-07-15,150.83183
2002-07-16,173.37274
2002-07-17,163.4536
2002-07-18,219.1984
2002-07-19,58.12256
2002-07-20,124.51997
2002-07-21,266.41956
2002-07-22,122.59682
2002-07-23,129.74274
2002-07-24,118.91397
2002-07-25,110.042076
2002-07-26,115.81019
2002-07-27,133.10193
2002-07-28,113.53348
2002-07-29,55.16791
2002-07-30,101.59577
2002-07-31,54.491463
2002-08-01,209.11613
2002-08-02,131.52599
2002-08-03,110.38834
2002-08-04,220.06772
2002-08-05,208.27966
2002-08-06,140.404
2002-08-07,133.53139
2002-08-08,102.17182
2002-08-09,107.74747
2002-08-10,148.49031
2002-08-11,94.00858
2002-08-12,159.01158
2002-08-13,146.9895
2002-08-14,93.34653
2002-08-15,214.24995
2002-08-16,185.1352
2002-08-17,126.87363
2002-08-18,88.61441
2002-08-19,195.16306
2002-08-20,192.46886
2002-08-21,209.03378
2002-08-22,174.3006
2002-08-23,107.36408
2002-08-24,140.29404
2002-08-25,146.43219
2002-08-26,226.64975
2002-08-27,118.920586
2002-08-28,99.37506
2002-08-29,138.04388
2002-08-30,76.06293
2002-08-31,175.66806
2002-09-01,152.47186
2002-09-02,196.93695
2002-09-03,106.52766
2002-09-04,99.15029
2002-09-05,99.53151
2002-09-06,122.87159
2002-09-07,106.985596
2002-09-08,116.09714
2002-09-09,105.67311
2002-09-10,128.179
2002-09-11,189.87569
2002-09-12,126.477844
2002-09-13,181.70045
2002-09-14,148.76274
2002-09-15,77.681015
2002-09-16,67.70005
2002-09-17,80.91903
2002-09-18,32.394897
2002-09-19,60.199165
2002-09-20,131.33356
2002-09-21,109.74754
2002-09-22,118.868065
2002-09-23,143.48581
2002-09-24,165.45102
2002-09-25,64.22192
2002-09-26,71.43438
2002-09-27,55.613308
2002-09-28,27.516619
2002-09-29,76.93391
2002-09-30,80.19421
2002-10-01,84.18901
2002-10-02,59.94282
2002-10-03,104.6064
2002-10-04,53.744
2002-10-05,48.49315
2002-10-06,100.94708
2002-10-07,50.90833
2002-10-08,54.912704
2002-10-09,75.139725
2002-10-10,58.473
2002-10-11,39.04163
2002-10-12,51.15422
2002-10-13,52.706146
2002-10-14,20.31484
2002-10-15,64.75804
2002-10-16,77.366325
2002-10-17,45.178078
2002-10-18,89.47768
2002-10-19,81.25727
2002-10-20,50.626923
2002-10-21,17.526443
2002-10-22,31.764725
2002-10-23,42.822662
2002-10-24,41.621174
2002-10-25,35.49875
2002-10-26,55.507427
2002-10-27,32.569824
2002-10-28,46.40683
2002-10-29,31.333496
2002-10-30,65.570015
2002-10-31,44.465126
2002-11-01,13.714743
2002-11-02,24.791124
2002-11-03,47.778877
2002-11-04,38.77524
2002-11-05,27.373873
2002-11-06,43.767403
2002-11-07,42.03228
2002-11-08,24.588957
2002-11-09,21.188196
2002-11-10,39.64871
2002-11-11,34.148727
2002-11-12,22.134293
2002-11-13,23.398436
2002-11-14,10.210174
2002-11-15,22.617897
2002-11-16,22.950357
2002-11-17,37.26764
2002-11-18,20.587542
2002-11-19,25.000074
2002-11-20,8.971926
2002-11-21,8.788723
2002-11-22,20.18516
2002-11-23,25.617027
2002-11-24,41.405354
2002-11-25,20.393885
2002-11-26,15.513666
2002-11-27,14.323257
2002-11-28,20.936075
2002-11-29,18.439589
2002-11-30,14.065937
2002-12-01,21.577589
2002-12-02,7.200218
2002-12-03,14.973687
2002-12-04,15.505522
2002-12-05,23.444733
2002-12-06,18.081268
2002-12-07,17.96468
2002-12-08,15.963561
2002-12-09,29.594982
2002-12-10,21.123636
2002-12-11,28.530476
2002-12-12,11.908689
2002-12-13,11.796391
2002-12-14,11.674738
2002-12-15,6.288732
2002-12-16,11.346343
2002-12-17,28.129292
2002-12-18,27.635624
2002-12-19,19.121323
2002-12-20,12.453442
2002-12-21,11.324384
2002-12-22,11.59773
2002-12-23,6.2238584
2002-12-24,14.552626
2002-12-25,12.861612
2002-12-26,11.500565
2002-12-27,6.3314347
2002-12-28,13.5136595
2002-12-29,6.4205213
2002-12-30,16.602148
2002-12-31,16.35926
2003-01-01,12.093412
2003-01-02,12.177514
2003-01-03,26.795845
2003-01-04,34.04711
2003-01-05,28.890217
2003-01-06,27.139784
2003-01-07,32.31053
2003-01-08,18.51602
2003-01-09,15.145128
2003-01-10,31.758303
2003-01-11,29.023685
2003-01-12,7.722794
2003-01-13,7.8627353
2003-01-14,8.009132
2003-01-15,20.44908
2003-01-16,8.3214445
2003-01-17,19.592777
2003-01-18,16.722376
2003-01-19,22.784454
2003-01-20,18.18952
2003-01-21,22.558521
2003-01-22,20.147263
2003-01-23,32.106926
2003-01-24,9.835405
2003-01-25,30.30149
2003-01-26,21.540113
2003-01-27,21.650734
2003-01-28,21.474777
2003-01-29,34.48315
2003-01-30,47.873066
2003-01-31,21.377829
2003-02-01,42.266068
2003-02-02,24.294264
2003-02-03,35.968887
2003-02-04,54.82888
2003-02-05,65.3795
2003-02-06,24.876299
2003-02-07,13.523279
2003-02-08,26.541311
2003-02-09,69.80838
2003-02-10,14.483869
2003-02-11,66.40654
2003-02-12,48.49597
2003-02-13,39.14634
2003-02-14,85.77487
2003-02-15,90.9797
2003-02-16,49.39086
2003-02-17,94.02869
2003-02-18,101.824455
2003-02-19,84.4775
2003-02-20,46.727207
2003-02-21,60.75546
2003-02-22,98.21002
2003-02-23,54.378876
2003-02-24,98.34037
2003-02-25,53.78429
2003-02-26,43.823166
2003-02-27,49.491844
2003-02-28,47.665848
2003-03-01,55.60528
2003-03-02,105.357895
2003-03-03,92.243835
2003-03-04,42.9631
2003-03-05,84.52307
2003-03-06,110.03023
2003-03-07,46.73902
2003-03-08,58.35075
2003-03-09,47.606968
2003-03-10,79.166405
2003-03-11,90.62373
2003-03-12,119.489
2003-03-13,112.98816
2003-03-14,154.9687
2003-03-15,159.86752
2003-03-16,145.35751
2003-03-17,166.61896
