summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Wind Speed (m s-1)
1999-06-30,4.6602716
1999-07-01,1.5215846
1999-07-02,0.98002756
1999-07-03,2.0044172
1999-07-04,1.7250801
1999-07-05,0.77015096
1999-07-06,1.0213289
1999-07-07,0.9948063
1999-07-08,1.4497764
1999-07-09,0.94246423
1999-07-10,1.1366642
1999-07-11,1.8117149
1999-07-12,1.0582397
1999-07-13,2.6698465
1999-07-14,4.537947
1999-07-15,4.363632
1999-07-16,3.3968961
1999-07-17,4.032153
1999-07-18,1.5029124
1999-07-19,3.0911787
1999-07-20,3.6172183
1999-07-21,5.9173875
1999-07-22,4.056822
1999-07-23,3.4103372
1999-07-24,4.0169697
1999-07-25,1.8330666
1999-07-26,0.82380974
1999-07-27,0.7932277
1999-07-28,1.744859
1999-07-29,1.3886974
1999-07-30,0.7131692
1999-07-31,0.6045449
1999-08-01,1.4618393
1999-08-02,1.4193465
1999-08-03,1.7286419
1999-08-04,2.692935
1999-08-05,2.7460544
1999-08-06,1.8749211
1999-08-07,3.7991548
1999-08-08,4.0533032
1999-08-09,3.3190906
1999-08-10,0.5880025
1999-08-11,0.3280573
1999-08-12,1.1802796
1999-08-13,2.1816626
1999-08-14,2.5354261
1999-08-15,4.022346
1999-08-16,2.728221
1999-08-17,2.2687376
1999-08-18,3.2292666
1999-08-19,2.7803106
1999-08-20,0.7871235
1999-08-21,0.24455401
1999-08-22,1.0085549
1999-08-23,1.9587722
1999-08-24,2.8774564
1999-08-25,2.7688367
1999-08-26,2.4652262
1999-08-27,2.8079803
1999-08-28,1.2054063
1999-08-29,2.8460755
1999-08-30,3.5129073
1999-08-31,1.9699839
1999-09-01,3.3292205
1999-09-02,4.2445927
1999-09-03,2.6655107
1999-09-04,0.8509885
1999-09-05,1.3455929
1999-09-06,2.215912
1999-09-07,1.8981966
1999-09-08,5.5574846
1999-09-09,5.6462502
1999-09-10,3.8707128
1999-09-11,2.6835089
1999-09-12,1.3805476
1999-09-13,2.612549
1999-09-14,1.1606021
1999-09-15,2.833038
1999-09-16,2.9958858
1999-09-17,2.318183
1999-09-18,5.7201333
1999-09-19,5.595177
1999-09-20,4.962825
1999-09-21,4.265833
1999-09-22,1.6554457
1999-09-23,1.9929309
1999-09-24,2.5159247
1999-09-25,1.1541305
1999-09-26,0
1999-09-27,1.4127696
1999-09-28,1.0133289
1999-09-29,1.1047351
1999-09-30,2.341404
1999-10-01,4.986951
1999-10-02,3.646774
1999-10-03,4.910961
1999-10-04,2.569911
1999-10-05,0
1999-10-06,2.1491566
1999-10-07,3.3087513
1999-10-08,2.665004
1999-10-09,2.9411366
1999-10-10,4.973318
1999-10-11,5.089097
1999-10-12,1.7885902
1999-10-13,2.5655777
1999-10-14,0.5448022
1999-10-15,2.450923
1999-10-16,1.0618193
1999-10-17,2.800842
1999-10-18,3.284158
1999-10-19,3.6689138
1999-10-20,4.925352
1999-10-21,6.5576973
1999-10-22,3.231609
1999-10-23,2.133192
1999-10-24,2.0154529
1999-10-25,3.0322645
1999-10-26,1.9214778
1999-10-27,5.903803
1999-10-28,3.4606378
1999-10-29,3.6251047
1999-10-30,7.426743
1999-10-31,10.043248
1999-11-01,6.656997
1999-11-02,5.558703
1999-11-03,6.2506347
1999-11-04,8.294436
1999-11-05,3.379796
1999-11-06,4.219146
1999-11-07,2.5312634
1999-11-08,1.4594117
1999-11-09,0
1999-11-10,0
1999-11-11,0
1999-11-12,0
1999-11-13,0.2774151
1999-11-14,0.1996878
1999-11-15,1.7949733
1999-11-16,3.0756862
1999-11-17,2.3014884
1999-11-18,2.1948516
1999-11-19,1.7432051
1999-11-20,0
1999-11-21,0.68279016
1999-11-22,2.9915078
1999-11-23,5.9558196
1999-11-24,4.7189846
1999-11-25,4.634815
1999-11-26,9.462751
1999-11-27,6.1685576
1999-11-28,7.839698
1999-11-29,2.1678712
1999-11-30,9.950311
1999-12-01,6.7746153
1999-12-02,6.1458654
1999-12-03,6.617872
1999-12-04,4.768205
1999-12-05,3.6552677
1999-12-06,7.3686237
1999-12-07,6.88612
1999-12-08,7.532144
1999-12-09,5.3550706
1999-12-10,1.7867737
1999-12-11,2.5101273
1999-12-12,1.1298479
1999-12-13,0.44777742
1999-12-14,2.524452
1999-12-15,2.753883
1999-12-16,6.01371
1999-12-17,6.126737
1999-12-18,0.3666998
1999-12-19,0.6983708
1999-12-20,1.8237427
1999-12-21,4.2911615
1999-12-22,6.3509874
1999-12-23,7.890061
1999-12-24,8.010552
1999-12-25,9.048697
1999-12-26,3.6649816
1999-12-27,2.2587528
1999-12-28,1.7365592
1999-12-29,1.8269569
1999-12-30,1.9262912
1999-12-31,2.9149356
2000-01-01,4.48556
2000-01-02,5.3367405
2000-01-03,7.1353064
2000-01-04,5.9323044
2000-01-05,8.939025
2000-01-06,5.5247
2000-01-07,9.949229
2000-01-08,7.7682967
2000-01-09,3.2602835
2000-01-10,5.959773
2000-01-11,3.4198651
2000-01-12,1.6262311
2000-01-13,1.5276973
2000-01-14,2.9200583
2000-01-15,0.20125218
2000-01-16,2.0234559
2000-01-17,2.7610872
2000-01-18,1.94939
2000-01-19,0.08391426
2000-01-20,1.8596241
2000-01-21,2.860616
2000-01-22,5.125723
2000-01-23,1.0645566
2000-01-24,0.5328922
2000-01-25,0
2000-01-26,1.460224
2000-01-27,4.2904706
2000-01-28,6.857759
2000-01-29,9.971853
2000-01-30,5.91801
2000-01-31,4.8107777
2000-02-01,6.2772007
2000-02-02,6.7411547
2000-02-03,4.2180524
2000-02-04,6.2468867
2000-02-05,6.3912005
2000-02-06,7.0742254
2000-02-07,7.9925756
2000-02-08,7.496945
2000-02-09,7.941068
2000-02-10,9.270457
2000-02-11,7.678966
2000-02-12,6.869722
2000-02-13,3.8765407
2000-02-14,4.3460402
2000-02-15,5.024331
2000-02-16,3.5097423
2000-02-17,2.969433
2000-02-18,3.1513834
2000-02-19,0.3938224
2000-02-20,2.9682124
2000-02-21,3.1328697
2000-02-22,2.9100504
2000-02-23,4.9213986
2000-02-24,5.832571
2000-02-25,5.509006
2000-02-26,5.819199
2000-02-27,6.638259
2000-02-28,7.7887034
2000-02-29,3.5951176
2000-03-01,4.304152
2000-03-02,6.6946645
2000-03-03,5.654562
2000-03-04,2.5555105
2000-03-05,5.770647
2000-03-06,7.0067196
2000-03-07,6.349931
2000-03-08,8.735221
2000-03-09,4.8322387
2000-03-10,5.3950176
2000-03-11,5.247426
2000-03-12,3.2565658
2000-03-13,4.087178
2000-03-14,5.577273
2000-03-15,4.3470182
2000-03-16,2.7699816
2000-03-17,2.727506
2000-03-18,1.298374
2000-03-19,2.7111945
2000-03-20,3.169239
2000-03-21,2.2653015
2000-03-22,0.4193035
2000-03-23,4.1143255
2000-03-24,3.956224
2000-03-25,2.5864089
2000-03-26,1.4257411
2000-03-27,2.17979
2000-03-28,0.7677245
2000-03-29,0.99496424
2000-03-30,0.3981072
2000-03-31,0.52071846
2000-04-01,0.9459361
2000-04-02,4.355556
2000-04-03,5.6462636
2000-04-04,3.5378304
2000-04-05,0.822921
2000-04-06,1.2468319
2000-04-07,3.3166683
2000-04-08,1.9832371
2000-04-09,1.7945752
2000-04-10,1.2823058
2000-04-11,2.0774422
2000-04-12,5.3392386
2000-04-13,5.2072015
2000-04-14,2.035567
2000-04-15,2.0760722
2000-04-16,3.069545
2000-04-17,2.9897456
2000-04-18,0.9562104
2000-04-19,2.6045818
2000-04-20,5.800402
2000-04-21,4.4804435
2000-04-22,1.9031626
2000-04-23,1.5893891
2000-04-24,1.4214952
2000-04-25,4.7297754
2000-04-26,4.9025
2000-04-27,1.3044219
2000-04-28,1.1499581
2000-04-29,1.1627209
2000-04-30,1.3142972
2000-05-01,0.7591647
