Timestamp,Value
Jan 2010,101.8
Feb 2010,47.8
Mar 2010,142
Apr 2010,21.8
May 2010,52.2
Jun 2010,20.2
Jul 2010,88
Aug 2010,49.4
Sep 2010,97.8
Oct 2010,89.6
Nov 2010,110.8
Dec 2010,32
Jan 2011,70
Feb 2011,109.6
Mar 2011,45.6
Apr 2011,13.4
May 2011,71.8
Jun 2011,75.2
Jul 2011,91
Aug 2011,182.6
Sep 2011,80.2
Oct 2011,63.6
Nov 2011,51.2
Dec 2011,51.2
Jan 2012,30.6
Feb 2012,11.6
Mar 2012,15.4
Apr 2012,0
May 2012,120.2
Jun 2012,216
Jul 2012,132.2
Aug 2012,81.4
Sep 2012,91.2
Oct 2012,117.2
Nov 2012,104.4
Dec 2012,136.6
Jan 2013,64.4
Feb 2013,33.2
Mar 2013,79.2
Apr 2013,26
May 2013,60.8
Jun 2013,46.6
Jul 2013,85
Aug 2013,51
Sep 2013,57
Oct 2013,116.6
Nov 2013,42.4
Dec 2013,103.2
Jan 2014,99.4
Feb 2014,60.2
Mar 2014,43.6
Apr 2014,72.4
May 2014,77.6
Jun 2014,78.6
Jul 2014,34.4
Aug 2014,126.4
Sep 2014,11.6
Oct 2014,141.8
Nov 2014,106.6
Dec 2014,51.8
Jan 2015,68.2
Feb 2015,23
Mar 2015,49.6
Apr 2015,23.2
May 2015,74.4
Jun 2015,27.8
Jul 2015,127
Aug 2015,43.4
Sep 2015,45.2
Oct 2015,62.4
Nov 2015,119.2
Dec 2015,140.6
Jan 2016,176
Feb 2016,76.2
Mar 2016,40.2
Apr 2016,109.8
May 2016,11.6
Jun 2016,67.2
Jul 2016,70.2
Aug 2016,54.6
Sep 2016,40.2
Oct 2016,76.2
Nov 2016,142.6
Dec 2016,32.8
Jan 2017,30.2
Feb 2017,96
Mar 2017,57.4
Apr 2017,17.6
May 2017,28.6
Jun 2017,182.2
Jul 2017,74.6
Aug 2017,43.4
Sep 2017,54
Oct 2017,42.4
Nov 2017,47.8
Dec 2017,48
Jan 2018,54.6
Feb 2018,35.2
Mar 2018,118
Apr 2018,84.8
May 2018,20
Jun 2018,37
Jul 2018,55.6
Aug 2018,36
Sep 2018,65.8
Oct 2018,51.2
Nov 2018,80.6
Dec 2018,49.4
Jan 2019,18.4
Feb 2019,27.6
Mar 2019,84.2
Apr 2019,52.4
May 2019,99.4
Jun 2019,157.8
Jul 2019,92.4
Aug 2019,128.2
Sep 2019,63.2
Oct 2019,92
Nov 2019,209
Dec 2019,5.8
