Timestamp,Value
Jan 2010,95.6
Feb 2010,28
Mar 2010,103
Apr 2010,97.2
May 2010,39.6
Jun 2010,27.4
Jul 2010,0
Aug 2010,0
Sep 2010,148.4
Oct 2010,159.4
Nov 2010,138.6
Dec 2010,77.2
Jan 2011,142
Feb 2011,196
Mar 2011,115.2
Apr 2011,68.8
May 2011,175.6
Jun 2011,104
Jul 2011,104.6
Aug 2011,131
Sep 2011,71.2
Oct 2011,165.4
Nov 2011,52.8
Dec 2011,158
Jan 2012,103.8
Feb 2012,0
Mar 2012,0
Apr 2012,0
May 2012,1.4
Jun 2012,0
Jul 2012,113.6
Aug 2012,158.8
Sep 2012,126.6
Oct 2012,129
Nov 2012,0.2
Dec 2012,0
Jan 2013,145.6
Feb 2013,58.4
Mar 2013,60.2
Apr 2013,91.2
May 2013,94.4
Jun 2013,49
Jul 2013,82.8
Aug 2013,65.4
Sep 2013,75.8
Oct 2013,226
Nov 2013,66.8
Dec 2013,342.6
Jan 2014,66
Feb 2014,93.6
Mar 2014,180.2
Apr 2014,99.8
May 2014,30.2
Jun 2014,105.6
Jul 2014,36.4
Aug 2014,25.4
Sep 2014,0
Oct 2014,0
Nov 2014,0
Dec 2014,75.8
Jan 2015,288
Feb 2015,111.2
Mar 2015,160
Apr 2015,82.4
May 2015,151.4
Jun 2015,57.6
Jul 2015,0
Aug 2015,0
Sep 2015,0
Oct 2015,0
Nov 2015,55.4
Dec 2015,392.4
Jan 2016,238
Feb 2016,69.6
Mar 2016,44.8
Apr 2016,98.4
May 2016,83.2
Jun 2016,52
Jul 2016,114.8
Aug 2016,62.2
Sep 2016,116.4
Oct 2016,59
Nov 2016,79.6
Dec 2016,170.8
Jan 2017,56.8
Feb 2017,157.2
Mar 2017,146.4
Apr 2017,14.4
May 2017,53.8
Jun 2017,155.4
Jul 2017,99.2
Aug 2017,136.2
Sep 2017,103.8
Oct 2017,151.4
Nov 2017,78.6
Dec 2017,116.2
Jan 2018,125
Feb 2018,86.8
Mar 2018,92.2
Apr 2018,19.8
May 2018,13.2
Jun 2018,92.4
Jul 2018,65.4
Aug 2018,92.2
Sep 2018,161.4
Oct 2018,129.2
Nov 2018,246.6
Dec 2018,107.6
Jan 2019,55.4
Feb 2019,88
Mar 2019,192
Apr 2019,50
May 2019,106
Jun 2019,80
Jul 2019,113
Aug 2019,265.8
Sep 2019,152.6
Oct 2019,147.2
Nov 2019,94.8
Dec 2019,78.8
