Borehole_name,Region,Grid_reference,X,Y,LAT,LON,Depth,Temp,T_grad,Type,Source,ROCK,gradient,COND,HEAT_FLUX,HF_+_CLIMATE,Source
Altnabreac,Caithness,NC_9990_4528,299900,945280,58.384,-3.714,299,10.3,7.4,LOG,BGS,,,,,,
Altnabreac,Caithness,NC_9939_4291,299390,942910,58.363,-3.721,301,8.8,3.7,LOG,BGS,,,,,,
Altnabreac,Caithness,ND_0232_4167,302320,941670,58.353,-3.671,282,10.1,7.1,LOG,BGS,,,,,,
Lothbeg_No.1,Caithness,NC_946_095,294600,909500,58.062,-3.788,736,40.6,42.9,BHT,PCO,,,,,,
Bennachie,East_Grampians,NJ_6690_2110,366900,821100,57.279,-2.551,294,14.0,20.1,BHT,BGS,,,,,,
Mt_Battock,East_Grampians,NO_543_905,354300,790500,57.003,-2.754,263,14.0,22.1,BHT,BGS,,,,,,
Ballater,East_Grampians,NO_4000_9850,340000,798500,57.074,-2.991,296,14.0,19.6,BHT,BGS,,,,,,
Rashiehill,West_Midland_Valley,NS_8386_7301,283860,673010,55.936,-3.861,964,34.4,26.2,LOG,BGS,,,,,,
Clachie_Bridge,West_Midland_Valley,NS_6447_8368,264470,683680,56.027,-4.176,300,13.2,16.0,LOG,BGS,,,,55,,OXBURGH_AND_OT~ERS_(1980)
Salsburgh,West_Midland_Valley,NS_8166_6486,281660,664860,55.862,-3.892,883,30.0,24.1,BHT,GAS,,,,,,
Hallside,West_Midland_Valley,NS_6694_5975,266940,659750,55.813,-4.125,350,11.8,6.0,LOG,BGS,,,,,,
Grangemouth,West_Midland_Valley,NS_9513_8387,295130,683870,56.036,-3.685,1134,15.0,30.9,BHT,NCB,,,,,,
South_Balgray,West_Midland_Valley,NS_50_75,250000,675000,55.945,-4.403,160,15.3,45.0,EQM,BEN,SDST_/_SHAL,46.9,1.54,72,86,ANDERSON_(1940)
Blythswood,West_Midland_Valley,NS_5003_6823,250030,668230,55.884,-4.399,105,12.0,37.1,EQM,BEN,SDST_/_SHAL,36.5,1.61,59,73,ANDERSON_(1940)
Douglas_Colliery,West_Midland_Valley,NS_830_300,283000,630000,55.550,-3.856,239,12.2,14.2,MWT,NCB,,,,,,
Solsgirth_Colliery,West_Midland_Valley,NS_9777_9329,297770,693290,56.121,-3.646,387,21.5,31.0,MWT,NCB,,,,,,
Bogside_Colliery,West_Midland_Valley,NS_9564_8778,295640,687780,56.071,-3.678,334,17.0,22.2,MWT,NCB,,,,,,
Highhouse_Colliery,West_Midland_Valley,NS_5321_7202,253210,672020,55.919,-4.350,436,18.0,19.5,MWT,NCB,,,,,,
Barony_Colliery,West_Midland_Valley,NS_5105_1971,251050,619710,55.449,-4.357,411,17.0,19.0,MWT,NCB,,,,,,
Killoch_Colliery,West_Midland_Valley,NS_4883_2130,248830,621300,55.462,-4.392,655,17.0,11.9,MWT,NCB,,,,,,
Polkemmet_Colliery,West_Midland_Valley,NS_9190_6278,291900,662780,55.846,-3.728,549,17.0,15.5,MWT,NCB,,,,,,
Eggerton,West_Midland_Valley,NS_8504_3171,285040,631710,55.565,-3.824,410,14.0,13.2,BHT,NCB,,,,,,
Tillicoultry,West_Midland_Valley,NS_9276_9653,292760,696530,56.149,-3.728,510,18.0,15.9,BHT,NCB,,,,,,
Tullibody,West_Midland_Valley,NS_8601_9594,286010,695940,56.142,-3.836,325,16.0,18.8,BHT,NCB,,,,,,
Cartlove,West_Midland_Valley,NS_9403_9267,294030,692670,56.115,-3.706,404,16.6,16.3,BHT,NCB,,,,,,
Gartenkeir,West_Midland_Valley,NS_9267_9486,292670,694860,56.134,-3.729,488,16.0,15.0,BHT,NCB,,,,,,
Shannock_Hill,West_Midland_Valley,NS_9338_9512,293380,695120,56.137,-3.717,497,18.0,19.9,BHT,NCB,,,,,,
Pipersink,West_Midland_Valley,NS_9307_8911,293070,689110,56.083,-3.720,408,20.2,25.5,BHT,NCB,,,,,,
Glenochill,West_Midland_Valley,NS_8769_9617,287690,696170,56.145,-3.809,628,30.0,32.0,BHT,NCB,,,,,,
Queenslie,West_Midland_Valley,NS_6466_6598,264660,665980,55.868,-4.164,691,36.0,38.4,BHT,NCB,,,,,,
Slatehole,West_Midland_Valley,NS_4906_2342,249060,623420,55.481,-4.390,1024,40.0,29.8,BHT,NCB,,,,,,
Gallowknowe,West_Midland_Valley,NS_8388_3118,283880,631180,55.560,-3.843,1261,37.5,22.8,BHT,NCB,,,,,,
Stoneyknowes,West_Midland_Valley,NS_8817_3570,288170,635700,55.602,-3.776,277,13.5,18.1,BHT,BGS,,,,,,
Craighead,West_Midland_Valley,NS_8267_6212,282670,662120,55.838,-3.875,977,25.0,27.2,BHT,TAW,,,,,,
Maryhill,West_Midland_Valley,NS_5718_6856,257180,668560,55.889,-4.285,303,20.0,34.0,EQM,IC6,,,,,,
Comrie,West_Midland_Valley,NS_9787_9501,297870,695010,56.137,-3.645,850,30.0,24.1,VST,NCB,,,,,,
Glenrothes,East_Midland_Valley,NO_2561_0314,325610,703140,56.215,-3.201,279,14.4,28.1,EQM,BGS,,,,,,
Balfour,East_Midland_Valley,NO_323_003,332300,700300,56.190,-3.092,1205,33.4,19.8,EQM,BEN,SDST_/_SHAL,19.9,1.88,37,50,ANDERSON_(1940)
Balfour,East_Midland_Valley,NO_323_003,332300,700300,56.190,-3.092,543,12.5,16.9,EQM,,,,,,,
Balfour,East_Midland_Valley,NO_323_003,332300,700300,56.190,-3.092,722,22.4,18.1,EQM,,,,,,,
Balfour,East_Midland_Valley,NO_323_003,332300,700300,56.190,-3.092,902,26.5,19.1,EQM,,,,,,,
Windygates,East_Midland_Valley,NO_3510_0034,335100,700340,56.191,-3.047,1298,30.0,16.1,BHT,NCB,,,,,,
