DATES	Near-Surface(K)	Temperature(C)	Soilt_Temp_30cm
01/01/2000	279.50565	6.50565	4
02/01/2000	280.74573	7.74573	4.4
03/01/2000	279.3389	6.3389	4.9
04/01/2000	277.67526	4.67526	4.7
05/01/2000	280.85883	7.85883	4.4
06/01/2000	279.14575	6.14575	5.1
07/01/2000	281.2374	8.2374	4.9
08/01/2000	278.07184	5.07184	5.4
09/01/2000	276.43173	3.43173	4.6
10/01/2000	279.92868	6.92868	4
11/01/2000	279.62555	6.62555	4.5
12/01/2000	277.30228	4.30228	4.9
13/01/2000	275.18848	2.18848	4.5
14/01/2000	275.41495	2.41495	3.7
15/01/2000	274.90176	1.90176	3.1
16/01/2000	278.81396	5.81396	2.7
17/01/2000	279.61597	6.61597	2.5
18/01/2000	279.6499	6.6499	2.4
19/01/2000	278.0229	5.0229	2.4
20/01/2000	278.67538	5.67538	2.8
21/01/2000	278.34525	5.34525	2.9
22/01/2000	278.47397	5.47397	3
23/01/2000	276.1145	3.1145	3
24/01/2000	277.0937	4.0937	2.5
25/01/2000	275.16788	2.16788	2.4
26/01/2000	277.43924	4.43924	2.2
27/01/2000	279.04593	6.04593	2.8
28/01/2000	280.5028	7.5028	3.9
29/01/2000	280.23508	7.23508	4.9
30/01/2000	280.47366	7.47366	4.8
31/01/2000	280.48474	7.48474	5.4
01/02/2000	280.83054	7.83054	6
02/02/2000	279.19397	6.19397	5.8
03/02/2000	280.00394	7.00394	5.4
04/02/2000	283.74005	10.74005	5.9
05/02/2000	282.39597	9.39597	6.6
06/02/2000	280.80685	7.80685	6.8
07/02/2000	279.6071	6.6071	6.5
08/02/2000	278.62335	5.62335	6.2
09/02/2000	279.98325	6.98325	5.6
10/02/2000	278.42087	5.42087	5.8
11/02/2000	280.15875	7.15875	5.4
12/02/2000	276.0628	3.0628	5.5
13/02/2000	277.02338	4.02338	4.6
14/02/2000	278.05057	5.05057	4.1
15/02/2000	276.58145	3.58145	4.4
16/02/2000	274.19437	1.19437	4.1
17/02/2000	276.38098	3.38098	3.6
18/02/2000	277.91153	4.91153	3.5
19/02/2000	276.20728	3.20728	4
20/02/2000	276.23117	3.23117	3.5
21/02/2000	277.89716	4.89716	3.6
22/02/2000	277.20416	4.20416	3.6
23/02/2000	280.5831	7.5831	4
24/02/2000	276.95016	3.95016	4.7
25/02/2000	278.5282	5.5282	4.4
26/02/2000	280.14343	7.14343	4.7
27/02/2000	279.90262	6.90262	5.5
28/02/2000	277.49478	4.49478	5.6
29/02/2000	277.54364	4.54364	5.1
01/03/2000	276.94324	3.94324	4.9
02/03/2000	278.87576	5.87576	4.4
03/03/2000	276.5014	3.5014	4.7
04/03/2000	274.9732	1.9732	4.1
05/03/2000	278.18536	5.18536	3.6
06/03/2000	282.95706	9.95706	4.3
07/03/2000	283.55884	10.55884	5.7
08/03/2000	284.25153	11.25153	7
09/03/2000	282.12427	9.12427	7.5
10/03/2000	282.2958	9.2958	7.7
11/03/2000	281.43652	8.43652	7.9
12/03/2000	281.18896	8.18896	7.6
13/03/2000	282.30963	9.30963	8
14/03/2000	278.8083	5.8083	7.9
15/03/2000	280.86124	7.86124	7.5
16/03/2000	282.2405	9.2405	7.7
17/03/2000	281.66412	8.66412	8
18/03/2000	279.44342	6.44342	8.2
19/03/2000	282.26	9.26	8.1
20/03/2000	282.9721	9.9721	8.6
21/03/2000	280.78363	7.78363	8.9
22/03/2000	277.90848	4.90848	8.7
23/03/2000	278.18982	5.18982	8.4
24/03/2000	280.4219	7.4219	7.8
25/03/2000	278.50153	5.50153	7.7
26/03/2000	278.96167	5.96167	7.5
27/03/2000	277.98862	4.98862	7.5
28/03/2000	277.82123	4.82123	7.4
29/03/2000	279.37088	6.37088	7.4
30/03/2000	279.80704	6.80704	7.9
31/03/2000	279.87442	6.87442	8.4
01/04/2000	279.0247	6.0247	8.6
02/04/2000	276.668	3.668	8.6
03/04/2000	275.26364	2.26364	7.9
04/04/2000	275.76428	2.76428	6.9
05/04/2000	277.3125	4.3125	6.6
06/04/2000	278.74417	5.74417	6.9
07/04/2000	279.33105	6.33105	7.3
08/04/2000	281.54446	8.54446	7.7
09/04/2000	279.72794	6.72794	8.4
10/04/2000	279.51624	6.51624	8.5
11/04/2000	277.6988	4.6988	8.6
12/04/2000	278.3945	5.3945	8.4
13/04/2000	278.21542	5.21542	7.8
14/04/2000	277.71744	4.71744	7.5
15/04/2000	277.1845	4.1845	8
16/04/2000	278.59402	5.59402	7.9
17/04/2000	277.41003	4.41003	8
18/04/2000	279.54535	6.54535	7.7
19/04/2000	280.53214	7.53214	8
20/04/2000	283.91235	10.91235	8.9
21/04/2000	282.98218	9.98218	9.7
22/04/2000	282.78284	9.78284	10.2
23/04/2000	282.18982	9.18982	10.6
24/04/2000	281.9633	8.9633	10.6
25/04/2000	280.0511	7.0511	11
26/04/2000	279.78146	6.78146	10.2
27/04/2000	281.4607	8.4607	9.4
28/04/2000	284.30603	11.30603	9.6
29/04/2000	283.32343	10.32343	10.3
30/04/2000	284.45386	11.45386	10.7
01/05/2000	284.2226	11.2226	11.4
02/05/2000	284.52936	11.52936	12.5
03/05/2000	283.1807	10.1807	12.7
04/05/2000	283.02094	10.02094	12.7
