Date,Chatershaugh_Discharge
23-Nov-09,0.00
23-Nov-09,0.05
24-Nov-09,0.18
25-Nov-09,0.15
26-Nov-09,0.05
27-Nov-09,0.01
28-Nov-09,0.11
29-Nov-09,0.11
30-Nov-09,0.04
01-Dec-09,1.09
02-Dec-09,1.83
03-Dec-09,1.13
04-Dec-09,1.11
05-Dec-09,4.35
06-Dec-09,3.01
07-Dec-09,2.20
08-Dec-09,0.25
09-Dec-09,0.05
10-Dec-09,0.04
11-Dec-09,0.05
12-Dec-09,0.04
13-Dec-09,1.25
14-Dec-09,4.29
15-Dec-09,4.53
16-Dec-09,6.51
17-Dec-09,3.84
18-Dec-09,6.43
19-Dec-09,13.20
20-Dec-09,16.98
21-Dec-09,17.45
22-Dec-09,19.71
23-Dec-09,17.16
24-Dec-09,17.08
25-Dec-09,14.60
26-Dec-09,18.02
27-Dec-09,14.33
28-Dec-09,13.72
29-Dec-09,19.26
30-Dec-09,18.35
31-Dec-09,20.26
01-Jan-10,21.39
02-Jan-10,16.27
03-Jan-10,19.05
04-Jan-10,27.48
05-Jan-10,30.84
06-Jan-10,28.36
07-Jan-10,24.21
08-Jan-10,20.96
09-Jan-10,22.89
10-Jan-10,26.77
11-Jan-10,30.47
12-Jan-10,38.80
13-Jan-10,40.41
14-Jan-10,34.58
15-Jan-10,35.94
16-Jan-10,41.99
17-Jan-10,35.67
18-Jan-10,33.13
19-Jan-10,37.20
20-Jan-10,38.00
21-Jan-10,38.30
22-Jan-10,37.68
23-Jan-10,37.30
24-Jan-10,34.06
25-Jan-10,29.76
26-Jan-10,33.67
27-Jan-10,44.98
28-Jan-10,51.92
29-Jan-10,49.95
30-Jan-10,44.45
31-Jan-10,41.39
01-Feb-10,41.71
02-Feb-10,42.86
03-Feb-10,42.13
04-Feb-10,44.93
05-Feb-10,41.93
06-Feb-10,34.01
07-Feb-10,37.90
08-Feb-10,42.47
09-Feb-10,42.46
10-Feb-10,40.15
11-Feb-10,41.32
12-Feb-10,41.08
13-Feb-10,45.77
14-Feb-10,49.69
15-Feb-10,57.09
16-Feb-10,54.31
17-Feb-10,50.53
18-Feb-10,50.08
19-Feb-10,48.85
20-Feb-10,48.11
21-Feb-10,50.13
22-Feb-10,48.22
23-Feb-10,47.97
24-Feb-10,50.59
25-Feb-10,52.59
26-Feb-10,51.48
27-Feb-10,55.17
28-Feb-10,51.28
01-Mar-10,44.57
02-Mar-10,42.76
03-Mar-10,46.64
04-Mar-10,45.66
05-Mar-10,48.85
06-Mar-10,46.52
07-Mar-10,47.63
08-Mar-10,49.02
09-Mar-10,48.80
10-Mar-10,51.18
11-Mar-10,55.35
12-Mar-10,50.85
13-Mar-10,51.45
14-Mar-10,52.44
15-Mar-10,52.84
16-Mar-10,54.93
17-Mar-10,56.53
18-Mar-10,59.77
19-Mar-10,57.69
20-Mar-10,54.46
21-Mar-10,51.67
22-Mar-10,53.32
23-Mar-10,56.10
24-Mar-10,58.56
25-Mar-10,61.82
26-Mar-10,59.50
27-Mar-10,56.42
28-Mar-10,57.09
29-Mar-10,63.71
30-Mar-10,69.60
31-Mar-10,62.95
01-Apr-10,57.14
02-Apr-10,60.76
03-Apr-10,59.42
04-Apr-10,54.32
05-Apr-10,57.01
06-Apr-10,57.35
07-Apr-10,51.79
08-Apr-10,50.28
09-Apr-10,50.96
10-Apr-10,53.05
11-Apr-10,54.26
12-Apr-10,56.28
13-Apr-10,57.42
14-Apr-10,57.24
15-Apr-10,55.75
16-Apr-10,57.86
17-Apr-10,60.90
18-Apr-10,57.71
19-Apr-10,58.97
20-Apr-10,56.14
21-Apr-10,55.85
22-Apr-10,58.27
23-Apr-10,57.70
24-Apr-10,57.01
25-Apr-10,56.15
26-Apr-10,52.73
27-Apr-10,56.29
28-Apr-10,61.02
29-Apr-10,61.28
30-Apr-10,59.05
01-May-10,53.33
02-May-10,51.21
03-May-10,50.49
04-May-10,54.25
05-May-10,58.13
06-May-10,57.39
07-May-10,55.43
08-May-10,55.33
09-May-10,56.98
10-May-10,55.79
11-May-10,55.21
12-May-10,54.58
13-May-10,58.58
14-May-10,55.72
15-May-10,55.09
16-May-10,52.61
17-May-10,49.15
18-May-10,50.44
19-May-10,50.86
20-May-10,50.63
21-May-10,51.61
22-May-10,54.31
23-May-10,58.03
24-May-10,56.27
25-May-10,55.30
26-May-10,57.45
27-May-10,56.75
28-May-10,53.07
29-May-10,56.43
30-May-10,50.76
31-May-10,50.70
01-Jun-10,51.53
02-Jun-10,52.08
03-Jun-10,50.61
04-Jun-10,51.84
05-Jun-10,53.83
06-Jun-10,55.20
07-Jun-10,55.53
08-Jun-10,56.91
09-Jun-10,55.57
10-Jun-10,51.46
11-Jun-10,53.87
12-Jun-10,53.95
13-Jun-10,52.04
14-Jun-10,51.79
15-Jun-10,47.03
16-Jun-10,48.84
17-Jun-10,52.07
18-Jun-10,53.01
19-Jun-10,53.21
20-Jun-10,52.25
21-Jun-10,50.84
22-Jun-10,51.33
23-Jun-10,51.72
24-Jun-10,52.74
25-Jun-10,51.79
26-Jun-10,51.67
27-Jun-10,52.04
28-Jun-10,51.28
29-Jun-10,52.15
30-Jun-10,50.72
01-Jul-10,53.41
02-Jul-10,55.20
03-Jul-10,50.20
04-Jul-10,49.13
05-Jul-10,49.99
06-Jul-10,46.64
07-Jul-10,51.77
08-Jul-10,51.48
09-Jul-10,50.00
10-Jul-10,50.02
11-Jul-10,52.37
12-Jul-10,48.34
13-Jul-10,50.31
14-Jul-10,53.82
15-Jul-10,57.55
16-Jul-10,53.51
17-Jul-10,46.16
18-Jul-10,43.69
19-Jul-10,46.32
20-Jul-10,50.88
21-Jul-10,55.25
22-Jul-10,50.76
23-Jul-10,44.73
24-Jul-10,45.68
25-Jul-10,49.77
26-Jul-10,49.90
27-Jul-10,49.72
28-Jul-10,48.65
29-Jul-10,48.56
30-Jul-10,49.17
31-Jul-10,51.35
01-Aug-10,49.38
02-Aug-10,45.82
03-Aug-10,46.89
04-Aug-10,50.95
05-Aug-10,49.83
06-Aug-10,47.72
07-Aug-10,48.55324074
08-Aug-10,44.35185185
09-Aug-10,48.40277778
10-Aug-10,52.1875
11-Aug-10,50.9837963
12-Aug-10,48.02083333
13-Aug-10,46.43518519
14-Aug-10,46.86342593
15-Aug-10,46.28472222
16-Aug-10,49.12037037
17-Aug-10,53.86574074
18-Aug-10,54.28240741
19-Aug-10,51.58564815
20-Aug-10,49.78009259
21-Aug-10,48.34490741
22-Aug-10,48.75
23-Aug-10,53.59953704
24-Aug-10,55.08101852
25-Aug-10,47.03703704
26-Aug-10,47.59259259
27-Aug-10,48.95833333
28-Aug-10,47.60416667
29-Aug-10,49.56018519
30-Aug-10,45.06944444
31-Aug-10,44.74537037
01-Sep-10,47.91666667
02-Sep-10,48.47222222
03-Sep-10,47.82407407
04-Sep-10,48.57638889
05-Sep-10,48.50694444
06-Sep-10,50.60185185
07-Sep-10,56.53935185
08-Sep-10,54.21296296
09-Sep-10,50.16203704
10-Sep-10,48.62268519
11-Sep-10,51.71296296
12-Sep-10,48.32175926
13-Sep-10,47.09490741
14-Sep-10,53.42592593
15-Sep-10,54.67592593
16-Sep-10,50.90277778
17-Sep-10,47.70833333
18-Sep-10,46.35416667
19-Sep-10,50.625
20-Sep-10,53.11342593
21-Sep-10,46.90972222
22-Sep-10,47.82407407
23-Sep-10,53.06
24-Sep-10,52.22
25-Sep-10,46.38
26-Sep-10,46.90
27-Sep-10,48.81
28-Sep-10,48.53
29-Sep-10,49.68
30-Sep-10,50.19
01-Oct-10,53.30
02-Oct-10,53.87
03-Oct-10,53.50
04-Oct-10,52.93
05-Oct-10,52.93
06-Oct-10,50.05
07-Oct-10,43.15
08-Oct-10,42.70
09-Oct-10,43.98
10-Oct-10,47.35
11-Oct-10,45.59
12-Oct-10,45.73
13-Oct-10,46.19
14-Oct-10,46.54
15-Oct-10,47.25
16-Oct-10,46.68
17-Oct-10,43.65
18-Oct-10,48.46
19-Oct-10,51.13
20-Oct-10,45.83
21-Oct-10,44.66
22-Oct-10,47.33
23-Oct-10,52.30
24-Oct-10,45.98
25-Oct-10,38.75
26-Oct-10,43.91
27-Oct-10,50.86
28-Oct-10,48.73
29-Oct-10,51.22
30-Oct-10,53.68
26-Jan-11,51.40
27-Jan-11,56.17
28-Jan-11,55.54
29-Jan-11,58.01
30-Jan-11,58.30
31-Jan-11,59.24
01-Feb-11,60.88
02-Feb-11,60.10
03-Feb-11,61.76
04-Feb-11,66.42
05-Feb-11,65.97
06-Feb-11,62.55
06-Jun-11,77.77
08-Jul-11,61.96
03-Aug-11,64.00
10-Nov-11,64.73
07-Dec-11,91.22
11-Jan-12,14.77
05-Mar-12,28.29
03-May-12,64.66
04-Jul-12,50.21
02-Aug-12,96.28
11-Oct-12,47.49
01-Nov-12,72.50
10-Dec-12,77.58
10-Jan-13,92.25
07-Feb-13,101.56
08-Mar-13,87.65
04-Apr-13,87.97
20-May-13,84.21
06-Jun-13,91.71
11-Jul-13,67.58
07-Aug-13,68.60
16-Sep-13,64.76
08-Oct-13,60.73
06-Nov-13,62.48
