Date,Horden_Abstraction
19-Dec-03,35.00
20-Dec-03,35.00
20-Dec-03,35.00
21-Dec-03,35.00
21-Dec-03,35.00
22-Dec-03,35.00
22-Dec-03,34.50
23-Dec-03,34.50
23-Dec-03,34.50
24-Dec-03,34.50
24-Dec-03,34.50
25-Dec-03,34.50
25-Dec-03,34.50
26-Dec-03,34.00
26-Dec-03,34.00
27-Dec-03,26.00
27-Dec-03,26.00
28-Dec-03,26.00
28-Dec-03,26.00
29-Dec-03,26.00
29-Dec-03,26.00
30-Dec-03,26.00
30-Dec-03,26.00
31-Dec-03,26.00
31-Dec-03,26.00
01-Jan-04,26.00
01-Jan-04,26.00
02-Jan-04,26.00
02-Jan-04,26.00
03-Jan-04,26.00
03-Jan-04,26.00
04-Jan-04,26.00
04-Jan-04,26.00
05-Jan-04,26.00
05-Jan-04,26.00
06-Jan-04,25.50
06-Jan-04,25.50
07-Jan-04,25.50
07-Jan-04,35.00
08-Jan-04,35.00
08-Jan-04,35.00
09-Jan-04,35.00
09-Jan-04,35.00
10-Jan-04,35.00
10-Jan-04,35.00
11-Jan-04,35.00
11-Jan-04,35.00
12-Jan-04,35.00
12-Jan-04,35.00
13-Jan-04,35.00
13-Jan-04,35.00
14-Jan-04,35.00
14-Jan-04,35.00
15-Jan-04,35.00
15-Jan-04,35.00
16-Jan-04,35.00
16-Jan-04,35.00
17-Jan-04,35.00
17-Jan-04,35.00
18-Jan-04,35.00
18-Jan-04,35.00
19-Jan-04,35.00
19-Jan-04,35.00
20-Jan-04,35.00
20-Jan-04,35.00
21-Jan-04,35.00
21-Jan-04,35.00
22-Jan-04,35.00
22-Jan-04,35.00
23-Jan-04,35.00
23-Jan-04,35.00
24-Jan-04,35.00
24-Jan-04,35.00
25-Jan-04,35.00
25-Jan-04,35.00
26-Jan-04,35.00
26-Jan-04,50.00
27-Jan-04,50.00
27-Jan-04,50.00
28-Jan-04,50.00
28-Jan-04,0.00
22-Jun-04,0.00
22-Jun-04,35.00
22-Jun-04,35.00
23-Jun-04,35.00
23-Jun-04,35.00
24-Jun-04,35.00
24-Jun-04,35.00
